时间,币价,主力流入,主力流出,散户流入,散户流出,净量
"2019-07-03 09:00","293.61379","0","0","129255.74963609898","-269405.82241630275","-140150.07278020377",
"2019-07-04 09:00","289.189791","156784325.10885343","-153985341.07402033","1734638606.6763425","-1737730043.5413644","-292452.8301886793",
"2019-07-05 09:00","293.440077","202077939.04209","-174879825.8345428","2335046444.121916","-2210814223.5123367","151430333.81712627",
"2019-07-06 09:00","291.797265","186301306.2409289","-165345283.01886794","2100711175.616836","-2032509433.9622643","89157764.87663281",
"2019-07-07 09:00","305.465894","383975436.04651165","-331532122.09302324","2892543604.6511626","-2778170058.139535","166816860.4651163",
"2019-07-08 09:00","308.270219","356668505.0798259","-341865166.90856314","2905699564.586357","-2891719883.889695","28783018.86792453",
"2019-07-09 09:00","287.863041","459579330.42212516","-467141193.59534204","3125526928.6754003","-3259080058.224163","-141114992.72197962",
"2019-07-10 09:00","271.371568","449008442.503639","-433314847.16157204","3569286754.002911","-3686131004.366812","-101150655.02183406",
"2019-07-11 09:00","269.472789","217684156.97674417","-196312790.69767442","2747873546.511628","-2735870639.534884","33374273.255813953",
"2019-07-12 09:00","272.196206","126274709.30232558","-118368895.34883721","2133203488.372093","-2110100290.6976745","31009011.627906978",
"2019-07-13 09:00","239.807859","252261482.55813953","-252670058.1395349","2998928779.0697675","-3125187500","-126667296.51162791",
"2019-07-14 09:00","229.949112","284915843.0232558","-281948691.8604651","3519844476.744186","-3563348837.2093024","-40537209.302325584",
"2019-07-15 09:00","222.146136","212619622.09302327","-189121366.27906978","2828295058.139535","-2871263081.395349","-19469767.441860467",
"2019-07-16 09:00","215.158092","249936972.34352255","-241909898.1077147","3807976710.334789","-3862925764.1921396","-46921979.62154294",
"2019-07-17 09:00","223.837185","241535901.16279072","-233978924.41860464","3434927325.5813956","-3440672965.116279","1811337.2093023255",
"2019-07-18 09:00","219.970908","207277761.62790698","-185107122.09302327","2385258720.9302325","-2462978197.6744184","-55548837.20930233",
"2019-07-19 09:00","228.522555","129381831.39534883","-127292877.90697674","1666059593.0232558","-1682873546.511628","-14725000",
"2019-07-20 09:00","224.334508","200225000","-186780813.95348838","2075642441.860465","-2163367732.55814","-74281104.65116279",
"2019-07-21 09:00","218.338713","186682267.44186047","-168845203.4883721","1925614825.5813954","-1972335755.8139536","-28883866.279069766",
"2019-07-22 09:00","213.174683","178474127.90697676","-168423837.20930234","1962033430.2325583","-2008279069.767442","-36195348.8372093",
"2019-07-23 09:00","217.05058","172479184.8617176","-154094905.38573506","2183149927.219796","-2203940320.232897","-2406113.537117904",
"2019-07-24 09:00","224.411863","183800291.12081513","-189938136.82678312","2150382823.8719068","-2147866084.4250364","-3621106.2590975254",
"2019-07-25 09:00","220.416665","133708430.23255815","-128439680.23255815","1681687500","-1731473837.2093024","-44517587.20930233",
"2019-07-26 09:00","210.284966","171399127.90697676","-165783430.23255813","2009359011.627907","-2094226744.1860466","-79252034.88372093",
"2019-07-27 09:00","214.261265","101418531.97674419","-101500116.27906977","1525466569.767442","-1532363372.0930233","-6978386.627906977",
"2019-07-28 09:00","211.275162","118145573.2946299","-126546734.3976778","1752417997.0972424","-1795015965.1669087","-50999129.172714084",
"2019-07-29 09:00","213.80857","109943023.25581396","-116596220.93023255","1567588662.7906978","-1565829941.860465","-4894476.7441860465",
"2019-07-30 09:00","215.989517","149182412.79069766","-143937500","1662167151.1627908","-1628744186.0465117","38667877.906976745",
"2019-07-31 09:00","213.988181","118673913.04347825","-109084927.53623188","1536863768.115942","-1568647826.0869565","-22195072.463768113",
"2019-08-01 09:00","220.563601","144054466.85878962","-129305907.78097983","1707746397.6945243","-1693446685.8789625","29048270.893371757",
"2019-08-02 09:00","222.494399","123129394.81268011","-145873342.93948126","1771672910.6628242","-1812324207.4927952","-63395244.95677233",
"2019-08-03 09:00","220.441708","162197838.6167147","-114840489.91354465","1498719020.1729107","-1522423631.1239192","23652737.752161384",
"2019-08-04 09:00","230.320076","257964113.47517732","-218096737.5886525","2231228368.7943263","-2195984397.1631207","75111347.5177305",
"2019-08-05 09:00","229.200377","249727635.32763535","-224573219.3732194","2394337606.837607","-2449166666.666667","-29674643.874643877",
"2019-08-06 09:00","223.880357","159093059.490085","-108901841.35977338","1969730878.186969","-1955460339.943343","64461756.37393768",
"2019-08-07 09:00","223.768844","161615319.14893618","-105117758.86524823","1887229787.2340426","-1908478014.1843972","35249333.333333336",
"2019-08-08 09:00","211.6105","259663031.1614731","-185886685.55240795","2150233711.0481586","-2213430594.90085","10579461.756373938",
"2019-08-09 09:00","205.276508","243590934.84419265","-177752691.21813032","2018273371.104816","-2026150141.6430595","57961473.0878187",
"2019-08-10 09:00","211.33601","186599291.78470257","-144407507.082153","1734736543.9093485","-1717024079.3201134","59904249.291784704",
"2019-08-11 09:00","211.778739","227986543.90934846","-182434702.5495751","1746347025.495751","-1732096317.2804534","59802549.57507083",
"2019-08-12 09:00","206.359584","197678835.22727272","-152321022.72727272","1672906250","-1698981534.090909","19282528.40909091",
"2019-08-13 09:00","206.042685","162656410.25641027","-129865527.06552707","1881111111.1111112","-1837200854.7008548","76701139.6011396",
"2019-08-14 09:00","184.654374","348011379.8008535","-340481223.32859176","3041277382.6458035","-3095574679.943101","-46767140.82503556",
"2019-08-15 09:00","183.936404","224591619.3181818","-180017471.5909091","2423245738.6363635","-2299036931.818182","168782954.54545453",
"2019-08-16 09:00","185.277837","148753551.13636363","-114962073.86363636","1563811079.5454545","-1571921875","25680681.818181816",
"2019-08-17 09:00","195.182812","192838210.22727272","-146618323.86363637","1765076704.5454545","-1750887784.090909","60408806.81818182",
"2019-08-18 09:00","200.744772","194307801.41843972","-163056595.74468085","1874253900.70922","-1852987234.0425532","52517872.340425536",
"2019-08-19 09:00","197.340342","228486118.98016998","-199369405.09915015","1798005665.7223797","-1826876770.5382438","245609.0651558074",
"2019-08-20 09:00","184.866479","344210906.5155808","-329008073.65439093","2099903682.7195468","-2187039660.0566573","-71933144.47592068",
"2019-08-21 09:00","191.444291","333503244.00564176","-320739069.11142457","2079159379.4076164","-2070420310.296192","21503244.00564175",
"2019-08-22 09:00","191.931476","183147746.47887325","-156665070.4225352","1930012676.056338","-1895911267.605634","60584084.50704226",
"2019-08-23 09:00","188.037839","152455915.49295774","-102548281.69014084","1686685915.4929578","-1672605633.8028169","63987915.49295775",
