时间,币价,交易笔数
"2015-08-06 00:00","2.83162","2050.0000000000",
"2015-08-07 00:00","2.77212095","2881.0000000000",
"2015-08-08 00:00","0.75332516","1329.0000000000",
"2015-08-09 00:00","0.70189661","2037.0000000000",
"2015-08-10 00:00","0.70844787","4963.0000000000",
"2015-08-11 00:00","1.06785929","2036.0000000000",
"2015-08-12 00:00","1.21743631","2842.0000000000",
"2015-08-13 00:00","1.82767475","3174.0000000000",
"2015-08-14 00:00","1.82787263","2284.0000000000",
"2015-08-15 00:00","1.68890011","2440.0000000000",
"2015-08-16 00:00","1.56603193","2512.0000000000",
"2015-08-17 00:00","1.20360613","2494.0000000000",
"2015-08-18 00:00","1.08704841","3246.0000000000",
"2015-08-19 00:00","1.25885808","2303.0000000000",
"2015-08-20 00:00","1.46492207","3919.0000000000",
"2015-08-21 00:00","1.39529216","3579.0000000000",
"2015-08-22 00:00","1.37923467","4190.0000000000",
"2015-08-23 00:00","1.35258555","4432.0000000000",
"2015-08-24 00:00","1.23127019","4487.0000000000",
"2015-08-25 00:00","1.14018667","4156.0000000000",
"2015-08-26 00:00","1.15998256","5590.0000000000",
"2015-08-27 00:00","1.14770246","4758.0000000000",
"2015-08-28 00:00","1.19137895","4139.0000000000",
"2015-08-29 00:00","1.18254983","4572.0000000000",
"2015-08-30 00:00","1.31926763","5196.0000000000",
"2015-08-31 00:00","1.35823834","5153.0000000000",
"2015-09-01 00:00","1.35161483","5195.0000000000",
"2015-09-02 00:00","1.29478502","4777.0000000000",
"2015-09-03 00:00","1.26492739","5642.0000000000",
"2015-09-04 00:00","1.27440655","5519.0000000000",
"2015-09-05 00:00","1.33881009","5521.0000000000",
"2015-09-06 00:00","1.29582608","5702.0000000000",
"2015-09-07 00:00","1.24664533","5622.0000000000",
"2015-09-08 00:00","1.24242818","5604.0000000000",
"2015-09-09 00:00","1.20651042","5341.0000000000",
"2015-09-10 00:00","1.16577387","6460.0000000000",
"2015-09-11 00:00","0.98297846","5596.0000000000",
"2015-09-12 00:00","1.03874159","6057.0000000000",
"2015-09-13 00:00","0.93600327","5572.0000000000",
"2015-09-14 00:00","0.87562162","5409.0000000000",
"2015-09-15 00:00","0.94440961","5872.0000000000",
"2015-09-16 00:00","0.90717465","5368.0000000000",
"2015-09-17 00:00","0.8742314","5802.0000000000",
"2015-09-18 00:00","0.8536852","5205.0000000000",
"2015-09-19 00:00","0.88239104","6402.0000000000",
"2015-09-20 00:00","0.93844545","6305.0000000000",
"2015-09-21 00:00","0.91904688","6804.0000000000",
"2015-09-22 00:00","0.90179598","7404.0000000000",
"2015-09-23 00:00","0.89340615","6224.0000000000",
"2015-09-24 00:00","0.8136102","5851.0000000000",
"2015-09-25 00:00","0.7362234","5907.0000000000",
"2015-09-26 00:00","0.78596431","5760.0000000000",
"2015-09-27 00:00","0.72083902","6123.0000000000",
"2015-09-28 00:00","0.58288598","5738.0000000000",
"2015-09-29 00:00","0.66114628","5870.0000000000",
"2015-09-30 00:00","0.738644","6421.0000000000",
"2015-10-01 00:00","0.69021457","6063.0000000000",
"2015-10-02 00:00","0.67857432","6112.0000000000",
"2015-10-03 00:00","0.68717146","6624.0000000000",
"2015-10-04 00:00","0.66837901","6279.0000000000",
"2015-10-05 00:00","0.62864339","6458.0000000000",
"2015-10-06 00:00","0.65064549","7121.0000000000",
"2015-10-07 00:00","0.60938817","6926.0000000000",
"2015-10-08 00:00","0.62171555","6763.0000000000",
"2015-10-09 00:00","0.65062761","6529.0000000000",
"2015-10-10 00:00","0.62785739","6023.0000000000",
"2015-10-11 00:00","0.63496256","6593.0000000000",
"2015-10-12 00:00","0.62603021","6818.0000000000",
"2015-10-13 00:00","0.60765463","6830.0000000000",
"2015-10-14 00:00","0.52296817","6499.0000000000",
"2015-10-15 00:00","0.56187755","6795.0000000000",
"2015-10-16 00:00","0.53649473","6567.0000000000",
"2015-10-17 00:00","0.54717755","6481.0000000000",
"2015-10-18 00:00","0.51773423","6604.0000000000",
"2015-10-19 00:00","0.48901403","5897.0000000000",
"2015-10-20 00:00","0.434829","6182.0000000000",
"2015-10-21 00:00","0.44732895","5979.0000000000",
"2015-10-22 00:00","0.56770235","6888.0000000000",
"2015-10-23 00:00","0.53965724","6361.0000000000",
"2015-10-24 00:00","0.56359017","5830.0000000000",
"2015-10-25 00:00","0.61603856","5938.0000000000",
"2015-10-26 00:00","0.73131728","6784.0000000000",
"2015-10-27 00:00","0.86964136","7346.0000000000",
"2015-10-28 00:00","1.00247657","7836.0000000000",
"2015-10-29 00:00","1.2066561","7941.0000000000",
"2015-10-30 00:00","1.04121816","7557.0000000000",
"2015-10-31 00:00","0.91662681","6915.0000000000",
"2015-11-01 00:00","1.05566883","6558.0000000000",
"2015-11-02 00:00","0.98978895","7399.0000000000",
"2015-11-03 00:00","1.01336348","7037.0000000000",
"2015-11-04 00:00","0.89904976","7498.0000000000",
"2015-11-05 00:00","0.89563733","7882.0000000000",
"2015-11-06 00:00","0.92603213","10996.0000000000",
"2015-11-07 00:00","0.92797416","12413.0000000000",
"2015-11-08 00:00","1.02746606","7689.0000000000",
"2015-11-09 00:00","0.99927813","8151.0000000000",
"2015-11-10 00:00","0.93434829","10217.0000000000",
"2015-11-11 00:00","0.79182917","9534.0000000000",
"2015-11-12 00:00","0.89571095","7891.0000000000",
"2015-11-13 00:00","0.90409559","7211.0000000000",
"2015-11-14 00:00","0.88881159","7170.0000000000",
"2015-11-15 00:00","0.90636796","7442.0000000000",
"2015-11-16 00:00","0.92896181","7145.0000000000",
"2015-11-17 00:00","1.00797558","7373.0000000000",
"2015-11-18 00:00","0.99331909","8876.0000000000",
"2015-11-19 00:00","0.95553195","6348.0000000000",
"2015-11-20 00:00","0.92491966","6822.0000000000",
"2015-11-21 00:00","0.97613966","7083.0000000000",
"2015-11-22 00:00","0.96801782","8260.0000000000",
"2015-11-23 00:00","0.94696921","7152.0000000000",
"2015-11-24 00:00","0.90019119","7098.0000000000",
"2015-11-25 00:00","0.86353725","7278.0000000000",
"2015-11-26 00:00","0.88418305","6639.0000000000",
"2015-11-27 00:00","0.8679511","6817.0000000000",
"2015-11-28 00:00","0.91570282","6853.0000000000",
"2015-11-29 00:00","0.87861377","8986.0000000000",
"2015-11-30 00:00","0.87311912","6794.0000000000",
"2015-12-01 00:00","0.87479961","6502.0000000000",
"2015-12-02 00:00","0.82120973","6971.0000000000",
"2015-12-03 00:00","0.81214267","6898.0000000000",
"2015-12-04 00:00","0.8400414","6784.0000000000",
"2015-12-05 00:00","0.86243778","9103.0000000000",
"2015-12-06 00:00","0.83550012","7141.0000000000",
"2015-12-07 00:00","0.81126428","6697.0000000000",
"2015-12-08 00:00","0.82211804","7001.0000000000",
"2015-12-09 00:00","0.79216707","7444.0000000000",
"2015-12-10 00:00","0.84039587","8105.0000000000",
"2015-12-11 00:00","0.92976224","8205.0000000000",
"2015-12-12 00:00","0.97697264","7426.0000000000",
"2015-12-13 00:00","0.95288384","15550.0000000000",
"2015-12-14 00:00","0.99302226","21098.0000000000",
"2015-12-15 00:00","1.01414597","10304.0000000000",
"2015-12-16 00:00","0.99118167","9612.0000000000",
"2015-12-17 00:00","0.94070083","9032.0000000000",
"2015-12-18 00:00","0.92012739","9314.0000000000",
"2015-12-19 00:00","0.90807152","9879.0000000000",
"2015-12-20 00:00","0.90388465","12063.0000000000",
"2015-12-21 00:00","0.9007706","21027.0000000000",
"2015-12-22 00:00","0.86420166","22740.0000000000",
"2015-12-23 00:00","0.85807729","13494.0000000000",
"2015-12-24 00:00","0.86326188","9521.0000000000",
"2015-12-25 00:00","0.87036282","10726.0000000000",
"2015-12-26 00:00","0.85460323","21867.0000000000",
"2015-12-27 00:00","0.85636461","12368.0000000000",
"2015-12-28 00:00","0.8450051","11358.0000000000",
"2015-12-29 00:00","0.87305421","21767.0000000000",
"2015-12-30 00:00","0.91195798","10301.0000000000",
"2015-12-31 00:00","0.93354231","8233.0000000000",
"2016-01-01 00:00","0.94802439","9164.0000000000",
"2016-01-02 00:00","0.93712407","9258.0000000000",
"2016-01-03 00:00","0.97190481","9474.0000000000",
"2016-01-04 00:00","0.95448023","16430.0000000000",
"2016-01-05 00:00","0.95017588","17074.0000000000",
"2016-01-06 00:00","0.95085979","22075.0000000000",
"2016-01-07 00:00","0.94200456","10919.0000000000",
"2016-01-08 00:00","0.98678917","11793.0000000000",
"2016-01-09 00:00","0.98683339","10320.0000000000",
"2016-01-10 00:00","0.99923068","10893.0000000000",
"2016-01-11 00:00","1.0615958","10862.0000000000",
"2016-01-12 00:00","1.14100134","17665.0000000000",
"2016-01-13 00:00","1.12520289","10653.0000000000",
"2016-01-14 00:00","1.18958628","9875.0000000000",
"2016-01-15 00:00","1.20801461","10664.0000000000",
"2016-01-16 00:00","1.22029054","9747.0000000000",
"2016-01-17 00:00","1.32746649","12916.0000000000",
"2016-01-18 00:00","1.42633688","13420.0000000000",
"2016-01-19 00:00","1.37139285","10610.0000000000",
"2016-01-20 00:00","1.53181744","10734.0000000000",
"2016-01-21 00:00","1.55356717","13848.0000000000",
"2016-01-22 00:00","1.50126517","11025.0000000000",
"2016-01-23 00:00","1.97266793","12798.0000000000",
"2016-01-24 00:00","2.14119911","17121.0000000000",
"2016-01-25 00:00","2.49927235","16511.0000000000",
"2016-01-26 00:00","2.27637196","18747.0000000000",
"2016-01-27 00:00","2.38854671","16765.0000000000",
"2016-01-28 00:00","2.52648711","16395.0000000000",
