时间,币价,出块耗时
"2015-08-06 00:00","2.83162","16.7000000000",
"2015-08-07 00:00","2.77212095","16.4000000000",
"2015-08-08 00:00","0.75332516","16.9000000000",
"2015-08-09 00:00","0.70189661","16.4000000000",
"2015-08-10 00:00","0.70844787","16.4000000000",
"2015-08-11 00:00","1.06785929","16.9000000000",
"2015-08-12 00:00","1.21743631","16.3000000000",
"2015-08-13 00:00","1.82767475","14.9000000000",
"2015-08-14 00:00","1.82787263","16.1000000000",
"2015-08-15 00:00","1.68890011","16.8000000000",
"2015-08-16 00:00","1.56603193","16.2000000000",
"2015-08-17 00:00","1.20360613","17.5000000000",
"2015-08-18 00:00","1.08704841","16.6000000000",
"2015-08-19 00:00","1.25885808","21.5000000000",
"2015-08-20 00:00","1.46492207","17.0000000000",
"2015-08-21 00:00","1.39529216","16.4000000000",
"2015-08-22 00:00","1.37923467","17.2000000000",
"2015-08-23 00:00","1.35258555","16.7000000000",
"2015-08-24 00:00","1.23127019","17.0000000000",
"2015-08-25 00:00","1.14018667","17.3000000000",
"2015-08-26 00:00","1.15998256","18.4000000000",
"2015-08-27 00:00","1.14770246","18.6000000000",
"2015-08-28 00:00","1.19137895","20.0000000000",
"2015-08-29 00:00","1.18254983","20.8000000000",
"2015-08-30 00:00","1.31926763","21.0000000000",
"2015-08-31 00:00","1.35823834","21.9000000000",
"2015-09-01 00:00","1.35161483","24.2000000000",
"2015-09-02 00:00","1.29478502","25.5000000000",
"2015-09-03 00:00","1.26492739","19.4000000000",
"2015-09-04 00:00","1.27440655","17.6000000000",
"2015-09-05 00:00","1.33881009","17.4000000000",
"2015-09-06 00:00","1.29582608","17.9000000000",
"2015-09-07 00:00","1.24664533","17.6000000000",
"2015-09-08 00:00","1.24242818","17.2000000000",
"2015-09-09 00:00","1.20651042","17.3000000000",
"2015-09-10 00:00","1.16577387","16.8000000000",
"2015-09-11 00:00","0.98297846","17.2000000000",
"2015-09-12 00:00","1.03874159","17.4000000000",
"2015-09-13 00:00","0.93600327","17.8000000000",
"2015-09-14 00:00","0.87562162","17.8000000000",
"2015-09-15 00:00","0.94440961","17.4000000000",
"2015-09-16 00:00","0.90717465","18.0000000000",
"2015-09-17 00:00","0.8742314","17.7000000000",
"2015-09-18 00:00","0.8536852","17.0000000000",
"2015-09-19 00:00","0.88239104","16.3000000000",
"2015-09-20 00:00","0.93844545","17.0000000000",
"2015-09-21 00:00","0.91904688","17.1000000000",
"2015-09-22 00:00","0.90179598","16.7000000000",
"2015-09-23 00:00","0.89340615","17.2000000000",
"2015-09-24 00:00","0.8136102","16.9000000000",
"2015-09-25 00:00","0.7362234","17.5000000000",
"2015-09-26 00:00","0.78596431","18.1000000000",
"2015-09-27 00:00","0.72083902","18.2000000000",
"2015-09-28 00:00","0.58288598","18.6000000000",
"2015-09-29 00:00","0.66114628","18.2000000000",
"2015-09-30 00:00","0.738644","16.6000000000",
"2015-10-01 00:00","0.69021457","16.8000000000",
"2015-10-02 00:00","0.67857432","17.0000000000",
"2015-10-03 00:00","0.68717146","17.7000000000",
"2015-10-04 00:00","0.66837901","17.2000000000",
"2015-10-05 00:00","0.62864339","18.0000000000",
"2015-10-06 00:00","0.65064549","17.3000000000",
"2015-10-07 00:00","0.60938817","16.8000000000",
"2015-10-08 00:00","0.62171555","17.6000000000",
"2015-10-09 00:00","0.65062761","17.6000000000",
"2015-10-10 00:00","0.62785739","17.0000000000",
"2015-10-11 00:00","0.63496256","16.8000000000",
"2015-10-12 00:00","0.62603021","16.9000000000",
"2015-10-13 00:00","0.60765463","17.5000000000",
"2015-10-14 00:00","0.52296817","17.5000000000",
"2015-10-15 00:00","0.56187755","17.7000000000",
"2015-10-16 00:00","0.53649473","17.1000000000",
"2015-10-17 00:00","0.54717755","17.5000000000",
"2015-10-18 00:00","0.51773423","17.4000000000",
"2015-10-19 00:00","0.48901403","17.3000000000",
"2015-10-20 00:00","0.434829","17.3000000000",
"2015-10-21 00:00","0.44732895","17.9000000000",
"2015-10-22 00:00","0.56770235","16.4000000000",
"2015-10-23 00:00","0.53965724","16.7000000000",
"2015-10-24 00:00","0.56359017","17.0000000000",
"2015-10-25 00:00","0.61603856","17.6000000000",
"2015-10-26 00:00","0.73131728","16.6000000000",
"2015-10-27 00:00","0.86964136","17.4000000000",
"2015-10-28 00:00","1.00247657","16.8000000000",
"2015-10-29 00:00","1.2066561","16.5000000000",
"2015-10-30 00:00","1.04121816","16.8000000000",
"2015-10-31 00:00","0.91662681","16.8000000000",
"2015-11-01 00:00","1.05566883","17.2000000000",
"2015-11-02 00:00","0.98978895","17.0000000000",
"2015-11-03 00:00","1.01336348","16.9000000000",
"2015-11-04 00:00","0.89904976","16.9000000000",
"2015-11-05 00:00","0.89563733","16.8000000000",
"2015-11-06 00:00","0.92603213","17.6000000000",
"2015-11-07 00:00","0.92797416","17.2000000000",
"2015-11-08 00:00","1.02746606","17.2000000000",
"2015-11-09 00:00","0.99927813","17.1000000000",
"2015-11-10 00:00","0.93434829","17.2000000000",
"2015-11-11 00:00","0.79182917","17.0000000000",
"2015-11-12 00:00","0.89571095","16.9000000000",
"2015-11-13 00:00","0.90409559","16.9000000000",
"2015-11-14 00:00","0.88881159","16.6000000000",
"2015-11-15 00:00","0.90636796","17.1000000000",
"2015-11-16 00:00","0.92896181","16.7000000000",
"2015-11-17 00:00","1.00797558","17.0000000000",
"2015-11-18 00:00","0.99331909","17.4000000000",
"2015-11-19 00:00","0.95553195","18.3000000000",
"2015-11-20 00:00","0.92491966","17.2000000000",
"2015-11-21 00:00","0.97613966","17.1000000000",
"2015-11-22 00:00","0.96801782","17.0000000000",
"2015-11-23 00:00","0.94696921","17.3000000000",
"2015-11-24 00:00","0.90019119","17.5000000000",
"2015-11-25 00:00","0.86353725","17.5000000000",
"2015-11-26 00:00","0.88418305","16.7000000000",
"2015-11-27 00:00","0.8679511","17.3000000000",
"2015-11-28 00:00","0.91570282","17.1000000000",
"2015-11-29 00:00","0.87861377","17.0000000000",
"2015-11-30 00:00","0.87311912","17.0000000000",
"2015-12-01 00:00","0.87479961","17.9000000000",
"2015-12-02 00:00","0.82120973","16.6000000000",
"2015-12-03 00:00","0.81214267","17.3000000000",
"2015-12-04 00:00","0.8400414","17.3000000000",
"2015-12-05 00:00","0.86243778","17.6000000000",
"2015-12-06 00:00","0.83550012","17.4000000000",
"2015-12-07 00:00","0.81126428","17.6000000000",
"2015-12-08 00:00","0.82211804","16.6000000000",
"2015-12-09 00:00","0.79216707","16.8000000000",
"2015-12-10 00:00","0.84039587","17.1000000000",
"2015-12-11 00:00","0.92976224","17.0000000000",
"2015-12-12 00:00","0.97697264","16.4000000000",
"2015-12-13 00:00","0.95288384","17.3000000000",
"2015-12-14 00:00","0.99302226","17.0000000000",
"2015-12-15 00:00","1.01414597","17.3000000000",
"2015-12-16 00:00","0.99118167","17.1000000000",
"2015-12-17 00:00","0.94070083","17.2000000000",
"2015-12-18 00:00","0.92012739","17.1000000000",
"2015-12-19 00:00","0.90807152","17.5000000000",
"2015-12-20 00:00","0.90388465","17.4000000000",
"2015-12-21 00:00","0.9007706","16.8000000000",
"2015-12-22 00:00","0.86420166","16.9000000000",
"2015-12-23 00:00","0.85807729","17.2000000000",
"2015-12-24 00:00","0.86326188","17.0000000000",
"2015-12-25 00:00","0.87036282","17.3000000000",
"2015-12-26 00:00","0.85460323","17.2000000000",
"2015-12-27 00:00","0.85636461","17.0000000000",
"2015-12-28 00:00","0.8450051","17.3000000000",
"2015-12-29 00:00","0.87305421","17.2000000000",
"2015-12-30 00:00","0.91195798","17.1000000000",
"2015-12-31 00:00","0.93354231","17.7000000000",
"2016-01-01 00:00","0.94802439","17.0000000000",
"2016-01-02 00:00","0.93712407","16.8000000000",
"2016-01-03 00:00","0.97190481","17.0000000000",
"2016-01-04 00:00","0.95448023","16.9000000000",
"2016-01-05 00:00","0.95017588","17.0000000000",
"2016-01-06 00:00","0.95085979","17.3000000000",
"2016-01-07 00:00","0.94200456","16.7000000000",
"2016-01-08 00:00","0.98678917","16.9000000000",
"2016-01-09 00:00","0.98683339","17.0000000000",
"2016-01-10 00:00","0.99923068","16.9000000000",
"2016-01-11 00:00","1.0615958","17.5000000000",
"2016-01-12 00:00","1.14100134","17.3000000000",
"2016-01-13 00:00","1.12520289","17.0000000000",
"2016-01-14 00:00","1.18958628","17.0000000000",
"2016-01-15 00:00","1.20801461","17.1000000000",
"2016-01-16 00:00","1.22029054","17.2000000000",
"2016-01-17 00:00","1.32746649","17.0000000000",
"2016-01-18 00:00","1.42633688","17.4000000000",
"2016-01-19 00:00","1.37139285","17.1000000000",
"2016-01-20 00:00","1.53181744","17.4000000000",
"2016-01-21 00:00","1.55356717","17.3000000000",
"2016-01-22 00:00","1.50126517","17.5000000000",
"2016-01-23 00:00","1.97266793","16.7000000000",
"2016-01-24 00:00","2.14119911","17.7000000000",
"2016-01-25 00:00","2.49927235","16.8000000000",
"2016-01-26 00:00","2.27637196","17.3000000000",
"2016-01-27 00:00","2.38854671","17.1000000000",
"2016-01-28 00:00","2.52648711","17.3000000000",
"2016-01-29 00:00","2.49496174","17.2000000000",
"2016-01-30 00:00","2.44506311","17.7000000000",
"2016-01-31 00:00","2.30604291","17.2000000000",
"2016-02-01 00:00","2.21168852","17.4000000000",
"2016-02-02 00:00","2.43964028","16.6000000000",
"2016-02-03 00:00","2.52868819","17.1000000000",
"2016-02-04 00:00","2.57804036","17.1000000000",
"2016-02-05 00:00","2.53899145","17.3000000000",
"2016-02-06 00:00","2.53446054","17.0000000000",
"2016-02-07 00:00","2.96433783","17.0000000000",
"2016-02-08 00:00","3.17978644","17.1000000000",
"2016-02-09 00:00","4.04464245","17.4000000000",
"2016-02-10 00:00","4.43626165","17.2000000000",
"2016-02-11 00:00","6.01310158","17.2000000000",
"2016-02-12 00:00","5.54697657","17.0000000000",
"2016-02-13 00:00","5.38531876","17.3000000000",
"2016-02-14 00:00","5.2397294","17.4000000000",
"2016-02-15 00:00","5.28835154","17.2000000000",
"2016-02-16 00:00","4.31529093","17.8000000000",
"2016-02-17 00:00","3.75724053","17.3000000000",
"2016-02-18 00:00","4.39913368","17.2000000000",
"2016-02-19 00:00","4.73789215","17.1000000000",
