时间,币价,区块大小
"2015-08-06 00:00","2.83162","632.6254000000",
"2015-08-07 00:00","2.77212095","667.5947000000",
"2015-08-08 00:00","0.75332516","618.2981000000",
"2015-08-09 00:00","0.70189661","631.1861000000",
"2015-08-10 00:00","0.70844787","692.0140000000",
"2015-08-11 00:00","1.06785929","653.4264000000",
"2015-08-12 00:00","1.21743631","665.7223000000",
"2015-08-13 00:00","1.82767475","659.7514000000",
"2015-08-14 00:00","1.82787263","638.3352000000",
"2015-08-15 00:00","1.68890011","640.6537000000",
"2015-08-16 00:00","1.56603193","634.7077000000",
"2015-08-17 00:00","1.20360613","648.4883000000",
"2015-08-18 00:00","1.08704841","653.3211000000",
"2015-08-19 00:00","1.25885808","650.0932000000",
"2015-08-20 00:00","1.46492207","667.5853000000",
"2015-08-21 00:00","1.39529216","648.0378000000",
"2015-08-22 00:00","1.37923467","680.5923000000",
"2015-08-23 00:00","1.35258555","672.5475000000",
"2015-08-24 00:00","1.23127019","679.7298000000",
"2015-08-25 00:00","1.14018667","668.6524000000",
"2015-08-26 00:00","1.15998256","707.9291000000",
"2015-08-27 00:00","1.14770246","690.8801000000",
"2015-08-28 00:00","1.19137895","682.0365000000",
"2015-08-29 00:00","1.18254983","688.9365000000",
"2015-08-30 00:00","1.31926763","730.6514000000",
"2015-08-31 00:00","1.35823834","741.2826000000",
"2015-09-01 00:00","1.35161483","766.2815000000",
"2015-09-02 00:00","1.29478502","755.3905000000",
"2015-09-03 00:00","1.26492739","762.3567000000",
"2015-09-04 00:00","1.27440655","752.8949000000",
"2015-09-05 00:00","1.33881009","733.4594000000",
"2015-09-06 00:00","1.29582608","752.5999000000",
"2015-09-07 00:00","1.24664533","759.3872000000",
"2015-09-08 00:00","1.24242818","764.6240000000",
"2015-09-09 00:00","1.20651042","729.9396000000",
"2015-09-10 00:00","1.16577387","735.9090000000",
"2015-09-11 00:00","0.98297846","761.4234000000",
"2015-09-12 00:00","1.03874159","763.5613000000",
"2015-09-13 00:00","0.93600327","771.1701000000",
"2015-09-14 00:00","0.87562162","755.3247000000",
"2015-09-15 00:00","0.94440961","738.5985000000",
"2015-09-16 00:00","0.90717465","753.3925000000",
"2015-09-17 00:00","0.8742314","784.6756000000",
"2015-09-18 00:00","0.8536852","734.6896000000",
"2015-09-19 00:00","0.88239104","765.9625000000",
"2015-09-20 00:00","0.93844545","778.8345000000",
"2015-09-21 00:00","0.91904688","806.9830000000",
"2015-09-22 00:00","0.90179598","784.0600000000",
"2015-09-23 00:00","0.89340615","781.6511000000",
"2015-09-24 00:00","0.8136102","767.0531000000",
"2015-09-25 00:00","0.7362234","764.7290000000",
"2015-09-26 00:00","0.78596431","724.7262000000",
"2015-09-27 00:00","0.72083902","755.2132000000",
"2015-09-28 00:00","0.58288598","762.1808000000",
"2015-09-29 00:00","0.66114628","741.8953000000",
"2015-09-30 00:00","0.738644","740.8841000000",
"2015-10-01 00:00","0.69021457","773.0677000000",
"2015-10-02 00:00","0.67857432","768.6514000000",
"2015-10-03 00:00","0.68717146","775.8410000000",
"2015-10-04 00:00","0.66837901","771.4095000000",
"2015-10-05 00:00","0.62864339","781.0231000000",
"2015-10-06 00:00","0.65064549","808.1431000000",
"2015-10-07 00:00","0.60938817","788.7191000000",
"2015-10-08 00:00","0.62171555","779.3384000000",
"2015-10-09 00:00","0.65062761","777.7898000000",
"2015-10-10 00:00","0.62785739","748.1983000000",
"2015-10-11 00:00","0.63496256","787.4631000000",
"2015-10-12 00:00","0.62603021","817.9530000000",
"2015-10-13 00:00","0.60765463","791.1678000000",
"2015-10-14 00:00","0.52296817","824.1496000000",
"2015-10-15 00:00","0.56187755","826.8800000000",
"2015-10-16 00:00","0.53649473","787.8924000000",
"2015-10-17 00:00","0.54717755","812.0785000000",
"2015-10-18 00:00","0.51773423","801.9077000000",
"2015-10-19 00:00","0.48901403","770.0194000000",
"2015-10-20 00:00","0.434829","774.1359000000",
"2015-10-21 00:00","0.44732895","782.1855000000",
"2015-10-22 00:00","0.56770235","817.5238000000",
"2015-10-23 00:00","0.53965724","770.5728000000",
"2015-10-24 00:00","0.56359017","750.6109000000",
"2015-10-25 00:00","0.61603856","765.4884000000",
"2015-10-26 00:00","0.73131728","814.7960000000",
"2015-10-27 00:00","0.86964136","808.0395000000",
"2015-10-28 00:00","1.00247657","814.3800000000",
"2015-10-29 00:00","1.2066561","780.9482000000",
"2015-10-30 00:00","1.04121816","811.9364000000",
"2015-10-31 00:00","0.91662681","783.4969000000",
"2015-11-01 00:00","1.05566883","779.1839000000",
"2015-11-02 00:00","0.98978895","844.0580000000",
"2015-11-03 00:00","1.01336348","762.3270000000",
"2015-11-04 00:00","0.89904976","813.3949000000",
"2015-11-05 00:00","0.89563733","812.0179000000",
"2015-11-06 00:00","0.92603213","1004.8186000000",
"2015-11-07 00:00","0.92797416","1015.0850000000",
"2015-11-08 00:00","1.02746606","785.9363000000",
"2015-11-09 00:00","0.99927813","833.8094000000",
"2015-11-10 00:00","0.93434829","1044.1480000000",
"2015-11-11 00:00","0.79182917","874.0563000000",
"2015-11-12 00:00","0.89571095","807.7365000000",
"2015-11-13 00:00","0.90409559","937.5196000000",
"2015-11-14 00:00","0.88881159","797.4096000000",
"2015-11-15 00:00","0.90636796","782.0238000000",
"2015-11-16 00:00","0.92896181","762.2289000000",
"2015-11-17 00:00","1.00797558","773.7819000000",
"2015-11-18 00:00","0.99331909","881.9032000000",
"2015-11-19 00:00","0.95553195","814.1809000000",
"2015-11-20 00:00","0.92491966","831.7807000000",
"2015-11-21 00:00","0.97613966","815.5076000000",
"2015-11-22 00:00","0.96801782","862.7239000000",
"2015-11-23 00:00","0.94696921","828.4241000000",
"2015-11-24 00:00","0.90019119","806.9828000000",
"2015-11-25 00:00","0.86353725","784.1140000000",
"2015-11-26 00:00","0.88418305","789.8579000000",
"2015-11-27 00:00","0.8679511","773.8876000000",
"2015-11-28 00:00","0.91570282","776.2574000000",
"2015-11-29 00:00","0.87861377","863.6965000000",
"2015-11-30 00:00","0.87311912","847.2627000000",
"2015-12-01 00:00","0.87479961","819.2162000000",
"2015-12-02 00:00","0.82120973","778.2175000000",
"2015-12-03 00:00","0.81214267","803.6234000000",
"2015-12-04 00:00","0.8400414","835.3670000000",
"2015-12-05 00:00","0.86243778","876.7820000000",
"2015-12-06 00:00","0.83550012","774.7206000000",
"2015-12-07 00:00","0.81126428","771.0155000000",
"2015-12-08 00:00","0.82211804","778.8729000000",
"2015-12-09 00:00","0.79216707","820.1415000000",
"2015-12-10 00:00","0.84039587","884.3400000000",
"2015-12-11 00:00","0.92976224","916.2882000000",
"2015-12-12 00:00","0.97697264","844.6328000000",
"2015-12-13 00:00","0.95288384","1752.0964000000",
"2015-12-14 00:00","0.99302226","1834.3400000000",
"2015-12-15 00:00","1.01414597","1215.5600000000",
"2015-12-16 00:00","0.99118167","1053.0719000000",
"2015-12-17 00:00","0.94070083","1057.0390000000",
"2015-12-18 00:00","0.92012739","1009.2031000000",
"2015-12-19 00:00","0.90807152","1103.4144000000",
"2015-12-20 00:00","0.90388465","1171.5882000000",
"2015-12-21 00:00","0.9007706","2045.1513000000",
"2015-12-22 00:00","0.86420166","1543.8058000000",
"2015-12-23 00:00","0.85807729","1292.0694000000",
"2015-12-24 00:00","0.86326188","1041.7508000000",
"2015-12-25 00:00","0.87036282","1073.8060000000",
"2015-12-26 00:00","0.85460323","1575.2864000000",
"2015-12-27 00:00","0.85636461","1238.8886000000",
"2015-12-28 00:00","0.8450051","1199.6756000000",
"2015-12-29 00:00","0.87305421","1563.9047000000",
"2015-12-30 00:00","0.91195798","1057.3361000000",
"2015-12-31 00:00","0.93354231","884.5982000000",
"2016-01-01 00:00","0.94802439","953.5604000000",
"2016-01-02 00:00","0.93712407","955.0462000000",
"2016-01-03 00:00","0.97190481","981.3144000000",
"2016-01-04 00:00","0.95448023","1395.8281000000",
"2016-01-05 00:00","0.95017588","1552.5000000000",
"2016-01-06 00:00","0.95085979","1549.6730000000",
"2016-01-07 00:00","0.94200456","1079.7755000000",
"2016-01-08 00:00","0.98678917","1209.3858000000",
"2016-01-09 00:00","0.98683339","1043.7112000000",
"2016-01-10 00:00","0.99923068","1058.0789000000",
"2016-01-11 00:00","1.0615958","1093.8381000000",
"2016-01-12 00:00","1.14100134","1423.2459000000",
"2016-01-13 00:00","1.12520289","1061.8974000000",
"2016-01-14 00:00","1.18958628","1006.2193000000",
"2016-01-15 00:00","1.20801461","967.3799000000",
"2016-01-16 00:00","1.22029054","886.5723000000",
"2016-01-17 00:00","1.32746649","1056.6767000000",
"2016-01-18 00:00","1.42633688","1106.7259000000",
"2016-01-19 00:00","1.37139285","958.9492000000",
"2016-01-20 00:00","1.53181744","943.5368000000",
"2016-01-21 00:00","1.55356717","1027.3717000000",
"2016-01-22 00:00","1.50126517","905.7595000000",
"2016-01-23 00:00","1.97266793","992.8713000000",
"2016-01-24 00:00","2.14119911","1334.9119000000",
"2016-01-25 00:00","2.49927235","1228.3261000000",
"2016-01-26 00:00","2.27637196","1566.1381000000",
"2016-01-27 00:00","2.38854671","1424.1546000000",
"2016-01-28 00:00","2.52648711","1307.5065000000",
"2016-01-29 00:00","2.49496174","1179.0801000000",
"2016-01-30 00:00","2.44506311","1135.3867000000",
"2016-01-31 00:00","2.30604291","1080.6939000000",
"2016-02-01 00:00","2.21168852","1077.2785000000",
"2016-02-02 00:00","2.43964028","1059.5805000000",
"2016-02-03 00:00","2.52868819","1086.6636000000",
"2016-02-04 00:00","2.57804036","1116.8518000000",
"2016-02-05 00:00","2.53899145","1677.5446000000",
"2016-02-06 00:00","2.53446054","1025.9807000000",
"2016-02-07 00:00","2.96433783","1033.5673000000",
"2016-02-08 00:00","3.17978644","1032.3430000000",
"2016-02-09 00:00","4.04464245","1106.3786000000",
"2016-02-10 00:00","4.43626165","1279.6394000000",
"2016-02-11 00:00","6.01310158","1170.5341000000",
"2016-02-12 00:00","5.54697657","1222.0915000000",
"2016-02-13 00:00","5.38531876","1139.9569000000",
"2016-02-14 00:00","5.2397294","1126.8171000000",
"2016-02-15 00:00","5.28835154","1127.9303000000",
"2016-02-16 00:00","4.31529093","1265.1762000000",
"2016-02-17 00:00","3.75724053","1109.4749000000",
"2016-02-18 00:00","4.39913368","1156.6618000000",
"2016-02-19 00:00","4.73789215","1046.2829000000",
"2016-02-20 00:00","4.34132528","1050.7434000000",
"2016-02-21 00:00","4.65361786","1090.2873000000",
"2016-02-22 00:00","5.61650419","1117.0580000000",
"2016-02-23 00:00","5.58620644","1108.8270000000",
"2016-02-24 00:00","6.23647213","1113.9760000000",
"2016-02-25 00:00","6.1048007","1288.8714000000",
"2016-02-26 00:00","5.92166948","1101.8922000000",
"2016-02-27 00:00","6.4258585","1091.1889000000",
"2016-02-28 00:00","6.46834803","1175.3846000000",
"2016-02-29 00:00","6.33699465","1156.5113000000",
"2016-03-01 00:00","7.65368795","1198.6117000000",
"2016-03-02 00:00","8.46539021","1248.4458000000",
"2016-03-03 00:00","9.29415035","1249.1352000000",
"2016-03-04 00:00","10.4059763","1314.4079000000",
"2016-03-05 00:00","11.00372696","1365.8176000000",
"2016-03-06 00:00","11.38289928","1217.7266000000",
"2016-03-07 00:00","9.55262756","1242.1290000000",
"2016-03-08 00:00","9.84720898","1279.4692000000",
"2016-03-09 00:00","11.89802456","1221.5445000000",
"2016-03-10 00:00","11.30498314","1210.9951000000",
"2016-03-11 00:00","11.08280182","1384.6022000000",
"2016-03-12 00:00","13.53334332","1392.0978000000",
"2016-03-13 00:00","14.47500515","1501.3140000000",
"2016-03-14 00:00","12.45259762","1317.7220000000",
"2016-03-15 00:00","13.01002026","1316.4257000000",
"2016-03-16 00:00","12.52089119","1421.2223000000",
"2016-03-17 00:00","11.08146954","1403.0641000000",
"2016-03-18 00:00","10.99812794","1494.0396000000",
"2016-03-19 00:00","10.53070736","1445.8357000000",
"2016-03-20 00:00","10.3197794","1497.7746000000",
"2016-03-21 00:00","11.86412048","1514.4617000000",
"2016-03-22 00:00","11.27481174","1529.4933000000",
"2016-03-23 00:00","12.41674995","1861.7373000000",
"2016-03-24 00:00","11.23501301","1621.2481000000",
"2016-03-25 00:00","10.74315929","1537.7797000000",
"2016-03-26 00:00","10.97396755","1260.7617000000",
"2016-03-27 00:00","10.4192009","1567.6601000000",
"2016-03-28 00:00","11.66560268","1389.4712000000",
"2016-03-29 00:00","11.6564436","1572.4715000000",
"2016-03-30 00:00","11.952878","1405.3876000000",
"2016-03-31 00:00","11.40353775","1492.6359000000",
"2016-04-01 00:00","11.66358757","1234.9823000000",
"2016-04-02 00:00","11.598876","1244.7133000000",
"2016-04-03 00:00","11.61833286","1502.0156000000",
"2016-04-04 00:00","11.15727425","1527.7718000000",
"2016-04-05 00:00","10.43812466","1336.7710000000",
"2016-04-06 00:00","10.68538189","1404.4117000000",
"2016-04-07 00:00","10.06968307","1540.8815000000",
"2016-04-08 00:00","9.71958637","1317.7905000000",
"2016-04-09 00:00","9.15061855","1280.9214000000",
"2016-04-10 00:00","8.93634224","1261.8551000000",
"2016-04-11 00:00","8.64378929","1451.4587000000",
"2016-04-12 00:00","7.44231272","1477.3272000000",
"2016-04-13 00:00","8.04442024","1405.6079000000",
"2016-04-14 00:00","8.38724041","1412.2192000000",
"2016-04-15 00:00","8.24278069","1215.2878000000",
"2016-04-16 00:00","8.60949898","1917.3764000000",
"2016-04-17 00:00","9.30909824","1350.9483000000",
"2016-04-18 00:00","9.03599834","1317.1563000000",
"2016-04-19 00:00","8.71487713","1359.2162000000",
"2016-04-20 00:00","8.46579361","1504.1751000000",
