时间,币价,区块数
"2015-08-06 00:00","2.83162","5189.0000000000",
"2015-08-07 00:00","2.77212095","5256.0000000000",
"2015-08-08 00:00","0.75332516","5123.0000000000",
"2015-08-09 00:00","0.70189661","5255.0000000000",
"2015-08-10 00:00","0.70844787","5280.0000000000",
"2015-08-11 00:00","1.06785929","5124.0000000000",
"2015-08-12 00:00","1.21743631","5286.0000000000",
"2015-08-13 00:00","1.82767475","5809.0000000000",
"2015-08-14 00:00","1.82787263","5382.0000000000",
"2015-08-15 00:00","1.68890011","5132.0000000000",
"2015-08-16 00:00","1.56603193","5347.0000000000",
"2015-08-17 00:00","1.20360613","4948.0000000000",
"2015-08-18 00:00","1.08704841","5192.0000000000",
"2015-08-19 00:00","1.25885808","4024.0000000000",
"2015-08-20 00:00","1.46492207","5088.0000000000",
"2015-08-21 00:00","1.39529216","5271.0000000000",
"2015-08-22 00:00","1.37923467","5013.0000000000",
"2015-08-23 00:00","1.35258555","5184.0000000000",
"2015-08-24 00:00","1.23127019","5097.0000000000",
"2015-08-25 00:00","1.14018667","5003.0000000000",
"2015-08-26 00:00","1.15998256","4708.0000000000",
"2015-08-27 00:00","1.14770246","4653.0000000000",
"2015-08-28 00:00","1.19137895","4329.0000000000",
"2015-08-29 00:00","1.18254983","4155.0000000000",
"2015-08-30 00:00","1.31926763","4122.0000000000",
"2015-08-31 00:00","1.35823834","3938.0000000000",
"2015-09-01 00:00","1.35161483","3577.0000000000",
"2015-09-02 00:00","1.29478502","3383.0000000000",
"2015-09-03 00:00","1.26492739","4443.0000000000",
"2015-09-04 00:00","1.27440655","4921.0000000000",
"2015-09-05 00:00","1.33881009","4978.0000000000",
"2015-09-06 00:00","1.29582608","4834.0000000000",
"2015-09-07 00:00","1.24664533","4923.0000000000",
"2015-09-08 00:00","1.24242818","5035.0000000000",
"2015-09-09 00:00","1.20651042","5003.0000000000",
"2015-09-10 00:00","1.16577387","5141.0000000000",
"2015-09-11 00:00","0.98297846","5026.0000000000",
"2015-09-12 00:00","1.03874159","4971.0000000000",
"2015-09-13 00:00","0.93600327","4851.0000000000",
"2015-09-14 00:00","0.87562162","4842.0000000000",
"2015-09-15 00:00","0.94440961","4956.0000000000",
"2015-09-16 00:00","0.90717465","4808.0000000000",
"2015-09-17 00:00","0.8742314","4889.0000000000",
"2015-09-18 00:00","0.8536852","5078.0000000000",
"2015-09-19 00:00","0.88239104","5305.0000000000",
"2015-09-20 00:00","0.93844545","5075.0000000000",
"2015-09-21 00:00","0.91904688","5051.0000000000",
"2015-09-22 00:00","0.90179598","5165.0000000000",
"2015-09-23 00:00","0.89340615","5021.0000000000",
"2015-09-24 00:00","0.8136102","5126.0000000000",
"2015-09-25 00:00","0.7362234","4930.0000000000",
"2015-09-26 00:00","0.78596431","4773.0000000000",
"2015-09-27 00:00","0.72083902","4738.0000000000",
"2015-09-28 00:00","0.58288598","4640.0000000000",
"2015-09-29 00:00","0.66114628","4757.0000000000",
"2015-09-30 00:00","0.738644","5210.0000000000",
"2015-10-01 00:00","0.69021457","5143.0000000000",
"2015-10-02 00:00","0.67857432","5077.0000000000",
"2015-10-03 00:00","0.68717146","4886.0000000000",
"2015-10-04 00:00","0.66837901","5009.0000000000",
"2015-10-05 00:00","0.62864339","4806.0000000000",
"2015-10-06 00:00","0.65064549","5004.0000000000",
