时间,币价,单位算力收入
"2015-08-06 00:00","2.83162","0.8970000000",
"2015-08-07 00:00","2.77212095","0.4560000000",
"2015-08-08 00:00","0.75332516","0.1980000000",
"2015-08-09 00:00","0.70189661","0.1690000000",
"2015-08-10 00:00","0.70844787","0.1700000000",
"2015-08-11 00:00","1.06785929","0.2100000000",
"2015-08-12 00:00","1.21743631","0.2530000000",
"2015-08-13 00:00","1.82767475","0.3120000000",
"2015-08-14 00:00","1.82787263","0.2250000000",
"2015-08-15 00:00","1.68890011","0.1620000000",
"2015-08-16 00:00","1.56603193","0.1510000000",
"2015-08-17 00:00","1.20360613","0.1160000000",
"2015-08-18 00:00","1.08704841","0.1200000000",
"2015-08-19 00:00","1.25885808","0.1280000000",
"2015-08-20 00:00","1.46492207","0.1440000000",
"2015-08-21 00:00","1.39529216","0.1290000000",
"2015-08-22 00:00","1.37923467","0.1120000000",
"2015-08-23 00:00","1.35258555","0.1070000000",
"2015-08-24 00:00","1.23127019","0.0982000000",
"2015-08-25 00:00","1.14018667","0.0870000000",
"2015-08-26 00:00","1.15998256","0.0834000000",
"2015-08-27 00:00","1.14770246","0.0796000000",
"2015-08-28 00:00","1.19137895","0.0754000000",
"2015-08-29 00:00","1.18254983","0.0772000000",
"2015-08-30 00:00","1.31926763","0.0779000000",
"2015-08-31 00:00","1.35823834","0.0760000000",
"2015-09-01 00:00","1.35161483","0.0683000000",
"2015-09-02 00:00","1.29478502","0.0652000000",
"2015-09-03 00:00","1.26492739","0.0839000000",
"2015-09-04 00:00","1.27440655","0.0886000000",
"2015-09-05 00:00","1.33881009","0.0899000000",
"2015-09-06 00:00","1.29582608","0.0862000000",
"2015-09-07 00:00","1.24664533","0.0877000000",
"2015-09-08 00:00","1.24242818","0.0841000000",
"2015-09-09 00:00","1.20651042","0.0804000000",
"2015-09-10 00:00","1.16577387","0.0681000000",
"2015-09-11 00:00","0.98297846","0.0640000000",
"2015-09-12 00:00","1.03874159","0.0595000000",
"2015-09-13 00:00","0.93600327","0.0579000000",
