时间,币价,发行量
"2015-08-06 00:00","2.83162","72263783.9369800000",
"2015-08-07 00:00","2.77212095","72290135.4994800000",
"2015-08-08 00:00","0.75332516","72315816.2807300000",
"2015-08-09 00:00","0.70189661","72342156.1244800000",
"2015-08-10 00:00","0.70844787","72368624.5619800000",
"2015-08-11 00:00","1.06785929","72394318.6244800000",
"2015-08-12 00:00","1.21743631","72420827.3744800000",
"2015-08-13 00:00","1.82767475","72449959.0932300000",
"2015-08-14 00:00","1.82787263","72476937.9994800000",
"2015-08-15 00:00","1.68890011","72502658.1557300000",
"2015-08-16 00:00","1.56603193","72529452.0619800000",
"2015-08-17 00:00","1.20360613","72554252.9994800000",
"2015-08-18 00:00","1.08704841","72580269.4057300000",
"2015-08-19 00:00","1.25885808","72600429.5619800000",
"2015-08-20 00:00","1.46492207","72625922.3744800000",
"2015-08-21 00:00","1.39529216","72652327.8432300000",
"2015-08-22 00:00","1.37923467","72677442.8432300000",
"2015-08-23 00:00","1.35258555","72703421.7494800000",
"2015-08-24 00:00","1.23127019","72728959.0932300000",
"2015-08-25 00:00","1.14018667","72754021.4369800000",
"2015-08-26 00:00","1.15998256","72777602.9994800000",
"2015-08-27 00:00","1.14770246","72800908.1557300000",
"2015-08-28 00:00","1.19137895","72822589.4057300000",
"2015-08-29 00:00","1.18254983","72843392.3744800000",
"2015-08-30 00:00","1.31926763","72864030.8119800000",
"2015-08-31 00:00","1.35823834","72883747.5307300000",
"2015-09-01 00:00","1.35161483","72901653.6244800000",
"2015-09-02 00:00","1.29478502","72918588.3119800000",
"2015-09-03 00:00","1.26492739","72940839.5619800000",
"2015-09-04 00:00","1.27440655","72965487.3744800000",
"2015-09-05 00:00","1.33881009","72990431.2807300000",
"2015-09-06 00:00","1.29582608","73014654.8744800000",
"2015-09-07 00:00","1.24664533","73039324.2494800000",
"2015-09-08 00:00","1.24242818","73064553.1557300000",
"2015-09-09 00:00","1.20651042","73089627.9994800000",
"2015-09-10 00:00","1.16577387","73115397.2182300000",
"2015-09-11 00:00","0.98297846","73140580.1869800000",
"2015-09-12 00:00","1.03874159","73165490.3432300000",
"2015-09-13 00:00","0.93600327","73189801.5932300000",
"2015-09-14 00:00","0.87562162","73214070.6557300000",
"2015-09-15 00:00","0.94440961","73238915.0307300000",
