时间,币价,平均Gas价格
"2015-08-06 00:00","2.83162","176398755840.2226000000",
"2015-08-07 00:00","2.77212095","84445208621.4203000000",
"2015-08-08 00:00","0.75332516","56142267364.8030000000",
"2015-08-09 00:00","0.70189661","90300988330.9659000000",
"2015-08-10 00:00","0.70844787","28096363955.7165000000",
"2015-08-11 00:00","1.06785929","110446396144.9623000000",
"2015-08-12 00:00","1.21743631","77176229024.5197000000",
"2015-08-13 00:00","1.82767475","58786345415.1408000000",
"2015-08-14 00:00","1.82787263","40092188420.7493000000",
"2015-08-15 00:00","1.68890011","35442055367.2898000000",
"2015-08-16 00:00","1.56603193","37470871229.1874000000",
"2015-08-17 00:00","1.20360613","45259258574.9347000000",
"2015-08-18 00:00","1.08704841","29580450242.5951000000",
"2015-08-19 00:00","1.25885808","21266744270.6377000000",
"2015-08-20 00:00","1.46492207","27952330653.6808000000",
"2015-08-21 00:00","1.39529216","30905350162.8714000000",
"2015-08-22 00:00","1.37923467","20484415063.6224000000",
"2015-08-23 00:00","1.35258555","35040030859.7031000000",
"2015-08-24 00:00","1.23127019","24452248833.1201000000",
"2015-08-25 00:00","1.14018667","16023231937.6158000000",
"2015-08-26 00:00","1.15998256","16829845737.6463000000",
"2015-08-27 00:00","1.14770246","31461533981.0933000000",
"2015-08-28 00:00","1.19137895","17019532879.9607000000",
"2015-08-29 00:00","1.18254983","16716355151.8294000000",
"2015-08-30 00:00","1.31926763","18660333988.9896000000",
"2015-08-31 00:00","1.35823834","20650257250.6805000000",
"2015-09-01 00:00","1.35161483","28842821169.1465000000",
"2015-09-02 00:00","1.29478502","19836655160.8676000000",
"2015-09-03 00:00","1.26492739","25314425282.3279000000",
"2015-09-04 00:00","1.27440655","19979657821.2266000000",
"2015-09-05 00:00","1.33881009","19858605016.3710000000",
"2015-09-06 00:00","1.29582608","17285553149.5530000000",
"2015-09-07 00:00","1.24664533","28900933981.0636000000",
"2015-09-08 00:00","1.24242818","19089260163.8880000000",
"2015-09-09 00:00","1.20651042","17026419830.7242000000",
"2015-09-10 00:00","1.16577387","20405139787.0879000000",
