时间,币价,平均单笔手续费
"2015-08-06 00:00","2.83162","0.0182041000",
"2015-08-07 00:00","2.77212095","0.0236376200",
"2015-08-08 00:00","0.75332516","0.0106086900",
"2015-08-09 00:00","0.70189661","0.0152995300",
"2015-08-10 00:00","0.70844787","0.0022791600",
"2015-08-11 00:00","1.06785929","0.0160054000",
"2015-08-12 00:00","1.21743631","0.0087717000",
"2015-08-13 00:00","1.82767475","0.0045226300",
"2015-08-14 00:00","1.82787263","0.0038689100",
"2015-08-15 00:00","1.68890011","0.0027365700",
"2015-08-16 00:00","1.56603193","0.0030425200",
"2015-08-17 00:00","1.20360613","0.0047738900",
"2015-08-18 00:00","1.08704841","0.0047538400",
"2015-08-19 00:00","1.25885808","0.0029768000",
"2015-08-20 00:00","1.46492207","0.0020043500",
"2015-08-21 00:00","1.39529216","0.0118880100",
"2015-08-22 00:00","1.37923467","0.0019211900",
"2015-08-23 00:00","1.35258555","0.0020027700",
"2015-08-24 00:00","1.23127019","0.0018408200",
"2015-08-25 00:00","1.14018667","0.0017920400",
"2015-08-26 00:00","1.15998256","0.0015511600",
"2015-08-27 00:00","1.14770246","0.0020859900",
"2015-08-28 00:00","1.19137895","0.0013306200",
"2015-08-29 00:00","1.18254983","0.0012323200",
"2015-08-30 00:00","1.31926763","0.0014288900",
"2015-08-31 00:00","1.35823834","0.0015221800",
"2015-09-01 00:00","1.35161483","0.0015695400",
"2015-09-02 00:00","1.29478502","0.0014590800",
"2015-09-03 00:00","1.26492739","0.0017252500",
"2015-09-04 00:00","1.27440655","0.0016563200",
"2015-09-05 00:00","1.33881009","0.0014590600",
"2015-09-06 00:00","1.29582608","0.0016233600",
"2015-09-07 00:00","1.24664533","0.0018463000",
"2015-09-08 00:00","1.24242818","0.0017560000",
"2015-09-09 00:00","1.20651042","0.0014839600",
"2015-09-10 00:00","1.16577387","0.0013741100",
"2015-09-11 00:00","0.98297846","0.0020291000",
"2015-09-12 00:00","1.03874159","0.0015814300",
"2015-09-13 00:00","0.93600327","0.0017770200",
"2015-09-14 00:00","0.87562162","0.0015579600",
"2015-09-15 00:00","0.94440961","0.0025794600",
"2015-09-16 00:00","0.90717465","0.0015939900",
"2015-09-17 00:00","0.8742314","0.0020397800",
"2015-09-18 00:00","0.8536852","0.0015335600",
"2015-09-19 00:00","0.88239104","0.0017134700",
"2015-09-20 00:00","0.93844545","0.0016147100",
"2015-09-21 00:00","0.91904688","0.0016760900",
"2015-09-22 00:00","0.90179598","0.0014452000",
"2015-09-23 00:00","0.89340615","0.0016580200",
"2015-09-24 00:00","0.8136102","0.0016811800",
"2015-09-25 00:00","0.7362234","0.0015725700",
"2015-09-26 00:00","0.78596431","0.0014624800",
"2015-09-27 00:00","0.72083902","0.0015143500",
"2015-09-28 00:00","0.58288598","0.0015471100",
"2015-09-29 00:00","0.66114628","0.0014285100",
"2015-09-30 00:00","0.738644","0.0013655100",
"2015-10-01 00:00","0.69021457","0.0016106400",
"2015-10-02 00:00","0.67857432","0.0016020400",
"2015-10-03 00:00","0.68717146","0.0014239000",
"2015-10-04 00:00","0.66837901","0.0018294000",
"2015-10-05 00:00","0.62864339","0.0015477400",
"2015-10-06 00:00","0.65064549","0.0017108500",
"2015-10-07 00:00","0.60938817","0.0017286900",
"2015-10-08 00:00","0.62171555","0.0016722200",
"2015-10-09 00:00","0.65062761","0.0017434200",
"2015-10-10 00:00","0.62785739","0.0014940700",
"2015-10-11 00:00","0.63496256","0.0016235100",
"2015-10-12 00:00","0.62603021","0.0018074600",
"2015-10-13 00:00","0.60765463","0.0017323600",
"2015-10-14 00:00","0.52296817","0.0029035800",
"2015-10-15 00:00","0.56187755","0.0031169200",
"2015-10-16 00:00","0.53649473","0.0018717000",
"2015-10-17 00:00","0.54717755","0.0020233000",
"2015-10-18 00:00","0.51773423","0.0017715400",
"2015-10-19 00:00","0.48901403","0.0019547300",
"2015-10-20 00:00","0.434829","0.0016428100",
"2015-10-21 00:00","0.44732895","0.0022078100",
"2015-10-22 00:00","0.56770235","0.0019959300",
"2015-10-23 00:00","0.53965724","0.0016816000",
"2015-10-24 00:00","0.56359017","0.0015573800",
"2015-10-25 00:00","0.61603856","0.0018142900",
"2015-10-26 00:00","0.73131728","0.0027863900",
"2015-10-27 00:00","0.86964136","0.0014836200",
"2015-10-28 00:00","1.00247657","0.0016016800",
"2015-10-29 00:00","1.2066561","0.0016958000",
"2015-10-30 00:00","1.04121816","0.0020487500",
"2015-10-31 00:00","0.91662681","0.0023384300",
"2015-11-01 00:00","1.05566883","0.0015852400",
"2015-11-02 00:00","0.98978895","0.0016543300",
