时间,币价,平均算力
"2015-08-06 00:00","2.83162","95297747680.0000000000",
"2015-08-07 00:00","2.77212095","104892236891.0000000000",
"2015-08-08 00:00","0.75332516","109676945486.0000000000",
"2015-08-09 00:00","0.70189661","120610799180.0000000000",
"2015-08-10 00:00","0.70844787","134766886331.0000000000",
"2015-08-11 00:00","1.06785929","142999727420.0000000000",
"2015-08-12 00:00","1.21743631","156606018232.0000000000",
"2015-08-13 00:00","1.82767475","196722874450.0000000000",
"2015-08-14 00:00","1.82787263","227666580264.0000000000",
"2015-08-15 00:00","1.68890011","231942202731.0000000000",
"2015-08-16 00:00","1.56603193","258915864705.0000000000",
"2015-08-17 00:00","1.20360613","270470331405.0000000000",
"2015-08-18 00:00","1.08704841","284044135459.0000000000",
"2015-08-19 00:00","1.25885808","221468069465.0000000000",
"2015-08-20 00:00","1.46492207","277264309584.0000000000",
"2015-08-21 00:00","1.39529216","312618144214.0000000000",
"2015-08-22 00:00","1.37923467","317162749743.0000000000",
"2015-08-23 00:00","1.35258555","333335492749.0000000000",
"2015-08-24 00:00","1.23127019","325201816316.0000000000",
"2015-08-25 00:00","1.14018667","343102359407.0000000000",
"2015-08-26 00:00","1.15998256","341118418030.0000000000",
"2015-08-27 00:00","1.14770246","355219519712.0000000000",
"2015-08-28 00:00","1.19137895","351443303077.0000000000",
"2015-08-29 00:00","1.18254983","340150290111.0000000000",
"2015-08-30 00:00","1.31926763","359341490869.0000000000",
"2015-08-31 00:00","1.35823834","363512354042.0000000000",
"2015-09-01 00:00","1.35161483","355779356316.0000000000",
"2015-09-02 00:00","1.29478502","339122685055.0000000000",
"2015-09-03 00:00","1.26492739","349982135772.0000000000",
"2015-09-04 00:00","1.27440655","374913124969.0000000000",
"2015-09-05 00:00","1.33881009","388433114376.0000000000",
"2015-09-06 00:00","1.29582608","379841573552.0000000000",
"2015-09-07 00:00","1.24664533","370785471097.0000000000",
"2015-09-08 00:00","1.24242818","386137579875.0000000000",
"2015-09-09 00:00","1.20651042","392080890204.0000000000",
"2015-09-10 00:00","1.16577387","421668550189.0000000000",
"2015-09-11 00:00","0.98297846","424171784402.0000000000",
"2015-09-12 00:00","1.03874159","432689994307.0000000000",
"2015-09-13 00:00","0.93600327","399653850867.0000000000",
"2015-09-14 00:00","0.87562162","387803268389.0000000000",
"2015-09-15 00:00","0.94440961","383930083752.0000000000",
"2015-09-16 00:00","0.90717465","362139920117.0000000000",
"2015-09-17 00:00","0.8742314","346369552396.0000000000",
"2015-09-18 00:00","0.8536852","357412908757.0000000000",
"2015-09-19 00:00","0.88239104","408789286949.0000000000",
"2015-09-20 00:00","0.93844545","410003700797.0000000000",
"2015-09-21 00:00","0.91904688","410100833217.0000000000",
"2015-09-22 00:00","0.90179598","438890619973.0000000000",
"2015-09-23 00:00","0.89340615","436218902912.0000000000",
"2015-09-24 00:00","0.8136102","443478115526.0000000000",
"2015-09-25 00:00","0.7362234","440625930565.0000000000",
"2015-09-26 00:00","0.78596431","426457256785.0000000000",
"2015-09-27 00:00","0.72083902","391416619823.0000000000",
"2015-09-28 00:00","0.58288598","347260201937.0000000000",
"2015-09-29 00:00","0.66114628","332846785960.0000000000",
"2015-09-30 00:00","0.738644","365320370591.0000000000",
"2015-10-01 00:00","0.69021457","378477872389.0000000000",
"2015-10-02 00:00","0.67857432","390965346687.0000000000",
"2015-10-03 00:00","0.68717146","371097040216.0000000000",
"2015-10-04 00:00","0.66837901","385593881655.0000000000",
"2015-10-05 00:00","0.62864339","368489379087.0000000000",
"2015-10-06 00:00","0.65064549","366973205024.0000000000",
"2015-10-07 00:00","0.60938817","375201688581.0000000000",
"2015-10-08 00:00","0.62171555","364870086205.0000000000",
"2015-10-09 00:00","0.65062761","360603795392.0000000000",
"2015-10-10 00:00","0.62785739","381956474380.0000000000",
"2015-10-11 00:00","0.63496256","386254502402.0000000000",
"2015-10-12 00:00","0.62603021","397934772325.0000000000",
"2015-10-13 00:00","0.60765463","394174872462.0000000000",
"2015-10-14 00:00","0.52296817","372916030147.0000000000",
"2015-10-15 00:00","0.56187755","347004215423.0000000000",
"2015-10-16 00:00","0.53649473","373030407773.0000000000",
"2015-10-17 00:00","0.54717755","362435658041.0000000000",
"2015-10-18 00:00","0.51773423","360920293657.0000000000",
"2015-10-19 00:00","0.48901403","359406256764.0000000000",
