时间,币价,挖币数量
"2015-08-06 00:00","2.83162","26046.0000000000",
"2015-08-07 00:00","2.77212095","26419.0000000000",
"2015-08-08 00:00","0.75332516","25694.0000000000",
"2015-08-09 00:00","0.70189661","26371.0000000000",
"2015-08-10 00:00","0.70844787","26479.0000000000",
"2015-08-11 00:00","1.06785929","25726.0000000000",
"2015-08-12 00:00","1.21743631","26533.0000000000",
"2015-08-13 00:00","1.82767475","29146.0000000000",
"2015-08-14 00:00","1.82787263","26987.0000000000",
"2015-08-15 00:00","1.68890011","25726.0000000000",
"2015-08-16 00:00","1.56603193","26801.0000000000",
"2015-08-17 00:00","1.20360613","24812.0000000000",
"2015-08-18 00:00","1.08704841","26031.0000000000",
"2015-08-19 00:00","1.25885808","20167.0000000000",
"2015-08-20 00:00","1.46492207","25500.0000000000",
"2015-08-21 00:00","1.39529216","26448.0000000000",
"2015-08-22 00:00","1.37923467","25123.0000000000",
"2015-08-23 00:00","1.35258555","25987.0000000000",
"2015-08-24 00:00","1.23127019","25545.0000000000",
"2015-08-25 00:00","1.14018667","25069.0000000000",
"2015-08-26 00:00","1.15998256","23590.0000000000",
"2015-08-27 00:00","1.14770246","23315.0000000000",
"2015-08-28 00:00","1.19137895","21686.0000000000",
"2015-08-29 00:00","1.18254983","20808.0000000000",
"2015-08-30 00:00","1.31926763","20645.0000000000",
"2015-08-31 00:00","1.35823834","19724.0000000000",
"2015-09-01 00:00","1.35161483","17914.0000000000",
"2015-09-02 00:00","1.29478502","16941.0000000000",
"2015-09-03 00:00","1.26492739","22260.0000000000",
"2015-09-04 00:00","1.27440655","24656.0000000000",
"2015-09-05 00:00","1.33881009","24951.0000000000",
"2015-09-06 00:00","1.29582608","24232.0000000000",
"2015-09-07 00:00","1.24664533","24679.0000000000",
"2015-09-08 00:00","1.24242818","25238.0000000000",
"2015-09-09 00:00","1.20651042","25082.0000000000",
"2015-09-10 00:00","1.16577387","25778.0000000000",
"2015-09-11 00:00","0.98297846","25194.0000000000",
"2015-09-12 00:00","1.03874159","24919.0000000000",
"2015-09-13 00:00","0.93600327","24321.0000000000",
"2015-09-14 00:00","0.87562162","24277.0000000000",
"2015-09-15 00:00","0.94440961","24859.0000000000",
"2015-09-16 00:00","0.90717465","24106.0000000000",
"2015-09-17 00:00","0.8742314","24519.0000000000",
"2015-09-18 00:00","0.8536852","25474.0000000000",
"2015-09-19 00:00","0.88239104","26596.0000000000",
"2015-09-20 00:00","0.93844545","25438.0000000000",
"2015-09-21 00:00","0.91904688","25312.0000000000",
"2015-09-22 00:00","0.90179598","25887.0000000000",
"2015-09-23 00:00","0.89340615","25168.0000000000",
"2015-09-24 00:00","0.8136102","25697.0000000000",
"2015-09-25 00:00","0.7362234","24712.0000000000",
"2015-09-26 00:00","0.78596431","23921.0000000000",
"2015-09-27 00:00","0.72083902","23742.0000000000",
"2015-09-28 00:00","0.58288598","23257.0000000000",
"2015-09-29 00:00","0.66114628","23849.0000000000",
"2015-09-30 00:00","0.738644","26117.0000000000",
"2015-10-01 00:00","0.69021457","25775.0000000000",
"2015-10-02 00:00","0.67857432","25440.0000000000",
"2015-10-03 00:00","0.68717146","24483.0000000000",
"2015-10-04 00:00","0.66837901","25102.0000000000",
"2015-10-05 00:00","0.62864339","24081.0000000000",
"2015-10-06 00:00","0.65064549","25078.0000000000",
"2015-10-07 00:00","0.60938817","25814.0000000000",
"2015-10-08 00:00","0.62171555","24574.0000000000",
"2015-10-09 00:00","0.65062761","24533.0000000000",
"2015-10-10 00:00","0.62785739","25421.0000000000",
