时间,币价,挖矿难度
"2015-08-06 00:00","2.83162","1470838650662.2773000000",
"2015-08-07 00:00","2.77212095","1586123528941.2515000000",
"2015-08-08 00:00","0.75332516","1709479787484.6428000000",
"2015-08-09 00:00","0.70189661","1837695763267.6233000000",
"2015-08-10 00:00","0.70844787","2036390797503.4740000000",
"2015-08-11 00:00","1.06785929","2207079742289.7210000000",
"2015-08-12 00:00","1.21743631","2336979708057.8900000000",
"2015-08-13 00:00","1.82767475","2671253150471.5103000000",
"2015-08-14 00:00","1.82787263","3378028425874.2620000000",
"2015-08-15 00:00","1.68890011","3631632144442.7896000000",
"2015-08-16 00:00","1.56603193","3908024035252.5737000000",
"2015-08-17 00:00","1.20360613","4377694725368.5350000000",
"2015-08-18 00:00","1.08704841","4419573021824.6130000000",
"2015-08-19 00:00","1.25885808","4469109431846.0940000000",
"2015-08-20 00:00","1.46492207","4415252643654.7540000000",
"2015-08-21 00:00","1.39529216","4828340997895.1190000000",
"2015-08-22 00:00","1.37923467","5138351075672.9680000000",
"2015-08-23 00:00","1.35258555","5179118882691.4820000000",
"2015-08-24 00:00","1.23127019","5173287673222.9030000000",
"2015-08-25 00:00","1.14018667","5587304091731.8100000000",
"2015-08-26 00:00","1.15998256","5925309861485.9820000000",
"2015-08-27 00:00","1.14770246","6250868351995.9880000000",
"2015-08-28 00:00","1.19137895","6657649139909.9790000000",
"2015-08-29 00:00","1.18254983","6780904668947.9270000000",
"2015-08-30 00:00","1.31926763","7213764433229.3490000000",
"2015-08-31 00:00","1.35823834","7641499013978.4650000000",
"2015-09-01 00:00","1.35161483","8283953338039.2480000000",
"2015-09-02 00:00","1.29478502","8354596884230.8545000000",
"2015-09-03 00:00","1.26492739","6469670080246.4530000000",
"2015-09-04 00:00","1.27440655","6235386210268.6200000000",
"2015-09-05 00:00","1.33881009","6305025872317.3100000000",
"2015-09-06 00:00","1.29582608","6339141092888.2890000000",
"2015-09-07 00:00","1.24664533","6077004932538.8990000000",
"2015-09-08 00:00","1.24242818","6202066849531.5390000000",
"2015-09-09 00:00","1.20651042","6289587949042.9250000000",
"2015-09-10 00:00","1.16577387","6561787910853.3600000000",
"2015-09-11 00:00","0.98297846","6832639915711.8480000000",
"2015-09-12 00:00","1.03874159","7022050607216.2470000000",
"2015-09-13 00:00","0.93600327","6626273317244.0370000000",
"2015-09-14 00:00","0.87562162","6418523305692.0080000000",
"2015-09-15 00:00","0.94440961","6179108814558.4150000000",
"2015-09-16 00:00","0.90717465","6040422718682.2440000000",
"2015-09-17 00:00","0.8742314","5652727817263.3440000000",
"2015-09-18 00:00","0.8536852","5548291301467.7295000000",
"2015-09-19 00:00","0.88239104","6202288372044.0960000000",
"2015-09-20 00:00","0.93844545","6541475961494.7790000000",
"2015-09-21 00:00","0.91904688","6624026779678.0320000000",
"2015-09-22 00:00","0.90179598","6895375007164.6260000000",
"2015-09-23 00:00","0.89340615","7029217239891.8220000000",
"2015-09-24 00:00","0.8136102","6977082570624.8060000000",
"2015-09-25 00:00","0.7362234","7226850619903.6760000000",
"2015-09-26 00:00","0.78596431","7252906515025.0700000000",
"2015-09-27 00:00","0.72083902","6747096187570.9960000000",
"2015-09-28 00:00","0.58288598","6057282503508.3790000000",
"2015-09-29 00:00","0.66114628","5625252282980.1150000000",
"2015-09-30 00:00","0.738644","5652882534058.7840000000",
"2015-10-01 00:00","0.69021457","5981731817266.5450000000",
"2015-10-02 00:00","0.67857432","6290812311294.6810000000",
"2015-10-03 00:00","0.68717146","6205739662280.5800000000",
"2015-10-04 00:00","0.66837901","6284591115849.0030000000",
"2015-10-05 00:00","0.62864339","6276470353925.4700000000",
"2015-10-06 00:00","0.65064549","5983537715400.7630000000",
"2015-10-07 00:00","0.60938817","5977784444865.1490000000",
"2015-10-08 00:00","0.62171555","6122631614308.7170000000",
"2015-10-09 00:00","0.65062761","6031582042943.6875000000",
"2015-10-10 00:00","0.62785739","6139498339883.5230000000",
"2015-10-11 00:00","0.63496256","6145002740253.9375000000",
"2015-10-12 00:00","0.62603021","6356692057707.8520000000",
"2015-10-13 00:00","0.60765463","6482464932997.0205000000",
"2015-10-14 00:00","0.52296817","6209364513561.0970000000",
"2015-10-15 00:00","0.56187755","5814901770906.3150000000",
"2015-10-16 00:00","0.53649473","6004201090753.6730000000",
"2015-10-17 00:00","0.54717755","5973918932015.9920000000",
"2015-10-18 00:00","0.51773423","5921606787199.0060000000",
"2015-10-19 00:00","0.48901403","5834977688133.4510000000",
"2015-10-20 00:00","0.434829","5875656973200.6020000000",
"2015-10-21 00:00","0.44732895","5734489168580.5120000000",
"2015-10-22 00:00","0.56770235","5878810489624.5650000000",
"2015-10-23 00:00","0.53965724","6288280683192.9290000000",
"2015-10-24 00:00","0.56359017","6589253417659.2820000000",
"2015-10-25 00:00","0.61603856","6541039905212.8250000000",
"2015-10-26 00:00","0.73131728","6541750115499.6780000000",
"2015-10-27 00:00","0.86964136","6845791973687.8660000000",
"2015-10-28 00:00","1.00247657","7040083960188.3210000000",
"2015-10-29 00:00","1.2066561","7428610213548.9710000000",
"2015-10-30 00:00","1.04121816","7792887089970.7010000000",
"2015-10-31 00:00","0.91662681","7780658217194.4390000000",
"2015-11-01 00:00","1.05566883","7689750130444.2480000000",
"2015-11-02 00:00","0.98978895","7332785272893.7960000000",
"2015-11-03 00:00","1.01336348","7742586663679.7450000000",
"2015-11-04 00:00","0.89904976","7582489324902.8870000000",
"2015-11-05 00:00","0.89563733","7592232261293.3440000000",
"2015-11-06 00:00","0.92603213","7549914589721.4820000000",
"2015-11-07 00:00","0.92797416","7709287701830.7560000000",
"2015-11-08 00:00","1.02746606","7754098317251.3820000000",
"2015-11-09 00:00","0.99927813","7760001726240.6700000000",
"2015-11-10 00:00","0.93434829","7673240442433.9930000000",
"2015-11-11 00:00","0.79182917","7746194157635.7460000000",
"2015-11-12 00:00","0.89571095","7870061343232.7295000000",
"2015-11-13 00:00","0.90409559","7913167398562.7010000000",
"2015-11-14 00:00","0.88881159","8259505404947.7310000000",
"2015-11-15 00:00","0.90636796","8327053098273.2070000000",
"2015-11-16 00:00","0.92896181","8153082615466.9350000000",
"2015-11-17 00:00","1.00797558","8549643854786.6340000000",
"2015-11-18 00:00","0.99331909","8806541779358.0490000000",
"2015-11-19 00:00","0.95553195","7974988114889.7220000000",
"2015-11-20 00:00","0.92491966","7600545692811.5250000000",
"2015-11-21 00:00","0.97613966","7533348659094.0050000000",
"2015-11-22 00:00","0.96801782","7566020050684.1550000000",
"2015-11-23 00:00","0.94696921","7664566213246.1590000000",
"2015-11-24 00:00","0.90019119","7516847539836.9930000000",
"2015-11-25 00:00","0.86353725","7497611770240.3670000000",
"2015-11-26 00:00","0.88418305","7469695245892.4910000000",
"2015-11-27 00:00","0.8679511","7720770634161.2360000000",
"2015-11-28 00:00","0.91570282","7721488856045.9500000000",
"2015-11-29 00:00","0.87861377","7780837709727.5590000000",
"2015-11-30 00:00","0.87311912","7873489340191.9050000000",
"2015-12-01 00:00","0.87479961","7817999751935.5840000000",
"2015-12-02 00:00","0.82120973","7588315518791.5910000000",
"2015-12-03 00:00","0.81214267","7833023569690.7940000000",
"2015-12-04 00:00","0.8400414","8163740698469.5640000000",
"2015-12-05 00:00","0.86243778","7852114986498.6720000000",
"2015-12-06 00:00","0.83550012","7648250416398.5920000000",
"2015-12-07 00:00","0.81126428","7547985307948.8430000000",
"2015-12-08 00:00","0.82211804","7350171617029.2690000000",
"2015-12-09 00:00","0.79216707","7772755103816.2390000000",
"2015-12-10 00:00","0.84039587","8060297713149.6890000000",
"2015-12-11 00:00","0.92976224","8045093540450.7060000000",
"2015-12-12 00:00","0.97697264","8472258757792.2120000000",
"2015-12-13 00:00","0.95288384","8575886197735.5490000000",
"2015-12-14 00:00","0.99302226","8768527206039.8750000000",
"2015-12-15 00:00","1.01414597","8562437625714.8470000000",
"2015-12-16 00:00","0.99118167","8734093092267.3970000000",
"2015-12-17 00:00","0.94070083","8779610024754.2310000000",
"2015-12-18 00:00","0.92012739","8718613363965.7910000000",
"2015-12-19 00:00","0.90807152","8539950457531.3300000000",
"2015-12-20 00:00","0.90388465","8512846169834.5390000000",
"2015-12-21 00:00","0.9007706","8740208022452.1300000000",
"2015-12-22 00:00","0.86420166","8531916432949.5290000000",
"2015-12-23 00:00","0.85807729","8568509845032.2870000000",
"2015-12-24 00:00","0.86326188","8546027693063.8100000000",
"2015-12-25 00:00","0.87036282","8455639813743.1560000000",
"2015-12-26 00:00","0.85460323","8588752228727.0600000000",
"2015-12-27 00:00","0.85636461","8531886376416.3680000000",
"2015-12-28 00:00","0.8450051","8605435564152.8620000000",
"2015-12-29 00:00","0.87305421","8477527700665.0170000000",
"2015-12-30 00:00","0.91195798","8542669516735.2000000000",
"2015-12-31 00:00","0.93354231","8547423168621.6830000000",
"2016-01-01 00:00","0.94802439","8147466230775.6070000000",
"2016-01-02 00:00","0.93712407","8312405051131.7150000000",
"2016-01-03 00:00","0.97190481","8334160179746.3940000000",
"2016-01-04 00:00","0.95448023","8305862081374.4760000000",
"2016-01-05 00:00","0.95017588","8422692292473.7670000000",
"2016-01-06 00:00","0.95085979","8210108041818.3400000000",
"2016-01-07 00:00","0.94200456","8302400427732.2200000000",
"2016-01-08 00:00","0.98678917","8432800952952.0190000000",
"2016-01-09 00:00","0.98683339","8336741119272.2530000000",
"2016-01-10 00:00","0.99923068","8828185121710.2320000000",
"2016-01-11 00:00","1.0615958","8889943291451.6760000000",
"2016-01-12 00:00","1.14100134","8483670874692.3310000000",
"2016-01-13 00:00","1.12520289","8735311016259.1030000000",
"2016-01-14 00:00","1.18958628","8996159875428.0120000000",
