时间,币价,新增地址数
"2015-08-06 00:00","2.83162","731.0000000000",
"2015-08-07 00:00","2.77212095","428.0000000000",
"2015-08-08 00:00","0.75332516","271.0000000000",
"2015-08-09 00:00","0.70189661","665.0000000000",
"2015-08-10 00:00","0.70844787","1904.0000000000",
"2015-08-11 00:00","1.06785929","351.0000000000",
"2015-08-12 00:00","1.21743631","565.0000000000",
"2015-08-13 00:00","1.82767475","547.0000000000",
"2015-08-14 00:00","1.82787263","385.0000000000",
"2015-08-15 00:00","1.68890011","264.0000000000",
"2015-08-16 00:00","1.56603193","297.0000000000",
"2015-08-17 00:00","1.20360613","297.0000000000",
"2015-08-18 00:00","1.08704841","292.0000000000",
"2015-08-19 00:00","1.25885808","225.0000000000",
"2015-08-20 00:00","1.46492207","304.0000000000",
"2015-08-21 00:00","1.39529216","256.0000000000",
"2015-08-22 00:00","1.37923467","351.0000000000",
"2015-08-23 00:00","1.35258555","183.0000000000",
"2015-08-24 00:00","1.23127019","255.0000000000",
"2015-08-25 00:00","1.14018667","208.0000000000",
"2015-08-26 00:00","1.15998256","219.0000000000",
"2015-08-27 00:00","1.14770246","185.0000000000",
"2015-08-28 00:00","1.19137895","129.0000000000",
"2015-08-29 00:00","1.18254983","215.0000000000",
"2015-08-30 00:00","1.31926763","149.0000000000",
"2015-08-31 00:00","1.35823834","182.0000000000",
"2015-09-01 00:00","1.35161483","154.0000000000",
"2015-09-02 00:00","1.29478502","155.0000000000",
"2015-09-03 00:00","1.26492739","141.0000000000",
"2015-09-04 00:00","1.27440655","163.0000000000",
"2015-09-05 00:00","1.33881009","131.0000000000",
"2015-09-06 00:00","1.29582608","227.0000000000",
"2015-09-07 00:00","1.24664533","123.0000000000",
"2015-09-08 00:00","1.24242818","171.0000000000",
"2015-09-09 00:00","1.20651042","109.0000000000",
"2015-09-10 00:00","1.16577387","186.0000000000",
"2015-09-11 00:00","0.98297846","148.0000000000",
"2015-09-12 00:00","1.03874159","210.0000000000",
"2015-09-13 00:00","0.93600327","163.0000000000",
"2015-09-14 00:00","0.87562162","180.0000000000",
"2015-09-15 00:00","0.94440961","133.0000000000",
"2015-09-16 00:00","0.90717465","109.0000000000",
"2015-09-17 00:00","0.8742314","168.0000000000",
"2015-09-18 00:00","0.8536852","111.0000000000",
"2015-09-19 00:00","0.88239104","122.0000000000",
"2015-09-20 00:00","0.93844545","131.0000000000",
"2015-09-21 00:00","0.91904688","134.0000000000",
"2015-09-22 00:00","0.90179598","155.0000000000",
