时间,币价,每日区块奖励
"2015-08-06 00:00","2.83162","73753.0107000000",
"2015-08-07 00:00","2.77212095","35157.9658000000",
"2015-08-08 00:00","0.75332516","18459.4589000000",
"2015-08-09 00:00","0.70189661","16976.8644000000",
"2015-08-10 00:00","0.70844787","19871.9924000000",
"2015-08-11 00:00","1.06785929","28147.0127000000",
"2015-08-12 00:00","1.21743631","38103.6900000000",
"2015-08-13 00:00","1.82767475","63697.8694000000",
"2015-08-14 00:00","1.82787263","43958.7151000000",
"2015-08-15 00:00","1.68890011","36276.8934000000",
"2015-08-16 00:00","1.56603193","34244.3392000000",
"2015-08-17 00:00","1.20360613","31043.5967000000",
"2015-08-18 00:00","1.08704841","32108.7093000000",
"2015-08-19 00:00","1.25885808","28702.4979000000",
"2015-08-20 00:00","1.46492207","38996.3858000000",
"2015-08-21 00:00","1.39529216","37889.4276000000",
"2015-08-22 00:00","1.37923467","33116.9530000000",
"2015-08-23 00:00","1.35258555","33546.3291000000",
"2015-08-24 00:00","1.23127019","28965.1380000000",
"2015-08-25 00:00","1.14018667","29796.4500000000",
"2015-08-26 00:00","1.15998256","26830.3520000000",
"2015-08-27 00:00","1.14770246","27265.8219000000",
"2015-08-28 00:00","1.19137895","25147.7471000000",
"2015-08-29 00:00","1.18254983","26890.1252000000",
"2015-08-30 00:00","1.31926763","27546.5350000000",
"2015-08-31 00:00","1.35823834","26865.8404000000",
"2015-09-01 00:00","1.35161483","23679.5898000000",
"2015-09-02 00:00","1.29478502","20678.4789000000",
"2015-09-03 00:00","1.26492739","28287.2548000000",
"2015-09-04 00:00","1.27440655","32274.7196000000",
"2015-09-05 00:00","1.33881009","32987.7410000000",
"2015-09-06 00:00","1.29582608","30439.6101000000",
"2015-09-07 00:00","1.24664533","30770.9652000000",
"2015-09-08 00:00","1.24242818","31526.7282000000",
"2015-09-09 00:00","1.20651042","30332.3424000000",
"2015-09-10 00:00","1.16577387","25683.7476000000",
"2015-09-11 00:00","0.98297846","26528.8669000000",
"2015-09-12 00:00","1.03874159","24560.8908000000",
"2015-09-13 00:00","0.93600327","21693.0079000000",
"2015-09-14 00:00","0.87562162","23857.9745000000",
"2015-09-15 00:00","0.94440961","23066.4043000000",
"2015-09-16 00:00","0.90717465","20943.4028000000",
"2015-09-18 00:00","0.8536852","21959.3123000000",
"2015-09-19 00:00","0.88239104","22715.7530000000",
"2015-09-20 00:00","0.93844545","23036.9297000000",
"2015-09-21 00:00","0.91904688","22900.3878000000",
"2015-09-22 00:00","0.90179598","23445.8833000000",
"2015-09-23 00:00","0.89340615","22532.4415000000",
"2015-09-24 00:00","0.8136102","21968.6429000000",
"2015-09-25 00:00","0.7362234","18763.4045000000",
"2015-09-26 00:00","0.78596431","17753.9792000000",
"2015-09-27 00:00","0.72083902","17332.0734000000",
"2015-09-28 00:00","0.58288598","14815.5403000000",
"2015-09-29 00:00","0.66114628","15591.7675000000",
"2015-09-30 00:00","0.738644","18918.1458000000",
"2015-10-01 00:00","0.69021457","17799.7113000000",
"2015-10-02 00:00","0.67857432","17090.6175000000",
"2015-10-03 00:00","0.68717146","17027.1824000000",
"2015-10-04 00:00","0.66837901","16703.9493000000",
"2015-10-05 00:00","0.62864339","15822.7876000000",
"2015-10-06 00:00","0.65064549","15864.5179000000",
"2015-10-07 00:00","0.60938817","15982.0630000000",
"2015-10-08 00:00","0.62171555","14732.2212000000",
"2015-10-09 00:00","0.65062761","16208.3486000000",
"2015-10-10 00:00","0.62785739","16044.2289000000",
"2015-10-11 00:00","0.63496256","16264.8290000000",
"2015-10-12 00:00","0.62603021","16293.4772000000",
"2015-10-13 00:00","0.60765463","15003.3186000000",
"2015-10-14 00:00","0.52296817","12989.6370000000",
"2015-10-15 00:00","0.56187755","13853.7971000000",
"2015-10-16 00:00","0.53649473","13362.0778000000",
"2015-10-17 00:00","0.54717755","13925.4300000000",
"2015-10-18 00:00","0.51773423","12912.1205000000",
"2015-10-19 00:00","0.48901403","12288.5841000000",
"2015-10-20 00:00","0.434829","12021.3038000000",
"2015-10-21 00:00","0.44732895","10238.9224000000",
"2015-10-22 00:00","0.56770235","16341.9077000000",
"2015-10-23 00:00","0.53965724","14359.4585000000",
"2015-10-24 00:00","0.56359017","13944.1723000000",
"2015-10-25 00:00","0.61603856","16566.5713000000",
"2015-10-26 00:00","0.73131728","17805.5159000000",
"2015-10-27 00:00","0.86964136","19575.0159000000",
"2015-10-28 00:00","1.00247657","26763.6334000000",
"2015-10-29 00:00","1.2066561","30423.8077000000",
"2015-10-30 00:00","1.04121816","27137.3854000000",
"2015-10-31 00:00","0.91662681","23563.1567000000",
"2015-11-01 00:00","1.05566883","26489.6653000000",
"2015-11-02 00:00","0.98978895","24347.6900000000",
"2015-11-03 00:00","1.01336348","25662.5609000000",
"2015-11-04 00:00","0.89904976","22848.5779000000",
"2015-11-05 00:00","0.89563733","23267.1845000000",
"2015-11-06 00:00","0.92603213","22074.9484000000",
"2015-11-07 00:00","0.92797416","23323.7486000000",
"2015-11-08 00:00","1.02746606","25790.1384000000",
"2015-11-09 00:00","0.99927813","25254.8587000000",
"2015-11-10 00:00","0.93434829","23275.4577000000",
"2015-11-11 00:00","0.79182917","19922.4540000000",
"2015-11-12 00:00","0.89571095","23138.4759000000",
"2015-11-13 00:00","0.90409559","23095.4348000000",
"2015-11-14 00:00","0.88881159","23354.8681000000",
"2015-11-15 00:00","0.90636796","22965.7172000000",
"2015-11-16 00:00","0.92896181","23955.9684000000",
"2015-11-17 00:00","1.00797558","25440.8491000000",
"2015-11-18 00:00","0.99331909","24787.7670000000",
"2015-11-19 00:00","0.95553195","22584.7577000000",
"2015-11-20 00:00","0.92491966","23437.5606000000",
"2015-11-21 00:00","0.97613966","24535.4486000000",
"2015-11-22 00:00","0.96801782","24711.3416000000",
"2015-11-23 00:00","0.94696921","23608.0509000000",
"2015-11-24 00:00","0.90019119","21895.0333000000",
"2015-11-25 00:00","0.86353725","21584.2302000000",
"2015-11-26 00:00","0.88418305","22786.2397000000",
"2015-11-27 00:00","0.8679511","22230.1240000000",
"2015-11-28 00:00","0.91570282","22931.9281000000",
"2015-11-29 00:00","0.87861377","21755.0241000000",
"2015-11-30 00:00","0.87311912","22170.9876000000",
"2015-12-01 00:00","0.87479961","20520.1581000000",
"2015-12-02 00:00","0.82120973","21322.7129000000",
"2015-12-03 00:00","0.81214267","20364.6805000000",
"2015-12-04 00:00","0.8400414","20960.7118000000",
"2015-12-05 00:00","0.86243778","21546.9062000000",
"2015-12-06 00:00","0.83550012","20457.6599000000",
"2015-12-07 00:00","0.81126428","19476.2543000000",
"2015-12-08 00:00","0.82211804","20569.9947000000",
"2015-12-09 00:00","0.79216707","20460.4952000000",
"2015-12-10 00:00","0.84039587","21255.1564000000",
"2015-12-11 00:00","0.92976224","24472.3830000000",
"2015-12-12 00:00","0.97697264","25740.6650000000",
"2015-12-13 00:00","0.95288384","24789.2786000000",
"2015-12-14 00:00","0.99302226","25539.0459000000",
"2015-12-15 00:00","1.01414597","24858.1969000000",
"2015-12-16 00:00","0.99118167","25153.6971000000",
"2015-12-17 00:00","0.94070083","23154.9147000000",
"2015-12-18 00:00","0.92012739","22883.5061000000",
"2015-12-19 00:00","0.90807152","22788.0439000000",
"2015-12-20 00:00","0.90388465","22755.8204000000",
"2015-12-21 00:00","0.9007706","23074.6648000000",
"2015-12-22 00:00","0.86420166","22397.7812000000",
"2015-12-23 00:00","0.85807729","21739.7357000000",
"2015-12-24 00:00","0.86326188","22335.4354000000",
"2015-12-25 00:00","0.87036282","21907.9482000000",
"2015-12-26 00:00","0.85460323","21398.4136000000",
"2015-12-27 00:00","0.85636461","22252.6231000000",
"2015-12-28 00:00","0.8450051","21086.6304000000",
"2015-12-29 00:00","0.87305421","22704.5349000000",
"2015-12-30 00:00","0.91195798","24216.1293000000",
"2015-12-31 00:00","0.93354231","23286.9616000000",
"2016-01-01 00:00","0.94802439","24590.7412000000",
"2016-01-02 00:00","0.93712407","24470.0978000000",
"2016-01-03 00:00","0.97190481","24716.2427000000",
