时间,币价,每日叔块奖励
"2015-08-06 00:00","2.83162","4045.6800000000",
"2015-08-07 00:00","2.77212095","2118.3900000000",
"2015-08-08 00:00","0.75332516","1075.8200000000",
"2015-08-09 00:00","0.70189661","951.1700000000",
"2015-08-10 00:00","0.70844787","1170.2500000000",
"2015-08-11 00:00","1.06785929","1834.6400000000",
"2015-08-12 00:00","1.21743631","2526.5500000000",
"2015-08-13 00:00","1.82767475","4316.3000000000",
"2015-08-14 00:00","1.82787263","2498.2300000000",
"2015-08-15 00:00","1.68890011","1937.9800000000",
"2015-08-16 00:00","1.56603193","1692.9500000000",
"2015-08-17 00:00","1.20360613","1703.8600000000",
"2015-08-18 00:00","1.08704841","1561.0700000000",
"2015-08-19 00:00","1.25885808","1276.4700000000",
"2015-08-20 00:00","1.46492207","1832.2100000000",
"2015-08-21 00:00","1.39529216","1640.3300000000",
"2015-08-22 00:00","1.37923467","1503.5600000000",
"2015-08-23 00:00","1.35258555","1748.2900000000",
"2015-08-24 00:00","1.23127019","1359.2100000000",
"2015-08-25 00:00","1.14018667","1278.4200000000",
"2015-08-26 00:00","1.15998256","1081.9000000000",
"2015-08-27 00:00","1.14770246","1075.8900000000",
"2015-08-28 00:00","1.19137895","978.4000000000",
"2015-08-29 00:00","1.18254983","840.7800000000",
"2015-08-30 00:00","1.31926763","873.9300000000",
"2015-08-31 00:00","1.35823834","852.9800000000",
"2015-09-01 00:00","1.35161483","636.1300000000",
"2015-09-02 00:00","1.29478502","544.6800000000",
"2015-09-03 00:00","1.26492739","1055.4800000000",
"2015-09-04 00:00","1.27440655","1284.4100000000",
"2015-09-05 00:00","1.33881009","1618.6800000000",
"2015-09-06 00:00","1.29582608","1553.6800000000",
"2015-09-07 00:00","1.24664533","1525.0000000000",
"2015-09-08 00:00","1.24242818","1497.4100000000",
"2015-09-09 00:00","1.20651042","1655.9700000000",
"2015-09-10 00:00","1.16577387","1465.2400000000",
"2015-09-11 00:00","0.98297846","1282.6500000000",
"2015-09-12 00:00","1.03874159","1243.0900000000",
"2015-09-13 00:00","0.93600327","1138.9000000000",
"2015-09-14 00:00","0.87562162","1322.9900000000",
"2015-09-15 00:00","0.94440961","1367.4500000000",
"2015-09-16 00:00","0.90717465","1161.9900000000",
"2015-09-18 00:00","0.8536852","1476.7300000000",
"2015-09-19 00:00","0.88239104","1193.0400000000",
"2015-09-20 00:00","0.93844545","1108.2300000000",
"2015-09-21 00:00","0.91904688","966.8900000000",
"2015-09-22 00:00","0.90179598","1089.6300000000",
"2015-09-23 00:00","0.89340615","1098.9300000000",
"2015-09-24 00:00","0.8136102","1125.2800000000",
"2015-09-25 00:00","0.7362234","916.8300000000",
"2015-09-26 00:00","0.78596431","815.0100000000",
"2015-09-27 00:00","0.72083902","716.3200000000",
"2015-09-28 00:00","0.58288598","713.0500000000",
"2015-09-29 00:00","0.66114628","819.2600000000",
"2015-09-30 00:00","0.738644","951.6300000000",
"2015-10-01 00:00","0.69021457","792.4300000000",
"2015-10-02 00:00","0.67857432","687.3300000000",
"2015-10-03 00:00","0.68717146","699.8100000000",
"2015-10-04 00:00","0.66837901","696.2200000000",
"2015-10-05 00:00","0.62864339","634.0500000000",
"2015-10-06 00:00","0.65064549","675.3000000000",
"2015-10-07 00:00","0.60938817","606.7400000000",
"2015-10-08 00:00","0.62171555","530.1700000000",
"2015-10-09 00:00","0.65062761","645.8000000000",
"2015-10-10 00:00","0.62785739","693.4700000000",
"2015-10-11 00:00","0.63496256","640.3900000000",
"2015-10-12 00:00","0.62603021","688.1900000000",
"2015-10-13 00:00","0.60765463","701.0500000000",
"2015-10-14 00:00","0.52296817","494.2100000000",
"2015-10-15 00:00","0.56187755","556.7500000000",
"2015-10-16 00:00","0.53649473","591.5500000000",
"2015-10-17 00:00","0.54717755","605.0500000000",
"2015-10-18 00:00","0.51773423","541.8400000000",
"2015-10-19 00:00","0.48901403","584.9300000000",
"2015-10-20 00:00","0.434829","505.3900000000",
"2015-10-21 00:00","0.44732895","468.1500000000",
"2015-10-22 00:00","0.56770235","738.3300000000",
"2015-10-23 00:00","0.53965724","668.9900000000",
"2015-10-24 00:00","0.56359017","698.4000000000",
"2015-10-25 00:00","0.61603856","887.3900000000",
"2015-10-26 00:00","0.73131728","930.1500000000",
"2015-10-27 00:00","0.86964136","1140.5200000000",
"2015-10-28 00:00","1.00247657","1702.9000000000",
"2015-10-29 00:00","1.2066561","1739.3400000000",
"2015-10-30 00:00","1.04121816","2125.1300000000",
"2015-10-31 00:00","0.91662681","2085.3500000000",
"2015-11-01 00:00","1.05566883","2029.0100000000",
