时间,币价,活跃地址数
"2015-08-06 00:00","2.83162","1115.0000000000",
"2015-08-07 00:00","2.77212095","861.0000000000",
"2015-08-08 00:00","0.75332516","758.0000000000",
"2015-08-09 00:00","0.70189661","1039.0000000000",
"2015-08-10 00:00","0.70844787","2387.0000000000",
"2015-08-11 00:00","1.06785929","927.0000000000",
"2015-08-12 00:00","1.21743631","1317.0000000000",
"2015-08-13 00:00","1.82767475","1622.0000000000",
"2015-08-14 00:00","1.82787263","1347.0000000000",
"2015-08-15 00:00","1.68890011","1218.0000000000",
"2015-08-16 00:00","1.56603193","1256.0000000000",
"2015-08-17 00:00","1.20360613","1303.0000000000",
"2015-08-18 00:00","1.08704841","1385.0000000000",
"2015-08-19 00:00","1.25885808","1190.0000000000",
"2015-08-20 00:00","1.46492207","1446.0000000000",
"2015-08-21 00:00","1.39529216","1430.0000000000",
"2015-08-22 00:00","1.37923467","1609.0000000000",
"2015-08-23 00:00","1.35258555","1442.0000000000",
"2015-08-24 00:00","1.23127019","1609.0000000000",
"2015-08-25 00:00","1.14018667","1561.0000000000",
"2015-08-26 00:00","1.15998256","1617.0000000000",
"2015-08-27 00:00","1.14770246","1565.0000000000",
"2015-08-28 00:00","1.19137895","1395.0000000000",
"2015-08-29 00:00","1.18254983","1640.0000000000",
"2015-08-30 00:00","1.31926763","1535.0000000000",
"2015-08-31 00:00","1.35823834","1576.0000000000",
"2015-09-01 00:00","1.35161483","1525.0000000000",
"2015-09-02 00:00","1.29478502","1462.0000000000",
"2015-09-03 00:00","1.26492739","1465.0000000000",
"2015-09-04 00:00","1.27440655","1499.0000000000",
"2015-09-05 00:00","1.33881009","1604.0000000000",
"2015-09-06 00:00","1.29582608","1666.0000000000",
"2015-09-07 00:00","1.24664533","1561.0000000000",
"2015-09-08 00:00","1.24242818","1557.0000000000",
"2015-09-09 00:00","1.20651042","1548.0000000000",
"2015-09-10 00:00","1.16577387","1714.0000000000",
"2015-09-11 00:00","0.98297846","1562.0000000000",
"2015-09-12 00:00","1.03874159","1623.0000000000",
"2015-09-13 00:00","0.93600327","1643.0000000000",
"2015-09-14 00:00","0.87562162","1502.0000000000",
"2015-09-15 00:00","0.94440961","1524.0000000000",
"2015-09-16 00:00","0.90717465","1528.0000000000",
"2015-09-17 00:00","0.8742314","1500.0000000000",
"2015-09-18 00:00","0.8536852","1383.0000000000",
"2015-09-19 00:00","0.88239104","1487.0000000000",
"2015-09-20 00:00","0.93844545","1557.0000000000",
"2015-09-21 00:00","0.91904688","1591.0000000000",
