时间,币价,灰度信托OTC溢价率
"2020-06-08 00:00","243.2946456998","7.8312",
"2020-06-09 00:00","243.9526771789","8.4659",
"2020-06-10 00:00","239.1980508253","7.4444",
"2020-06-11 00:00","236.3824234295","7.8864",
"2020-06-12 00:00","237.2049532927","7.8864",
"2020-06-13 00:00","235.6975386734","7.8864",
"2020-06-14 00:00","226.2091807478","8.1463",
"2020-06-15 00:00","233.0288915024","8.3736",
"2020-06-16 00:00","231.7610630934","7.8818",
"2020-06-17 00:00","231.745983771","8.0106",
"2020-06-18 00:00","230.7624399981","7.0353",
"2020-06-19 00:00","226.7307210815","7.0353",
"2020-06-20 00:00","230.0784037118","7.0353",
"2020-06-21 00:00","241.2105605377","5.026",
"2020-06-22 00:00","243.3555371983","3.7942",
"2020-06-23 00:00","231.5757018051","3.5596",
"2020-06-24 00:00","233.0257244079","3.5046",
"2020-06-25 00:00","229.5400481887","3.0171",
"2020-06-26 00:00","227.2678956176","3.0171",
"2020-06-27 00:00","224.9650043705","3.0171",
"2020-06-28 00:00","223.9209035751","2.9924",
"2020-06-29 00:00","226.1556443707","3.5626",
"2020-06-30 00:00","229.1102326234","4.2263",
"2020-07-01 00:00","225.9806873545","3.7664",
"2020-07-02 00:00","226.8053493887","3.791",
"2020-07-03 00:00","226.3398414387","3.791",
"2020-07-04 00:00","225.1839728133","3.791",
"2020-07-05 00:00","238.1863378775","3.1382",
"2020-07-06 00:00","238.4178238515","2.7115",
"2020-07-07 00:00","245.3719777202","2.7045",
"2020-07-08 00:00","240.4688623859","2.3683",
"2020-07-09 00:00","240.3105659559","2.1338",
"2020-07-10 00:00","239.9083215016","2.1338",
"2020-07-11 00:00","237.7215938768","2.1338",
"2020-07-12 00:00","242.3294917565","2.2857",
"2020-07-13 00:00","240.6886110879","2.7416",
"2020-07-14 00:00","238.8173790951","2.9192",
"2020-07-15 00:00","232.9959768557","2.4154",
"2020-07-16 00:00","232.7665491263","2.2639",
"2020-07-17 00:00","234.9478510899","2.2639",
"2020-07-18 00:00","234.10028135","2.2639",
"2020-07-19 00:00","237.8612371756","2.1498",
"2020-07-20 00:00","243.6028534259","2.4714",
"2020-07-21 00:00","244.5145766617","2.744",
"2020-07-22 00:00","268.7488910759","2.8933",
"2020-07-23 00:00","277.5545662281","3.1538",
"2020-07-24 00:00","286.0246706517","3.1538",
"2020-07-25 00:00","311.4237246297","3.1538",
"2020-07-26 00:00","315.7041460668","3.7556",
"2020-07-27 00:00","321.1379526097","3.2028",
"2020-07-28 00:00","321.6862746033","2.3327",
"2020-07-29 00:00","318.6213625444","2.6117",
"2020-07-30 00:00","343.4443596801","2.6117",
"2020-07-31 00:00","357.7845159065","2.1741",
"2020-08-01 00:00","369.1946474096","2.1741",
"2020-08-02 00:00","392.3907808692","2.026",
"2020-08-03 00:00","390.2265846029","2.0908",
"2020-08-04 00:00","395.5466240917","2.1536",
"2020-08-05 00:00","398.0885815097","1.8076",
"2020-08-06 00:00","385.5051388711","1.6352",
"2020-08-07 00:00","390.5101448284","1.6352",
"2020-08-08 00:00","386.3115204028","1.6352",
"2020-08-12 00:00","392.2263295197","1.3226",
"2020-08-13 00:00","435.0492223095","1.1132",
"2020-08-14 00:00","436.862696385","1.1132",
"2020-08-15 00:00","430.8985676567","1.1132",
"2020-08-16 00:00","440.0477375499","1.0772",
"2020-08-17 00:00","421.1958998291","1.0152",
"2020-08-18 00:00","409.5207311548","0.7934",
"2020-08-19 00:00","415.1002555681","0.628",
"2020-08-20 00:00","405.5194171052","0.7789",
"2020-08-21 00:00","391.1565742316","0.7789",
"2020-08-22 00:00","393.0558104817","0.7789",
"2020-08-23 00:00","403.1136380853","0.7346",
"2020-08-24 00:00","385.7967103561","0.7263",
"2020-08-25 00:00","389.7702413328","0.8048",
"2020-08-26 00:00","383.8313262479","0.6801",
"2020-08-27 00:00","396.3318766537","0.6171",
"2020-08-28 00:00","401.2887133239","0.6171",
"2020-08-29 00:00","415.3918378946","0.6171",
"2020-08-30 00:00","433.7358894813","0.3899",
"2020-08-31 00:00","481.6338023745","0.4352",
"2020-09-01 00:00","432.9024309398","0.3292",
"2020-09-02 00:00","402.7404229577","0.3862",
"2020-09-03 00:00","382.5476416407","0.5464",
"2020-09-04 00:00","356.6449557607","0.5464",
"2020-09-05 00:00","345.0532225018","0.5464",
"2020-09-06 00:00","346.2350617377","0.5464",
"2020-09-07 00:00","340.6457766526","0.5405",
"2020-09-08 00:00","353.1055834196","0.5944",
"2020-09-09 00:00","370.5816894606","0.463",
"2020-09-10 00:00","369.2734755522","0.4483",
"2020-09-11 00:00","373.3905654522","0.4483",
"2020-09-12 00:00","361.0216426667","0.4483",
"2020-09-13 00:00","382.3822920588","0.3984",
"2020-09-14 00:00","365.8630059382","0.3809",
"2020-09-15 00:00","370.0594408142","0.3886",
"2020-09-16 00:00","380.0541176249","0.3485",
"2020-09-17 00:00","382.5018443768","0.322",
"2020-09-18 00:00","384.3489158599","0.322",
"2020-09-19 00:00","371.3402047664","0.322",
"2020-09-20 00:00","340.3793523934","0.3764",
"2020-09-21 00:00","341.2199671074","0.4549",
"2020-09-22 00:00","338.6688717035","0.3727",
"2020-09-23 00:00","344.162645226","0.3653",
"2020-09-24 00:00","346.6962447728","0.3148",
"2020-09-25 00:00","352.1184423876","0.3148",
"2020-09-26 00:00","354.5392323781","0.3148",
"2020-09-27 00:00","364.620867","0.2207",
"2020-09-28 00:00","355.547687798","0.2066",
"2020-09-29 00:00","357.6395769342","0.1526",
"2020-09-30 00:00","362.6604270909","0.1809",
"2020-10-01 00:00","343.3722019454","0.218",
"2020-10-02 00:00","347.423598547","0.218",
