时间,币价,持仓量
"2020-06-08 00:00","243.2946456998","1454923.6435",
"2020-06-09 00:00","243.9526771789","1456346.367",
"2020-06-10 00:00","239.1980508253","1492083.317",
"2020-06-11 00:00","236.3824234295","1510988.2376",
"2020-06-12 00:00","237.2049532927","1510988.2376",
"2020-06-13 00:00","235.6975386734","1510988.2376",
"2020-06-14 00:00","226.2091807478","1519911.5371",
"2020-06-15 00:00","233.0288915024","1560610.22",
"2020-06-16 00:00","231.7610630934","1561686.644",
"2020-06-17 00:00","231.745983771","1567036.2523",
"2020-06-18 00:00","230.7624399981","1569060.7129",
"2020-06-19 00:00","226.7307210815","1569060.7129",
"2020-06-20 00:00","230.0784037118","1569060.7129",
"2020-06-21 00:00","241.2105605377","1609561.7558",
"2020-06-22 00:00","243.3555371983","1614521.2563",
"2020-06-23 00:00","231.5757018051","1702514.6758",
"2020-06-24 00:00","233.0257244079","1702398.0646",
"2020-06-25 00:00","229.5400481887","1702281.4533",
"2020-06-26 00:00","227.2678956176","1702281.4533",
"2020-06-27 00:00","224.9650043705","1702281.4533",
"2020-06-28 00:00","223.9209035751","1701931.8009",
"2020-06-29 00:00","226.1556443707","1701815.1896",
"2020-06-30 00:00","229.1102326234","1701698.5783",
"2020-07-01 00:00","225.9806873545","1701581.9671",
"2020-07-02 00:00","226.8053493887","1701465.5372",
"2020-07-03 00:00","226.3398414387","1701465.5372",
"2020-07-04 00:00","225.1839728133","1701465.5372",
"2020-07-05 00:00","238.1863378775","1701115.8847",
"2020-07-06 00:00","238.4178238515","1707002.265",
"2020-07-07 00:00","245.3719777202","1708770.3706",
"2020-07-08 00:00","240.4688623859","1711438.6983",
"2020-07-09 00:00","240.3105659559","1715484.9488",
"2020-07-10 00:00","239.9083215016","1715484.9488",
"2020-07-11 00:00","237.7215938768","1715484.9488",
"2020-07-12 00:00","242.3294917565","1744590.5494",
"2020-07-13 00:00","240.6886110879","1744789.8331",
"2020-07-14 00:00","238.8173790951","1744782.6535",
"2020-07-15 00:00","232.9959768557","1746472.268",
"2020-07-16 00:00","232.7665491263","1747974.1753",
"2020-07-17 00:00","234.9478510899","1747974.1753",
"2020-07-18 00:00","234.10028135","1747974.1753",
