时间,币价,链上交易量
"2015-08-06 00:00","2.83162","2008655.8488454700",
"2015-08-07 00:00","2.77212095","13583036.6363449100",
"2015-08-08 00:00","0.75332516","1165462.1735452500",
"2015-08-09 00:00","0.70189661","1670915.0737049500",
"2015-08-10 00:00","0.70844787","1485707.8450512000",
"2015-08-11 00:00","1.06785929","747480.0360153800",
"2015-08-12 00:00","1.21743631","1787824.7831727500",
"2015-08-13 00:00","1.82767475","2295437.4349358600",
"2015-08-14 00:00","1.82787263","4631237.7975450700",
"2015-08-15 00:00","1.68890011","1708595.5729698600",
"2015-08-16 00:00","1.56603193","2244770.1575813700",
"2015-08-17 00:00","1.20360613","1548730.8210925800",
"2015-08-18 00:00","1.08704841","1149597.1832496800",
"2015-08-19 00:00","1.25885808","417350.8194742600",
"2015-08-20 00:00","1.46492207","586795.4513295800",
"2015-08-21 00:00","1.39529216","494505.8022713300",
"2015-08-22 00:00","1.37923467","497843.0085353800",
"2015-08-23 00:00","1.35258555","462299.5395611800",
"2015-08-24 00:00","1.23127019","406462.9701683400",
"2015-08-25 00:00","1.14018667","439395.9441922500",
"2015-08-26 00:00","1.15998256","272780.4508757800",
"2015-08-27 00:00","1.14770246","300462.0537930300",
"2015-08-28 00:00","1.19137895","430450.5632324100",
"2015-08-29 00:00","1.18254983","415922.7336635500",
"2015-08-30 00:00","1.31926763","384856.6478992600",
"2015-08-31 00:00","1.35823834","1419836.8177510000",
"2015-09-01 00:00","1.35161483","277560.6624463500",
"2015-09-02 00:00","1.29478502","556789.6257843200",
"2015-09-03 00:00","1.26492739","176558.0679387500",
"2015-09-04 00:00","1.27440655","167485.0142490100",
"2015-09-05 00:00","1.33881009","296242.5564065600",
"2015-09-06 00:00","1.29582608","202531.6522957700",
"2015-09-07 00:00","1.24664533","263691.7736334900",
"2015-09-08 00:00","1.24242818","1145845.8830856800",
"2015-09-09 00:00","1.20651042","206011.4866585700",
"2015-09-10 00:00","1.16577387","726449.7866812400",
"2015-09-11 00:00","0.98297846","217744.5246790000",
"2015-09-12 00:00","1.03874159","224192.6184853300",
"2015-09-13 00:00","0.93600327","267436.1414351400",
"2015-09-14 00:00","0.87562162","603445.7895408000",
"2015-09-15 00:00","0.94440961","555288.9906304900",
"2015-09-16 00:00","0.90717465","295744.2127858800",
