时间,价格（$）,30天算力平均值（$）,60天算力平均值（$）
"2015-08-06 09:00","2.83162","null","null",
"2015-08-07 09:00","2.772121","null","null",
"2015-08-08 09:00","0.75332516","null","null",
"2015-08-09 09:00","0.7018966","null","null",
"2015-08-10 09:00","0.7084479","null","null",
"2015-08-11 09:00","1.0678593","null","null",
"2015-08-12 09:00","1.2174363","null","null",
"2015-08-13 09:00","1.8276747","null","null",
"2015-08-14 09:00","1.8278726","null","null",
"2015-08-15 09:00","1.6889001","null","null",
"2015-08-16 09:00","1.5660319","null","null",
"2015-08-17 09:00","1.2036061","null","null",
"2015-08-18 09:00","1.0870484","null","null",
"2015-08-19 09:00","1.2588581","null","null",
"2015-08-20 09:00","1.4649221","null","null",
"2015-08-21 09:00","1.3952922","null","null",
"2015-08-22 09:00","1.3792347","null","null",
"2015-08-23 09:00","1.3525856","null","null",
"2015-08-24 09:00","1.2312702","null","null",
"2015-08-25 09:00","1.1401867","null","null",
"2015-08-26 09:00","1.1599826","null","null",
"2015-08-27 09:00","1.1477025","null","null",
"2015-08-28 09:00","1.191379","null","null",
"2015-08-29 09:00","1.1825498","null","null",
"2015-08-30 09:00","1.3192676","null","null",
"2015-08-31 09:00","1.3582383","null","null",
"2015-09-01 09:00","1.3516148","null","null",
"2015-09-02 09:00","1.294785","null","null",
"2015-09-03 09:00","1.2649274","null","null",
"2015-09-04 09:00","1.2744066","null","null",
"2015-09-05 09:00","1.3388101","null","null",
"2015-09-06 09:00","1.2958261","null","null",
"2015-09-07 09:00","1.2466453","null","null",
"2015-09-08 09:00","1.2424282","null","null",
"2015-09-09 09:00","1.2065104","null","null",
"2015-09-10 09:00","1.1657739","null","null",
"2015-09-11 09:00","0.98297846","null","null",
"2015-09-12 09:00","1.0387416","null","null",
"2015-09-13 09:00","0.93600327","null","null",
"2015-09-14 09:00","0.8756216","null","null",
"2015-09-15 09:00","0.9444096","null","null",
"2015-09-16 09:00","0.90717465","null","null",
"2015-09-17 09:00","0.8742314","null","null",
"2015-09-18 09:00","0.8536852","null","null",
"2015-09-19 09:00","0.88239104","null","null",
"2015-09-20 09:00","0.93844545","null","null",
"2015-09-21 09:00","0.9190469","null","null",
"2015-09-22 09:00","0.901796","null","null",
"2015-09-23 09:00","0.89340615","null","null",
"2015-09-24 09:00","0.8136102","null","null",
"2015-09-25 09:00","0.7362234","null","null",
"2015-09-26 09:00","0.7859643","null","null",
"2015-09-27 09:00","0.720839","null","null",
"2015-09-28 09:00","0.582886","null","null",
"2015-09-29 09:00","0.6611463","null","null",
"2015-09-30 09:00","0.738644","null","null",
"2015-10-01 09:00","0.6902146","null","null",
"2015-10-02 09:00","0.6785743","null","null",
"2015-10-03 09:00","0.68717146","null","null",
"2015-10-04 09:00","0.668379","null","null",
"2015-10-05 09:00","0.6286434","null","null",
"2015-10-06 09:00","0.6506455","null","null",
"2015-10-07 09:00","0.6093882","null","null",
"2015-10-08 09:00","0.62171555","null","null",
"2015-10-09 09:00","0.6506276","null","null",
"2015-10-10 09:00","0.6278574","null","null",
"2015-10-11 09:00","0.63496256","null","null",
"2015-10-12 09:00","0.6260302","null","null",
"2015-10-13 09:00","0.60765463","null","null",
"2015-10-14 09:00","0.5229682","null","null",
"2015-10-15 09:00","0.56187755","null","null",
"2015-10-16 09:00","0.53649473","null","null",
"2015-10-17 09:00","0.54717755","null","null",
"2015-10-18 09:00","0.5177342","null","null",
"2015-10-19 09:00","0.48901403","null","null",
"2015-10-20 09:00","0.434829","null","null",
"2015-10-21 09:00","0.44732895","null","null",
"2015-10-22 09:00","0.56770235","null","null",
"2015-10-23 09:00","0.53965724","null","null",
"2015-10-24 09:00","0.56359017","null","null",
"2015-10-25 09:00","0.61603856","null","null",
"2015-10-26 09:00","0.7313173","null","null",
"2015-10-27 09:00","0.86964136","null","null",
"2015-10-28 09:00","1.0024766","null","null",
"2015-10-29 09:00","1.2066561","null","null",
"2015-10-30 09:00","1.0412182","null","null",
"2015-10-31 09:00","0.9166268","null","null",
"2015-11-01 08:00","1.0556688","null","null",
"2015-11-02 08:00","0.98978895","null","null",
"2015-11-03 08:00","1.0133635","null","null",
"2015-11-04 08:00","0.89904976","null","null",
"2015-11-05 08:00","0.89563733","389397610000","289371783000",
"2015-11-06 08:00","0.9260321","390730056000","295710163000",
"2015-11-07 08:00","0.92797416","390967034000","300641550000",
"2015-11-08 08:00","1.027466","390083871000","305225761000",
"2015-11-09 08:00","0.9992781","390144164000","310182806000",
"2015-11-10 08:00","0.9343483","390900777000","315247886000",
"2015-11-11 08:00","0.79182917","392628863000","320396558000",
"2015-11-12 08:00","0.89571095","393332687000","325145723000",
"2015-11-13 08:00","0.9040956","393688711000","330100146000",
"2015-11-14 08:00","0.8888116","393023914000","334653358000",
"2015-11-15 08:00","0.90636796","392594981000","339021365000",
"2015-11-16 08:00","0.9289618","392742175000","343446782000",
"2015-11-17 08:00","1.0079756","392033272000","347517780000",
"2015-11-18 08:00","0.9933191","390984040000","351281709000",
"2015-11-19 08:00","0.95553195","389660279000","355264332000",
"2015-11-20 08:00","0.92491966","388396384000","359091798000",
"2015-11-21 08:00","0.97613966","387237872000","362445341000",
"2015-11-22 08:00","0.9680178","387055256000","365220463000",
"2015-11-23 08:00","0.9469692","386559017000","367570026000",
"2015-11-24 08:00","0.9001912","385328153000","369038164000",
"2015-11-25 08:00","0.86353725","385691156000","370747507000",
"2015-11-26 08:00","0.88418305","386226684000","372054032000",
"2015-11-27 08:00","0.8679511","386343600000","374378234000",
"2015-11-28 08:00","0.9157028","384697500000","375747281000",
"2015-11-29 08:00","0.87861377","382997922000","376520573000",
"2015-11-30 08:00","0.8731191","380698984000","376920080000",
"2015-12-01 08:00","0.8747996","378760430000","377710051000",
"2015-12-02 08:00","0.8212097","377576882000","378968539000",
"2015-12-03 08:00","0.81214267","376641651000","380173877000",
"2015-12-04 08:00","0.8400414","375265886000","381144433000",
"2015-12-05 08:00","0.8624378","375170859000","382284235000",
"2015-12-06 08:00","0.8355001","376297587000","383513821000",
