时间,价格(usd),成交额,市值
"2021-10-30 09:00","4338.2536760639","7058910138.9087772369","510586746465.6851806641",
"2021-10-29 09:00","4290.9513210583","7340147532.7412490845","505019539624.8944702148",
"2021-10-28 09:00","4452.8094751078","12883341021.6830101013","524069285083.7769165039",
"2021-10-27 09:00","4162.0243264500","10592436161.3874359131","489845596461.5750732422",
"2021-10-26 09:00","3996.7760776502","13965334127.9627780914","470396856942.4089965820",
"2021-10-25 09:00","4196.2432367821","6708343449.4405050278","493872959404.9849853516",
"2021-10-24 09:00","4220.3842653346","7161200019.9317483902","496714215390.7620239258",
"2021-10-23 09:00","4020.5934752795","6945214362.6652841568","473200023486.5692138672",
"2021-10-22 09:00","4088.4414536191","7368077154.2262067795","481185328427.5449218750",
"2021-10-21 09:00","3987.7675544500","9893165828.9351043701","469336607151.8931884766",
"2021-10-20 09:00","4100.4093054708","15522544043.7083530426","482593873661.5077514648",
"2021-10-19 09:00","4083.2931815582","8765558008.7793102264","480579407317.8596191406",
"2021-10-18 09:00","3796.1836432028","7509139698.8235311508","446788316244.2890625000",
"2021-10-17 09:00","3775.6879108652","8957974798.4855442047","444376090018.6914672852",
"2021-10-16 09:00","3802.3819157825","6276951730.8919839859","447517816192.0788574219",
"2021-10-15 09:00","3917.5899926156","8785939147.8838272095","461077124040.1525878906",
"2021-10-14 09:00","3805.3437195710","8918223289.3556461334","447866402944.4785156250",
"2021-10-13 09:00","3810.9133186535","9095952010.1392536163","448521911747.5530395508",
"2021-10-12 09:00","3498.0771043626","6541987157.8098201752","411702943388.7584228516",
"2021-10-11 09:00","3508.7305177239","8191080210.2669496536","412956787002.5908813477",
"2021-10-10 09:00","3603.7546867675","8659458618.6167163849","424140568526.3047485352",
"2021-10-09 09:00","3564.2610293379","6254772433.4149866104","419492399110.9809570313",
"2021-10-08 09:00","3607.3615244226","5604314251.4191808701","424565071941.9387207031",
"2021-10-07 09:00","3622.5874977463","7730013105.6925029755","426357078763.4932250977",
"2021-10-06 09:00","3591.1948856501","9344651002.0029792786","422662354372.0341186523",
"2021-10-05 09:00","3622.0298361484","11094716158.5353546143","426291445298.4692993164",
"2021-10-04 09:00","3424.9177726989","7914387914.6975717545","403092523639.9439697266",
"2021-10-03 09:00","3315.9554334761","7884399500.3553972244","390268302092.4541015625",
"2021-10-02 09:00","3409.6161637888","7383245025.9597864151","401291614958.1296997070",
"2021-10-01 09:00","3392.1455336503","8082752107.2101583481","399235425332.7299194336",
"2021-09-30 09:00","3237.6530814826","9721294317.2003784180","381052579331.5695800781",
"2021-09-29 09:00","2988.0161372037","7878649330.5995454788","351671790494.7464599609",
"2021-09-28 09:00","2862.8289870329","6795361774.5369806290","336938004857.0654907227",
"2021-09-27 09:00","2858.8596020996","8082944352.2399539948","336470831775.4805297852",
