时间,前100持仓量,前50持仓量,前30持仓量,前10持仓量
"2019-04-12 00:00","35588863.53164244","27784658.73939206","23127481.048752796","14077138.008213462",
"2019-04-13 00:00","35587480.92691077","27781262.937897105","23101757.43162774","14027953.300960967",
"2019-04-14 00:00","35592086.9069467","27784858.582745567","23104747.42222987","14029768.896534642",
"2019-04-15 00:00","35539262.518446155","27742599.100309037","23125875.639975812","14029768.318815842",
"2019-04-16 00:00","35548470.31229279","27749786.872794546","23068463.34474886","13980566.653734649",
"2019-04-17 00:00","35468496.97578727","27668809.619371593","22997452.151166003","13971797.676397728",
"2019-04-18 00:00","35356801.94669058","27598388.604726195","22915858.481442507","13963030.006450899",
"2019-04-19 00:00","35335661.95029131","27598388.678495552","22926428.58814893","14015880.271039871",
"2019-04-20 00:00","35323637.75582791","27573794.452918045","22932346.690329466","14019498.253285786",
"2019-04-21 00:00","35285867.63486028","27524457.133215856","22903562.86997524","14000146.4634567",
"2019-04-22 00:00","35216449.35910771","27454024.785658747","22864253.307624888","13991400.150780633",
"2019-04-23 00:00","35157518.422165334","27404672.151573516","22835463.9811838","14003776.892583301",
"2019-04-24 00:00","35140921.86920086","27387070.05399188","22849003.984790448","13995014.940684147",
"2019-04-25 00:00","35081896.87938045","27358801.366127223","22830739.887123954","13986208.587014768",
"2019-04-26 00:00","34430455.78289321","26621704.59427146","22124795.03442831","13268528.442454852",
"2019-04-27 00:00","34371399.12816084","26529894.58568326","22021823.148307487","13217326.819911605",
"2019-04-28 00:00","34354703.83622805","26512179.0233368","21961186.216935676","13187295.434362339",
"2019-04-29 00:00","34316775.79545464","26462658.6948293","21889911.2723628","13167818.966547059",
"2019-04-30 00:00","34141239.37578624","26286107.711651854","21649251.015033443","13053069.193905251",
"2019-05-01 00:00","33971856.33370783","26127311.13480552","21469281.596995786","12883686.24435102",
"2019-05-02 00:00","34044167.17760395","26197595.52018419","21496006.025050085","12887014.44950047",
"2019-05-03 00:00","33980632.229561634","26155238.892806865","21453649.39142782","12855246.969986858",
"2019-05-04 00:00","34042286.21422576","26193706.847473647","21512098.102393437","12869128.111476135",
"2019-05-05 00:00","34067907.8456641","26228899.199584678","21525494.011937022","12870804.736468248",
"2019-05-06 00:00","34040513.83550613","26200495.087210283","21549456.93788343","12883057.835037487",
"2019-05-07 00:00","34267386.647323035","26415768.370988343","21668771.086510696","12874110.938929338",
"2019-05-08 00:00","34345965.06344085","26482741.960363686","21660954.208476745","12854568.226459045",
"2019-05-09 00:00","34360956.06876569","26475529.999931116","21653125.61643686","12845613.434714377",
"2019-05-10 00:00","34397174.27849105","26500134.266942255","21624109.561824877","12826064.985200051",
"2019-05-11 00:00","34577375.183677204","26680335.17391647","21836110.63101626","12879065.25081784",
"2019-05-12 00:00","34724153.2203788","26825071.0374224","22000799.368636947","12988423.723653138",
"2019-05-13 00:00","34633182.799499646","26743688.616147615","22014233.769675836","12979490.430675926",
"2019-05-14 00:00","34452912.23129687","26658855.44767015","22014233.85416198","13021907.11604572",
"2019-05-15 00:00","34493599.86757528","26729357.830962393","22210823.530966368","13194968.707030639",
"2019-05-16 00:00","34381354.58944223","26573678.878911696","22203077.801821228","13101194.97622992",
"2019-05-17 00:00","34269077.13383316","26417957.295122165","22057402.898216456","12773984.170010878",
"2019-05-18 00:00","34613070.23625485","26697266.926553402","22187593.459230196","12743806.668835707",
"2019-05-19 00:00","34666125.28130381","26739710.960785307","22219426.488843028","12743806.692025062",
"2019-05-20 00:00","34675012.31798537","26767793.408619255","22246350.1127938","12757687.42155446",
"2019-05-21 00:00","34679418.61482832","26792425.03331088","22249177.048264507","12780538.724289345",
"2019-05-22 00:00","34768749.993913464","26880755.720485155","22326314.881587792","12845858.776377186",
"2019-05-23 00:00","34667028.01627126","26767405.09311481","22169909.49401972","12847505.022875415",
"2019-05-24 00:00","34830790.439480506","26855813.726050675","22130294.90118213","12838544.402845101",
"2019-05-25 00:00","34792742.34075153","26816750.430524305","22080009.56240001","12808317.235331608",
"2019-05-26 00:00","34782121.84560254","26806129.935359027","22069389.06722507","12840178.721017856",
"2019-05-27 00:00","34854822.63152387","26876775.75670692","22128191.265304547","12875356.607560782",
"2019-05-28 00:00","34816799.92876331","26827104.003700748","22067285.154727306","12813262.347906178",
"2019-05-29 00:00","34746848.452421196","26756135.903118216","21995711.405661117","12304847.25012347",
"2019-05-30 00:00","34836368.935402624","26833993.76506761","22083579.81933089","12359578.118326193",
"2019-05-31 00:00","34702642.29299699","26656731.04772938","21926968.162466396","12393041.627453135",
"2019-06-01 00:00","34632690.93269557","26575115.81698555","21834115.15523533","12330853.739081295",
"2019-06-02 00:00","34583948.97847737","26525346.66501723","21836898.61721258","12332425.703975946",
"2019-06-03 00:00","34375718.60973649","26358616.280091796","21797161.50632843","12344636.345779175",
"2019-06-04 00:00","34231185.649922766","26191801.881254975","21672307.037757874","12239855.446741566",
"2019-06-05 00:00","34298638.275136046","26160457.37300651","21444743.08083463","12270249.235669276",
"2019-06-06 00:00","34378588.18014277","26247019.182697825","21460866.118546568","12274545.320229897",
"2019-06-07 00:00","34379084.65603354","26230555.01590329","21447218.293833897","12263484.030753646",
"2019-06-08 00:00","34392636.23783362","26226621.986420695","21446940.644091018","12269042.395003354",
"2019-06-09 00:00","34369267.2028164","26191806.21792999","21444191.249172393","12268897.792488294",
"2019-06-10 00:00","34362926.64604627","26180512.69268792","21450696.28453939","12258955.426978718",
"2019-06-11 00:00","34310770.87695934","26131192.814344987","21381307.432416447","12209646.083671395",
"2019-06-12 00:00","34305687.90436211","26174862.576469496","21409190.51563819","12229612.211024972",
"2019-06-13 00:00","34385630.377831995","26250738.384226687","21475582.238668963","12288847.736537946",
"2019-06-14 00:00","34599498.81959742","26496129.174086113","21711262.54558413","12451078.738781983",
"2019-06-15 00:00","34608758.112962484","26503673.361008197","21710660.322249822","12397218.00751317",
"2019-06-16 00:00","34687548.04050249","26572699.798102055","21728401.520007685","12486930.889376849",
"2019-06-17 00:00","34722570.95256351","26602649.905225158","21772602.072144084","12506671.387979496",
"2019-06-18 00:00","34736696.15004518","26588933.87102467","21753325.045203697","12505242.298556106",
"2019-06-19 00:00","34709281.29315595","26554938.6998763","21712394.17216272","12500054.15859213",
"2019-06-20 00:00","34770593.37447356","26602471.72549815","21759927.197784573","12494621.117271729",
"2019-06-21 00:00","34805811.622787826","26620062.59985606","21709132.512075063","12505496.926329589",
"2019-06-22 00:00","34740931.211239144","26552924.3805495","21715404.353434604","12531571.662249466",
