时间,小额成交,中额成交,大额成交,超大额成交,卖出开空,买入开多
"1588-01-01 00:00","199999996000","114816967000","32588793900","9247803910","176003913110","180649647700",
"1588-11-04 00:00","199999996000","70604230000","15894668800","6068258269","139356275969","153210877100",
"1589-06-29 00:00","7524901640","2488766470","521687680","117287056","5362480094","5290162752",
"1590-02-24 00:00","3819780860","923680512","170470584","25251156","2548637893","2390545219",
"1590-12-27 00:00","2191269760","462059936","79348720","16656067","1398554971","1350779512",
"1591-08-21 00:00","3359014010","860369856","155235304","62140150","2303257326","2133501994",
"1592-04-16 00:00","2919978500","719513120","155457104","33001417","1938487219","1889462922",
"1593-02-18 00:00","3096067580","794940768","184178352","33497976","2102065604","2006619072",
"1593-10-14 00:00","199999996000","109078188000","18772719600","5469904900","167806478440","165514330060",
"1594-06-08 00:00","199999996000","60273743900","11081577000","1783239870","141252490020","131886066750",
"1595-04-13 00:00","15471573000","4227554040","808497344","101512540","10272720968","10336415956",
"1595-12-06 00:00","199999996000","199999996000","43673540600","8979659290","235742159000","216911032890",
"1589-03-31 00:00","199999996000","130192085000","24007791600","10233718800","190578209100","173855382300",
"1591-07-31 00:00","2579342720","617068768","90562000","6324969","1594507709","1698790748",
"1592-03-27 00:00","4329987840","1238798590","202031024","31088399","2826758609","2975147244",
"1592-11-20 00:00","3737440770","1076319652","164283832","15574561","2536624341","2456994474",
"1593-09-22 00:00","2690908420","740265984","166453088","14916754","1760009708","1852534538",
"1594-05-18 00:00","2188225790","527649712","116861764","13761183.2","1340315130.2","1506183319",
"1595-01-12 00:00","2697800320","764436864","166358632","35200265","1841524935","1822271146",
"1595-11-15 00:00","2794990980","858219648","146961336","25125613","1889937659","1935359918",
"1596-07-10 00:00","2203181310","620899232","137393224","25438023.5","1500117571.5","1486794218",
"1597-03-04 00:00","2994743160","782308640","141161920","30627486","2004662404","1944178802",
"1590-09-06 00:00","2550433020","634440992","122677736","31348546","1595370580","1743529714",
"1591-05-02 00:00","1587107710","386326144","66960406","12096601.5","994918899.5","1057571962",
"1592-03-05 00:00","1593151740","404048144","75407412","15096246","1030909992","1056793550",
"1592-10-30 00:00","2651953150","694349024","124390284","31637500","1733907908","1768422050",
"1593-06-24 00:00","2108079490","502852960","92000956","11877809","1340462432","1374348783",
"1594-04-29 00:00","1832071930","469953440","82262280","13848946","1118796846","1279339750",
"1594-12-22 00:00","1191719040","298857520","51164718","13916031","751768770","803888539",
"1595-08-16 00:00","1004538464","279474896","61621526","10829702","693298017","663166571",
"1596-06-19 00:00","1542693960","352526944","82513772","2288924.5","962572235.5","1017451365",
"1597-02-13 00:00","1906213440","457778336","88952048","6068471","1236130264","1222882031",
"1597-10-08 00:00","1917899780","350547200","49695884","9591308","1141413656","1186320516",
"1591-04-13 00:00","5752785660","979103680","0","0","3331614364","3400274976",
"1591-12-06 00:00","2001018690","275408528","0","0","1139547780","1136879438",
"1592-07-31 00:00","2024896320","266380952","0","0","1096578296","1194698976",
"1593-06-03 00:00","2454055800","284238552","0","0","1398633276","1339661076",
"1594-01-28 00:00","1339626050","180647896","0","0","751734746","768539200",
"1594-12-01 00:00","1639821060","238152816","0","0","963605392","914368484",
"1595-07-26 00:00","1895202950","303759440","0","0","1058681428","1140280962",
"1596-03-20 00:00","1817273160","298850112","0","0","1041530996","1074592276",
"1597-01-23 00:00","1230852680","168167272","0","0","702487196","696532756",
"1597-09-17 00:00","2830734080","521561056","0","0","1791602018","1560693118",
"1598-05-12 00:00","2705352450","452667808","0","0","1600076884","1557943374",
"1599-03-17 00:00","1175081730","180854616","0","0","660469584","695466762",
"1592-07-10 00:00","1020478368","161760208","0","0","586355128","595883448",
"1593-03-04 00:00","2960167170","446899520","0","0","1690072910","1716993780",
"1594-01-07 00:00","2483037690","392801760","0","0","1362070524","1513768926",
"1594-09-01 00:00","1526963460","191345688","0","0","854404490","863904658",
"1595-07-05 00:00","1554671870","246329256","0","0","878920476","922080650",
"1596-02-29 00:00","1811701190","263612152","0","0","1020767108","1054546234",
"1596-10-24 00:00","1461581180","213870768","0","0","831902926","843549022",
"1597-08-27 00:00","963513984","148228512","0","0","505122872","606619624",
"1598-04-21 00:00","1344680960","234944208","0","0","723856990","855768178",
"1598-12-16 00:00","2150573950","346123312","0","0","1255695244","1241002018",
"1599-10-19 00:00","2170601670","377342776","0","0","1405041426","1142903020",
"1593-02-13 00:00","2286624380","337191600","0","0","1319547966","1304268014",
"1593-10-08 00:00","2128471040","273329080","0","0","1182825598","1218974522",
"1594-08-11 00:00","1052526306","128927332","0","0","569412568","612041070",
"1595-04-05 00:00","2060731970","303744592","0","0","1156956452","1207520110",
"1595-11-30 00:00","1259595330","200187056","0","0","726126668","733655718",
"1596-10-03 00:00","1308313280","194597600","0","0","735467418","767443462",
"1597-05-28 00:00","1196676990","174923472","0","0","693622976","677977486",
"1598-04-02 00:00","1482117760","231872984","0","0","912648150","801342594",
"1598-11-25 00:00","968336832","139752464","0","0","584853128","523236168",
"1599-07-20 00:00","580649440","62660454","0","0","337606700","305703194",
"1600-05-23 00:00","1122606080","184015632","0","0","692239080","614382632",
"1601-01-17 00:00","1440604740","258967168","0","0","782572098","916999810",
"1594-05-12 00:00","1281783170","189717696","0","0","677978866","793522000",
"1595-03-17 00:00","1348145280","186228424","0","0","689102026","845271678",
"1595-11-09 00:00","1462149950","249924952","0","0","914759484","797315418",
"1596-07-04 00:00","1143839998","214900200","0","0","731688366","627051832",
"1597-05-07 00:00","731327008","130300456","0","0","450648336","410979128",
"1598-01-01 00:00","778668160","154372824","0","0","477410800","455630184",
"1598-11-04 00:00","993715744","182737136","0","0","605083496","571369384",
"1599-06-29 00:00","1167884670","219680768","0","0","755017024","632548414",
"1600-02-24 00:00","727269408","142526008","0","0","447216808","422578608",
"1600-12-27 00:00","1244034050","225498352","0","0","806053968","663478434",
"1601-08-21 00:00","710137952","137749680","0","0","440382800","407504832",
"1594-12-16 00:00","473896752","94189636","0","0","279236300","288850088",
"1595-10-19 00:00","448930736","83682868","0","0","277907084","254706520",
"1596-06-13 00:00","631291872","142279668","0","0","389595404","383976136",
"1597-02-08 00:00","1347708360","288620256","0","0","787594372","848734244",
"1597-12-11 00:00","713593152","108874860","0","0","441774168","380693844",
"1598-08-05 00:00","1246158460","276234640","0","0","741670764","780722336",
"1599-03-31 00:00","1225618370","240587968","0","0","752503070","713703268",
"1600-02-02 00:00","922901088","145474940","0","0","551701844","516674184",
"1600-09-28 00:00","2335584260","504447296","0","0","1371729600","1468301956",
"1601-07-31 00:00","3395074050","601996928","0","0","1987093794","2009977184",
"1602-03-28 00:00","7061168640","1427976250","0","0","4227186300","4261958590",
"1602-11-20 00:00","3145070980","608181376","0","0","1907846882","1845405474",
"1596-05-23 00:00","2735059580","514000144","0","0","1670481888","1578577836",
"1597-01-17 00:00","2347559810","507925680","0","0","1425176656","1430308834",
"1597-09-12 00:00","3570169600","701099328","0","0","2159499140","2111769788",
"1598-07-15 00:00","4787597570","1096042912","0","0","3104257600","2779382882",
"1599-03-12 00:00","2117095550","323475536","0","0","1278880208","1161690878",
"1599-11-04 00:00","2385702780","496854976","0","0","1560805504","1321752252",
"1600-09-06 00:00","1587252480","970122336","0","0","1302434050","1254940766",
"1601-05-02 00:00","1264398850","1533833030","0","0","1489495810","1308736070",
"1602-03-06 00:00","1267211200","1553257850","7061639","0","1534130949","1293399740",
"1602-10-30 00:00","1196563840","1267635200","6473653.8","3050001.2","1295775810","1177946885",
"1603-06-24 00:00","785691488","889661440","0","0","904274752","771078176",
"1604-04-28 00:00","1409963200","1813748600","10639264.5","0","1672320330","1562030734.5",
"1597-08-21 00:00","1301179400","1407898690","4331116.7","0","1479503813.2","1233905393.5",
"1598-04-16 00:00","1892131650","1817729090","2238641.2","0","1924522871.2","1787576510",
"1599-02-18 00:00","1303068280","1167038210","3834573.6","0","1308827967.6","1165113096",
"1599-10-14 00:00","1088036158","1018667424","0","0","1092708862","1013994720",
"1600-06-08 00:00","1133214684","1261240710","0","0","1256623870","1137831524",
"1601-04-13 00:00","1141424384","1282302530","3999852.8","0","1285948912.8","1141777854",
"1601-12-06 00:00","1449452040","1767237760","4651684.6","0","1648643059.8","1572698424.8",
"1602-07-31 00:00","1864704510","2142900550","8913482","0","2170712592","1845805950",
"1603-06-03 00:00","1520246980","1752124160","4538418","0","1727231478","1549678080",
"1604-01-28 00:00","1123733888","1252984700","2076330.4","0","1243616550.4","1135178368",
"1604-12-01 00:00","739879680","781197472","0","0","826608928","694468224",
"1598-03-28 00:00","1098619588","1157979968","5975819.5","0","1238155279.5","1024420096",
"1598-11-20 00:00","515138432","571009984","0","0","581005504","505142912",
"1599-09-22 00:00","589765376","689008064","1762175.5","0","667650815.5","612884800",
"1600-05-18 00:00","900378880","1225520130","1803947.4","0","1180800843.4","946902114",
"1601-01-12 00:00","1201454660","1536628480","4892776.5","0","1429258320.5","1313717596",
"1601-11-15 00:00","1004212544","1336295360","2101820.5","0","1204162012","1138447712.5",
"1602-07-10 00:00","944687648","1155494340","8989292","0","1073282653","1035888627",
"1603-03-04 00:00","478800320","586784864","0","0","560566192","505018992",
"1604-01-07 00:00","492375600","641595488","0","0","571763888","562207200",
"1604-09-01 00:00","638397600","892806176","0","0","788627616","742576160",
"1605-07-05 00:00","880037344","1355593790","0","0","1127049602","1108581532",
"1606-03-01 00:00","1262770750","1864762050","8694254","0","1711351534","1424875520",
"1599-06-24 00:00","1387663040","2272697800","10335325","14039098","2000301812","1684433451",
"1600-04-28 00:00","2037683000","2890399360","6845102","3772914","2559381444","2379318932",
"1600-12-22 00:00","1520654340","1822459900","3734410.5","0","1742394180","1604454470.5",
"1601-08-16 00:00","1497077000","1647228100","2040960","0","1745353220","1400992840",
"1602-06-19 00:00","1082213120","1357051010","0","0","1311301570","1127962560",
"1603-02-13 00:00","1159064800","1616288700","2198310","0","1460522300","1317029510",
"1603-10-08 00:00","877079456","1325064380","2420735.8","0","1146957184","1057607387.8",
"1604-08-11 00:00","664708192","1162169150","1844425","0","956177442","872544325",
"1605-04-05 00:00","561422320","1053715516","0","2952873","876186300","741904409",
"1605-11-30 00:00","325998960","602042240","0","0","496286944","431754256",
"1606-10-03 00:00","513157856","1050178336","0","0","764048016","799288176",
"1600-01-28 00:00","682035712","1361212290","7550627","3189300","930622462","1123365467",
"1600-12-01 00:00","860791840","1703552450","6606064","0","1199519394","1371430960",
"1601-07-26 00:00","820828864","1734860090","8334907.5","0","1176332233.5","1387691628",
"1602-03-20 00:00","856617696","1610030330","0","0","1202037244","1264610782",
"1603-01-23 00:00","519215664","954402528","2084802.9","0","702373040","773329954.9",
"1603-09-17 00:00","519907744","988031808","0","0","705111328","802828224",
"1604-05-12 00:00","501200144","906226496","2671901.8","0","715922717.8","694175824",
"1605-03-17 00:00","1086116964","2252957820","2670843","3388247.5","1703172974.5","1641960900",
"1605-11-09 00:00","715671744","1426539840","0","0","1019575100","1122636484",
"1606-07-04 00:00","513087568","1010943136","2480814","0","729051120","797460398",
"1607-05-07 00:00","862254336","1607492290","6274176.5","0","1166041604.5","1309979198",
"1608-01-01 00:00","846050624","1592516670","5902103.5","6795490","1131352032","1319912855.5",
"1601-07-05 00:00","474900464","878953984","4653472.8","0","627778041","730729879.8",
"1602-03-01 00:00","440193184","848146720","0","0","617167984","671171920",
"1602-10-24 00:00","592912832","1149377660","8433707.8","3571025","809370073.8","944925151",
"1603-08-27 00:00","536387008","983716096","4035060.9","3148466","746949941.1","780336689.8",
"1604-04-21 00:00","557541408","1049608708","0","0","771177824","835972292",
"1604-12-16 00:00","623207744","1114232318","0","0","820263456","917176606",
"1605-10-19 00:00","1150265600","2188866050","2025927.8","0","1667397257.8","1673760320",
"1606-06-13 00:00","356885360","649442784","0","0","470964960","535363184",
"1607-02-08 00:00","294550512","533735072","0","0","376613808","451671776",
"1607-12-11 00:00","497072416","880119136","2702007.2","0","637996656","741896903.2",
"1608-08-05 00:00","519055456","1004675136","0","0","745684544","778046048",
"1601-11-30 00:00","559858560","1130792320","2060200.4","0","847368198.4","845342882",
"1602-10-03 00:00","607295008","1398421380","1816375.1","2976719","946510564","1063998918.1",
"1603-05-28 00:00","571347136","1251126780","4086255.5","0","874565536","951994635.5",
"1604-04-01 00:00","737634304","1479953660","2275026.8","4442707","1109870190.8","1114435507",
"1604-11-25 00:00","477511968","971051168","0","0","752626256","695936880",
"1605-07-20 00:00","751714720","1764273280","22821215","0","1310308509","1228500706",
"1606-05-23 00:00","909879232","1866149440","6565891.9","0","1454317436.9","1328277127",
"1607-01-17 00:00","695228064","1438216130","2029028","0","1140313762","995159460",
"1607-09-12 00:00","679273152","1311011200","1804243.8","0","942969252","1049119343.8",
"1608-07-15 00:00","1026520640","2043646140","8503754.5","0","1552863609.5","1525806925",
"1609-03-12 00:00","395402848","814390944","2253900","0","630828380","581219312",
"1609-11-04 00:00","337366656","630213792","1954438.8","0","439890160","529644726.8",
"1603-05-07 00:00","743483168","1422113020","5638954.5","0","978797920","1192437222.5",
"1604-01-01 00:00","1169209470","2209300350","6753825.8","3025837","1657104047.8","1731185435",
"1604-11-04 00:00","1951472190","3474966020","29378146","13159432","2598003836","2870971952",
"1605-06-29 00:00","1970316090","3543950470","7313732.3","0","2842673454.8","2678906837.5",
"1606-02-24 00:00","1247455240","2524413310","2502580.2","0","1989146240","1785224890.2",
"1606-12-27 00:00","866247136","1861322370","0","9887309","1410318417","1327138398",
"1607-08-21 00:00","919324064","1893743420","6104726","0","1457419310.5","1361752899.5",
"1608-04-16 00:00","966032384","2053102530","0","0","1499034048","1520100866",
"1609-02-18 00:00","1498870210","3280420730","23746996","7040749.5","2341482443.5","2468596242",
"1609-10-14 00:00","2274523910","5082028030","15693328.5","3566644","3772635625","3603176287.5",
"1610-06-08 00:00","1372000770","2932142590","2190525.8","3142542","2077913742","2231562685.8",
"1611-04-13 00:00","1612656960","3654342790","8893849","3588208","2579908081","2699573726",
"1604-08-05 00:00","1635963130","3410171520","26245724","0","2489042110","2583338264",
"1605-03-31 00:00","920001792","1906808130","2541318.2","0","1419902814","1409448426.2",
"1606-02-02 00:00","1320960830","2902137720","20674894","0","2197007370","2046766074",
"1606-09-28 00:00","1334353410","2927003780","7145163.2","0","2084722104","2183780249.2",
"1607-07-31 00:00","1825923970","3590243970","15233136.5","8554888","2659330205.5","2780625759",
"1608-03-27 00:00","2684837370","5717438210","27692384","15904370","4165393316","4280479018",
"1608-11-20 00:00","3498389500","7816897800","24137935","13359872","5983497830","5369287277",
"1609-09-22 00:00","1307981950","3270338690","8752904","6330313.5","2482968267.5","2110435590",
"1610-05-18 00:00","2041081730","4682960120","18602775","15002159","3468565127","3289081657",
"1611-01-12 00:00","1967221760","5051205880","9550966.5","11146691.5","3719976768.5","3319148529.5",
"1611-11-15 00:00","1509319420","3369313790","9457127","0","2548248888","2339841449",
