时间,小额爆仓,中额爆仓,大额爆仓,超大额爆仓,卖出开空,买入开多
"1595-04-13 00:00","80748064","57545428","0","0","138293492","0",
"1595-12-06 00:00","20337574","0","0","0","20337574","0",
"1591-07-31 00:00","9484.66","0","0","0","0","9484.66",
"1592-03-27 00:00","26199143","10563214.8","4125278.8","0","14655648.8","26231987.8",
"1592-11-20 00:00","22761279","12102949","661797.62","1273831.2","26879397.419999998","9920459.4",
"1593-09-22 00:00","16383053.5","7207078.6","2090408.9","1004085.5","19022684.4","7661942.1",
"1594-05-18 00:00","15533570.2","6358647.1","919605.7","0","4454184.800000001","18357638.2",
"1595-01-12 00:00","18758007","12114963.6","0","0","23375019","7497951.6",
"1595-11-15 00:00","14938004.5","7516457.5","0","0","14107668","8346794",
"1596-07-10 00:00","14812857.9","8861959.25","1564817.2","0","22369597.2","2870037.15",
"1597-03-04 00:00","27360217.2","15560438.7","0","0","38675101","4245554.9",
"1590-09-06 00:00","17931903.5","9265389.2","645880.2","0","17969777","9873395.899999999",
"1591-05-02 00:00","7107638.2","1957770.15","0","0","4746410.95","4318997.4",
"1592-03-05 00:00","8169959.4","3655904.3","0","0","9392361","2433502.7",
"1592-10-30 00:00","21341095","12176200.8","3265228.5","0","28913209.5","7869314.8",
"1593-06-24 00:00","10908937","4817370.3","0","0","7589586.8","8136720.5",
"1594-04-29 00:00","12979865","9911432.28","2840147.8","0","2156770.08","23574675",
"1594-12-22 00:00","5912557.4","2970869.1","0","0","3893825.2","4989601.300000001",
"1595-08-16 00:00","5776491","2088057.4","0","0","6512623.9","1351924.5",
"1596-06-19 00:00","5575921.300000001","1774150.71","0","0","2055924.4100000001","5294147.6",
"1597-02-13 00:00","13936171","9016697","313077.78","1025486","9918511","14372920.78",
"1597-10-08 00:00","4640626.1","952707.1599999999","0","0","3359674.14","2233659.12",
"1591-04-13 00:00","54521946","40290959","0","0","31584755","63228150",
"1591-12-06 00:00","8129411","1606532.06","0","0","5384701","4351242.0600000005",
"1592-07-31 00:00","14257320.5","5884303","0","0","7904657.5","12236966",
"1593-06-03 00:00","10834315.2","4971696.62","0","0","12928357","2877654.8200000003",
"1594-01-28 00:00","6009386","1130208.56","0","0","4819612.5600000005","2319982",
"1594-12-01 00:00","12749251.4","4625821.44","0","0","16094765","1280307.8399999999",
"1595-07-26 00:00","10385985.8","2176933.8","0","0","3049986.5999999996","9512933",
"1596-03-20 00:00","8861627.5","4322909.5","0","0","8149162.7","5035374.3",
"1597-01-23 00:00","2649043.44","313691.88","0","0","1033504.44","1929230.88",
"1597-09-17 00:00","28087417","7994104.2","0","0","20604681.2","15476840",
"1598-05-12 00:00","32203003.5","17001947.4","0","0","41196942","8008008.9",
"1599-03-17 00:00","4027613.1","886440.2999999999","0","0","2965964.14","1948089.26",
"1592-07-10 00:00","4921541.8","1196732.88","0","0","4075494","2042780.6800000002",
"1593-03-04 00:00","30079348.5","13470511.1","0","0","34218792","9331067.6",
"1594-01-07 00:00","17717304.8","4414700.2","0","0","4715632.2","17416372.8",
"1594-09-01 00:00","5634640.9","787805.06","0","0","4417975.859999999","2004470.1",
"1595-07-05 00:00","9076812.5","2586285.8","0","0","9912974.3","1750124",
"1596-02-29 00:00","7440467.2","1820530.84","0","0","5796458","3464540.04",
"1596-10-24 00:00","8625616.5","2364590.5","0","0","8775614.5","2214592.5",
"1597-08-27 00:00","2622850","0","0","0","158261","2464589",
"1598-04-21 00:00","4548045.74","1341988.4100000001","0","0","1175297.5499999998","4714736.6",
"1598-12-16 00:00","18237059.2","9621405.19","0","0","2645333.39","25213131",
"1599-10-19 00:00","23575799","10598280","0","0","33281286","892793",
"1593-02-13 00:00","18832428","1923843","0","0","16148645","4607626",
"1593-10-08 00:00","10643046.5","1028496.48","0","0","7683294.1","3988248.88",
"1594-08-11 00:00","1677194.7000000002","444560.3","0","0","1463421.7","658333.3",
"1595-04-05 00:00","26502343","13544876","0","0","27661530","12385689",
"1595-11-30 00:00","3451149.4","532468.8","0","0","2842714.3","1140903.9",
"1596-10-03 00:00","4576858.699999999","401405.12","0","0","1508206.9","3470056.92",
"1597-05-28 00:00","3802165.36","347396.34","0","0","856888.56","3292673.1399999997",
"1598-04-02 00:00","11268583.9","4777191.03","0","0","14616268.5","1429506.43",
"1598-11-25 00:00","7282606.5","1218933.42","0","0","6708135.7","1793404.22",
"1599-07-20 00:00","858407.68","0","0","0","832646.06","25761.62",
"1600-05-23 00:00","7077192.5","1966653.2","0","0","4406900.8","4636944.9",
"1601-01-17 00:00","12614891.5","6163533.3","0","0","9713649.5","9064775.3",
"1594-05-12 00:00","4672973.4","1001921.52","0","0","1887547.8199999998","3787347.1",
"1595-03-17 00:00","8544949","2891051","0","0","1058365.5","10377634.5",
"1595-11-09 00:00","10907885.8","4166415.31","0","0","14393398","680903.11",
"1596-07-04 00:00","3422923.2","0","0","0","2705433.5","717489.7",
"1597-05-07 00:00","2895182.04","687505.44","0","0","1004401.94","2578285.54",
"1598-01-01 00:00","3780616.5","999505.25","0","0","1220549","3559572.75",
"1598-11-04 00:00","3083437.2","367250.15","0","0","1103367.93","2347319.42",
"1599-06-29 00:00","5945225.3","2317021.7","0","0","7432155","830092",
"1600-02-24 00:00","1030364.54","0","0","0","270813.44","759551.1",
"1600-12-27 00:00","7024871.22","1412116.8","0","0","8168718.3","268269.72",
"1601-08-21 00:00","819215.36","280695.9","0","0","61697.11","1038214.15",
"1594-12-16 00:00","1007497.1000000001","0","0","0","180950.2","826546.9",
"1595-10-19 00:00","1219634.43","0","0","0","1169899.9","49734.53",
"1596-06-13 00:00","2507233.7","743181.7","0","0","533487.2","2716928.2",
"1597-02-08 00:00","11643957.6","1494387.17","0","0","1199058.9700000002","11939285.8",
"1597-12-11 00:00","2155738.5500000003","867794.7","0","0","2870910.8","152622.45",
"1598-08-05 00:00","13092495.4","7326681.5","0","0","1673678.4","18745498.5",
"1599-03-31 00:00","8100627.5","5171094.9399999995","0","0","3228034.94","10043687.5",
"1600-02-02 00:00","2235378.5","193166.4","0","0","948928.7","1479616.2",
"1600-09-28 00:00","29449310.5","32654016.4","0","0","6312522.9","55790804",
"1601-07-31 00:00","25097679.5","7973211.9399999995","0","0","8260200.9399999995","24810690.5",
"1602-03-28 00:00","88713908","54020054","0","0","53286370","89447592",
"1602-11-20 00:00","20780187.5","6731035.12","0","0","20164400","7346822.62",
"1596-05-23 00:00","17760195.5","3736901.8","0","0","18510973.8","2986123.5",
"1597-01-17 00:00","8276341.7","1731650.8","0","0","2681223.2","7326769.3",
"1597-09-12 00:00","22853748","5693540","0","0","11028424.8","17518863.2",
"1598-07-15 00:00","49229688","40694902.5","0","0","69803704","20120886.5",
"1599-03-12 00:00","8802968","2062258.72","0","0","8121687.5","2743539.22",
"1599-11-04 00:00","14059549.1","4151549.97","0","0","15986787.2","2224311.87",
"1600-09-06 00:00","5092513.5","6061389.6","0","0","4112897.6","7041005.5",
"1601-05-02 00:00","4459026.7","8533031.8","0","0","7105168.2","5886890.3",
"1602-03-06 00:00","5499080.5600000005","19623808.9","0","0","23498932.5","1623956.96",
"1602-10-30 00:00","4431410.199999999","16599416","0","0","17879437.8","3151388.4",
"1603-06-24 00:00","2290906.68","6538104.7","0","0","7462700.3","1366311.08",
"1604-04-28 00:00","6763324","37688447","0","0","31164200","13287571",
"1597-08-21 00:00","5834807.7","18138241.9","0","0","22901341","1071708.6",
"1598-04-16 00:00","7975438.4","23763636","0","0","26267385","5471689.4",
"1599-02-18 00:00","3008835","6787645","0","0","7237181.4","2559298.6",
"1599-10-14 00:00","2320179.85","6852887.6","0","0","2862428.35","6310639.1",
"1600-06-08 00:00","2940597.4","8204174.5","0","0","7137135.2","4007636.7",
