date,supply
2015-08-06 00:00,72263783.9369800000
2015-08-07 00:00,72290135.4994800000
2015-08-08 00:00,72315816.2807300000
2015-08-09 00:00,72342156.1244800000
2015-08-10 00:00,72368624.5619800000
2015-08-11 00:00,72394318.6244800000
2015-08-12 00:00,72420827.3744800000
2015-08-13 00:00,72449959.0932300000
2015-08-14 00:00,72476937.9994800000
2015-08-15 00:00,72502658.1557300000
2015-08-16 00:00,72529452.0619800000
2015-08-17 00:00,72554252.9994800000
2015-08-18 00:00,72580269.4057300000
2015-08-19 00:00,72600429.5619800000
2015-08-20 00:00,72625922.3744800000
2015-08-21 00:00,72652327.8432300000
2015-08-22 00:00,72677442.8432300000
2015-08-23 00:00,72703421.7494800000
2015-08-24 00:00,72728959.0932300000
2015-08-25 00:00,72754021.4369800000
2015-08-26 00:00,72777602.9994800000
2015-08-27 00:00,72800908.1557300000
2015-08-28 00:00,72822589.4057300000
2015-08-29 00:00,72843392.3744800000
2015-08-30 00:00,72864030.8119800000
2015-08-31 00:00,72883747.5307300000
2015-09-01 00:00,72901653.6244800000
2015-09-02 00:00,72918588.3119800000
2015-09-03 00:00,72940839.5619800000
2015-09-04 00:00,72965487.3744800000
2015-09-05 00:00,72990431.2807300000
2015-09-06 00:00,73014654.8744800000
2015-09-07 00:00,73039324.2494800000
2015-09-08 00:00,73064553.1557300000
2015-09-09 00:00,73089627.9994800000
2015-09-10 00:00,73115397.2182300000
2015-09-11 00:00,73140580.1869800000
2015-09-12 00:00,73165490.3432300000
2015-09-13 00:00,73189801.5932300000
2015-09-14 00:00,73214070.6557300000
2015-09-15 00:00,73238915.0307300000
2015-09-16 00:00,73263013.1557300000
2015-09-17 00:00,73287521.1244800000
2015-09-18 00:00,73312987.6869800000
2015-09-19 00:00,73339573.4682300000
2015-09-20 00:00,73365001.5932300000
2015-09-21 00:00,73390303.1557300000
2015-09-22 00:00,73416180.3432300000
2015-09-23 00:00,73441338.6244800000
2015-09-24 00:00,73467025.8119800000
2015-09-25 00:00,73491728.6244800000
2015-09-26 00:00,73515641.5932300000
2015-09-27 00:00,73539374.5619800000
2015-09-28 00:00,73562623.6244800000
2015-09-29 00:00,73586464.2494800000
2015-09-30 00:00,73612572.5307300000
2015-10-01 00:00,73638338.1557300000
2015-10-02 00:00,73663768.7807300000
2015-10-03 00:00,73688242.6869800000
2015-10-04 00:00,73713333.3119800000
2015-10-05 00:00,73737404.8744800000
2015-10-06 00:00,73762470.9682300000
2015-10-07 00:00,73788273.1557300000
2015-10-08 00:00,73812836.4369800000
2015-10-09 00:00,73837358.6244800000
2015-10-10 00:00,73862770.6557300000
2015-10-11 00:00,73888555.0307300000
2015-10-12 00:00,73914142.0619800000
2015-10-13 00:00,73938862.0619800000
2015-10-14 00:00,73963533.1557300000
2015-10-15 00:00,73987990.8119800000
2015-10-16 00:00,74013319.5619800000
2015-10-17 00:00,74038090.9682300000
2015-10-18 00:00,74063011.4369800000
2015-10-19 00:00,74088013.3119800000
2015-10-20 00:00,74113008.4682300000
2015-10-21 00:00,74137231.1244800000
2015-10-22 00:00,74163597.8432300000
2015-10-23 00:00,74189505.3432300000
2015-10-24 00:00,74215040.1869800000
2015-10-25 00:00,74239637.3744800000
2015-10-26 00:00,74265796.1244800000
2015-10-27 00:00,74290693.3119800000
2015-10-28 00:00,74316554.0932300000
2015-10-29 00:00,74342777.9994800000
2015-10-30 00:00,74368509.5619800000
2015-10-31 00:00,74394397.2182300000
2015-11-01 00:00,74419600.1869800000
2015-11-02 00:00,74445114.7182300000
2015-11-03 00:00,74470825.4994800000
2015-11-04 00:00,74496414.4057300000
2015-11-05 00:00,74522194.7182300000
2015-11-06 00:00,74546890.6557300000
2015-11-07 00:00,74572084.7182300000
2015-11-08 00:00,74597284.2494800000
2015-11-09 00:00,74622638.9369800000
2015-11-10 00:00,74647888.6244800000
2015-11-11 00:00,74673391.9057300000
2015-11-12 00:00,74699093.3119800000
2015-11-13 00:00,74724839.7182300000
2015-11-14 00:00,74750902.3744800000
2015-11-15 00:00,74776187.5307300000
2015-11-16 00:00,74802082.9994800000
2015-11-17 00:00,74827534.4057300000
2015-11-18 00:00,74852489.0932300000
2015-11-19 00:00,74876157.0619800000
2015-11-20 00:00,74901397.9994800000
2015-11-21 00:00,74926714.7182300000
2015-11-22 00:00,74952235.1869800000
2015-11-23 00:00,74977315.8119800000
2015-11-24 00:00,75002088.3119800000
2015-11-25 00:00,75026864.2494800000
2015-11-26 00:00,75052816.7494800000
2015-11-27 00:00,75077945.9682300000
2015-11-28 00:00,75103281.9057300000
2015-11-29 00:00,75128762.5307300000
2015-11-30 00:00,75154240.9682300000
2015-12-01 00:00,75178439.2494800000
2015-12-02 00:00,75204548.1557300000
2015-12-03 00:00,75229655.6557300000
2015-12-04 00:00,75254750.0307300000
2015-12-05 00:00,75279385.8119800000
2015-12-06 00:00,75304317.8432300000
2015-12-07 00:00,75328945.3432300000
2015-12-08 00:00,75355079.4057300000
2015-12-09 00:00,75380872.3744800000
2015-12-10 00:00,75406253.3119800000
2015-12-11 00:00,75431709.2494800000
2015-12-12 00:00,75458171.5932300000
2015-12-13 00:00,75483237.6869800000
2015-12-14 00:00,75508657.2182300000
2015-12-15 00:00,75533630.8119800000
2015-12-16 00:00,75558996.4369800000
2015-12-17 00:00,75584161.1244800000
2015-12-18 00:00,75609413.7807300000
2015-12-19 00:00,75634218.6244800000
2015-12-20 00:00,75659163.9369800000
2015-12-21 00:00,75684880.1869800000
2015-12-22 00:00,75710516.4369800000
2015-12-23 00:00,75735672.3744800000
2015-12-24 00:00,75761130.3432300000
2015-12-25 00:00,75786213.6244800000
2015-12-26 00:00,75811376.7494800000
2015-12-27 00:00,75836850.3432300000
2015-12-28 00:00,75861827.6869800000
2015-12-29 00:00,75887033.3119800000
2015-12-30 00:00,75912303.4682300000
2015-12-31 00:00,75936796.2807300000
2016-01-01 00:00,75962350.1869800000
2016-01-02 00:00,75988102.8432300000
2016-01-03 00:00,76013663.4682300000
2016-01-04 00:00,76039384.5619800000
2016-01-05 00:00,76064924.4057300000
2016-01-06 00:00,76089916.5932300000
2016-01-07 00:00,76115883.3119800000
2016-01-08 00:00,76141464.7182300000
2016-01-09 00:00,76167005.1869800000
2016-01-10 00:00,76192600.9682300000
2016-01-11 00:00,76217302.3744800000
2016-01-12 00:00,76242375.1869800000
2016-01-13 00:00,76267885.6557300000
2016-01-14 00:00,76293362.3744800000
2016-01-15 00:00,76318646.1244800000
2016-01-16 00:00,76343885.3432300000
2016-01-17 00:00,76369297.3744800000
2016-01-18 00:00,76394208.3119800000
2016-01-19 00:00,76419454.5619800000
2016-01-20 00:00,76444315.6557300000
2016-01-21 00:00,76469401.2807300000
2016-01-22 00:00,76494088.4682300000
2016-01-23 00:00,76519987.6869800000
2016-01-24 00:00,76544446.5932300000
2016-01-25 00:00,76570257.6869800000
2016-01-26 00:00,76595222.2182300000
2016-01-27 00:00,76620569.4057300000
2016-01-28 00:00,76645527.3744800000
