date,avg_gas_cost
2015-08-06 00:00,176398755840.2226000000
2015-08-07 00:00,84445208621.4203000000
2015-08-08 00:00,56142267364.8030000000
2015-08-09 00:00,90300988330.9659000000
2015-08-10 00:00,28096363955.7165000000
2015-08-11 00:00,110446396144.9623000000
2015-08-12 00:00,77176229024.5197000000
2015-08-13 00:00,58786345415.1408000000
2015-08-14 00:00,40092188420.7493000000
2015-08-15 00:00,35442055367.2898000000
2015-08-16 00:00,37470871229.1874000000
2015-08-17 00:00,45259258574.9347000000
2015-08-18 00:00,29580450242.5951000000
2015-08-19 00:00,21266744270.6377000000
2015-08-20 00:00,27952330653.6808000000
2015-08-21 00:00,30905350162.8714000000
2015-08-22 00:00,20484415063.6224000000
2015-08-23 00:00,35040030859.7031000000
2015-08-24 00:00,24452248833.1201000000
2015-08-25 00:00,16023231937.6158000000
2015-08-26 00:00,16829845737.6463000000
2015-08-27 00:00,31461533981.0933000000
2015-08-28 00:00,17019532879.9607000000
2015-08-29 00:00,16716355151.8294000000
2015-08-30 00:00,18660333988.9896000000
2015-08-31 00:00,20650257250.6805000000
2015-09-01 00:00,28842821169.1465000000
2015-09-02 00:00,19836655160.8676000000
2015-09-03 00:00,25314425282.3279000000
2015-09-04 00:00,19979657821.2266000000
2015-09-05 00:00,19858605016.3710000000
2015-09-06 00:00,17285553149.5530000000
2015-09-07 00:00,28900933981.0636000000
2015-09-08 00:00,19089260163.8880000000
2015-09-09 00:00,17026419830.7242000000
2015-09-10 00:00,20405139787.0879000000
2015-09-11 00:00,25150247686.4027000000
2015-09-12 00:00,17024138880.0507000000
2015-09-13 00:00,19799055399.3521000000
2015-09-14 00:00,19124827480.1043000000
2015-09-15 00:00,25418322842.4687000000
2015-09-16 00:00,22898012201.8883000000
2015-09-17 00:00,21480924643.2988000000
2015-09-18 00:00,18563474744.1172000000
2015-09-19 00:00,23225593678.9597000000
2015-09-20 00:00,20053618423.5880000000
2015-09-21 00:00,22617621911.7294000000
2015-09-22 00:00,23624165697.8823000000
2015-09-23 00:00,23477015809.2261000000
2015-09-24 00:00,20309471590.7173000000
2015-09-25 00:00,19486170160.8039000000
2015-09-26 00:00,19107012598.6776000000
2015-09-27 00:00,21842259534.6321000000
2015-09-28 00:00,21481263216.0675000000
2015-09-29 00:00,19445956828.5733000000
2015-09-30 00:00,21031399416.8762000000
2015-10-01 00:00,20818719569.8872000000
2015-10-02 00:00,21904251503.4861000000
2015-10-03 00:00,22437954617.0561000000
2015-10-04 00:00,20293501668.1843000000
2015-10-05 00:00,21465953333.3346000000
2015-10-06 00:00,23807839784.5222000000
2015-10-07 00:00,27299325406.1479000000
2015-10-08 00:00,24922397934.2948000000
2015-10-09 00:00,26540824839.8558000000
