date,avg_computing_power
2015-08-06 00:00,95297747680.0000000000
2015-08-07 00:00,104892236891.0000000000
2015-08-08 00:00,109676945486.0000000000
2015-08-09 00:00,120610799180.0000000000
2015-08-10 00:00,134766886331.0000000000
2015-08-11 00:00,142999727420.0000000000
2015-08-12 00:00,156606018232.0000000000
2015-08-13 00:00,196722874450.0000000000
2015-08-14 00:00,227666580264.0000000000
2015-08-15 00:00,231942202731.0000000000
2015-08-16 00:00,258915864705.0000000000
2015-08-17 00:00,270470331405.0000000000
2015-08-18 00:00,284044135459.0000000000
2015-08-19 00:00,221468069465.0000000000
2015-08-20 00:00,277264309584.0000000000
2015-08-21 00:00,312618144214.0000000000
2015-08-22 00:00,317162749743.0000000000
2015-08-23 00:00,333335492749.0000000000
2015-08-24 00:00,325201816316.0000000000
2015-08-25 00:00,343102359407.0000000000
2015-08-26 00:00,341118418030.0000000000
2015-08-27 00:00,355219519712.0000000000
2015-08-28 00:00,351443303077.0000000000
2015-08-29 00:00,340150290111.0000000000
2015-08-30 00:00,359341490869.0000000000
2015-08-31 00:00,363512354042.0000000000
2015-09-01 00:00,355779356316.0000000000
2015-09-02 00:00,339122685055.0000000000
2015-09-03 00:00,349982135772.0000000000
2015-09-04 00:00,374913124969.0000000000
2015-09-05 00:00,388433114376.0000000000
2015-09-06 00:00,379841573552.0000000000
2015-09-07 00:00,370785471097.0000000000
2015-09-08 00:00,386137579875.0000000000
2015-09-09 00:00,392080890204.0000000000
2015-09-10 00:00,421668550189.0000000000
2015-09-11 00:00,424171784402.0000000000
2015-09-12 00:00,432689994307.0000000000
2015-09-13 00:00,399653850867.0000000000
2015-09-14 00:00,387803268389.0000000000
2015-09-15 00:00,383930083752.0000000000
2015-09-16 00:00,362139920117.0000000000
2015-09-17 00:00,346369552396.0000000000
2015-09-18 00:00,357412908757.0000000000
2015-09-19 00:00,408789286949.0000000000
2015-09-20 00:00,410003700797.0000000000
2015-09-21 00:00,410100833217.0000000000
2015-09-22 00:00,438890619973.0000000000
2015-09-23 00:00,436218902912.0000000000
2015-09-24 00:00,443478115526.0000000000
2015-09-25 00:00,440625930565.0000000000
2015-09-26 00:00,426457256785.0000000000
2015-09-27 00:00,391416619823.0000000000
2015-09-28 00:00,347260201937.0000000000
2015-09-29 00:00,332846785960.0000000000
2015-09-30 00:00,365320370591.0000000000
2015-10-01 00:00,378477872389.0000000000
2015-10-02 00:00,390965346687.0000000000
2015-10-03 00:00,371097040216.0000000000
2015-10-04 00:00,385593881655.0000000000
2015-10-05 00:00,368489379087.0000000000
2015-10-06 00:00,366973205024.0000000000
2015-10-07 00:00,375201688581.0000000000
2015-10-08 00:00,364870086205.0000000000
2015-10-09 00:00,360603795392.0000000000
2015-10-10 00:00,381956474380.0000000000
2015-10-11 00:00,386254502402.0000000000
2015-10-12 00:00,397934772325.0000000000
2015-10-13 00:00,394174872462.0000000000
2015-10-14 00:00,372916030147.0000000000
2015-10-15 00:00,347004215423.0000000000
2015-10-16 00:00,373030407773.0000000000
2015-10-17 00:00,362435658041.0000000000
2015-10-18 00:00,360920293657.0000000000
2015-10-19 00:00,359406256764.0000000000
2015-10-20 00:00,359015928569.0000000000
2015-10-21 00:00,341132964351.0000000000
2015-10-22 00:00,380733704574.0000000000
2015-10-23 00:00,400712364373.0000000000
2015-10-24 00:00,415421916600.0000000000
2015-10-25 00:00,399352419352.0000000000
2015-10-26 00:00,423606935733.0000000000
2015-10-27 00:00,425217897401.0000000000
2015-10-28 00:00,457118050623.0000000000
2015-10-29 00:00,485181790381.0000000000
2015-10-30 00:00,512482245181.0000000000
2015-10-31 00:00,520751967660.0000000000
2015-11-01 00:00,494438532536.0000000000
2015-11-02 00:00,480200507887.0000000000
2015-11-03 00:00,508443346288.0000000000
2015-11-04 00:00,489331291050.0000000000
2015-11-05 00:00,491429618713.0000000000
2015-11-06 00:00,478048414470.0000000000
2015-11-07 00:00,498826132097.0000000000
2015-11-08 00:00,496545107608.0000000000
2015-11-09 00:00,505390345518.0000000000
2015-11-10 00:00,509043487357.0000000000
2015-11-11 00:00,517330958183.0000000000
2015-11-12 00:00,528346135781.0000000000
2015-11-13 00:00,534865998776.0000000000
2015-11-14 00:00,550254722975.0000000000
2015-11-15 00:00,541283940502.0000000000
2015-11-16 00:00,535672271869.0000000000
2015-11-17 00:00,550612437839.0000000000
2015-11-18 00:00,552743812355.0000000000
2015-11-19 00:00,472848994780.0000000000
2015-11-20 00:00,480042302797.0000000000
2015-11-21 00:00,480238901991.0000000000
2015-11-22 00:00,487941982010.0000000000
2015-11-23 00:00,486567873808.0000000000
2015-11-24 00:00,470159496207.0000000000
2015-11-25 00:00,470861416175.0000000000
2015-11-26 00:00,492944670594.0000000000
2015-11-27 00:00,498720992634.0000000000
2015-11-28 00:00,500380846291.0000000000
2015-11-29 00:00,503871991566.0000000000
2015-11-30 00:00,514321990762.0000000000
2015-12-01 00:00,481807290452.0000000000
2015-12-02 00:00,504306948388.0000000000
2015-12-03 00:00,493198143647.0000000000
2015-12-04 00:00,511916968889.0000000000
2015-12-05 00:00,487659801017.0000000000
2015-12-06 00:00,483667889043.0000000000
2015-12-07 00:00,469523295122.0000000000
2015-12-08 00:00,494321277216.0000000000
2015-12-09 00:00,504825004080.0000000000
2015-12-10 00:00,514558594892.0000000000
2015-12-11 00:00,517896070712.0000000000
2015-12-12 00:00,556792870328.0000000000
2015-12-13 00:00,541236871655.0000000000
2015-12-14 00:00,559707647367.0000000000
2015-12-15 00:00,534079108914.0000000000
2015-12-16 00:00,553982448707.0000000000
2015-12-17 00:00,552164106190.0000000000
2015-12-18 00:00,548837540000.0000000000
2015-12-19 00:00,533099835937.0000000000
2015-12-20 00:00,531446645564.0000000000
2015-12-21 00:00,564947516476.0000000000
2015-12-22 00:00,553008752220.0000000000
2015-12-23 00:00,539483402900.0000000000
2015-12-24 00:00,539187075853.0000000000
2015-12-25 00:00,529362229713.0000000000
2015-12-26 00:00,545440760250.0000000000
2015-12-27 00:00,545158448549.0000000000
2015-12-28 00:00,542193003611.0000000000
2015-12-29 00:00,534548572972.0000000000
2015-12-30 00:00,542725192824.0000000000
2015-12-31 00:00,526080043796.0000000000
2016-01-01 00:00,528053698175.0000000000
2016-01-02 00:00,544840649374.0000000000
2016-01-03 00:00,541290799401.0000000000
2016-01-04 00:00,548861090240.0000000000
2016-01-05 00:00,552182610632.0000000000
2016-01-06 00:00,526218703270.0000000000
2016-01-07 00:00,550687942230.0000000000
2016-01-08 00:00,551657034472.0000000000
2016-01-09 00:00,537946675624.0000000000
2016-01-10 00:00,561657576052.0000000000
2016-01-11 00:00,541092686637.0000000000
2016-01-12 00:00,530560897082.0000000000
2016-01-13 00:00,553750991919.0000000000
2016-01-14 00:00,567139411682.0000000000
2016-01-15 00:00,574085617131.0000000000
2016-01-16 00:00,568321719087.0000000000
2016-01-17 00:00,591499464715.0000000000
2016-01-18 00:00,584880064828.0000000000
2016-01-19 00:00,588126075577.0000000000
2016-01-20 00:00,584138167496.0000000000
2016-01-21 00:00,610658435633.0000000000
2016-01-22 00:00,608804210103.0000000000
2016-01-23 00:00,650658976677.0000000000
2016-01-24 00:00,624622219811.0000000000
2016-01-25 00:00,673085445474.0000000000
2016-01-26 00:00,663597075386.0000000000
2016-01-27 00:00,652271801201.0000000000
2016-01-28 00:00,670039338114.0000000000
2016-01-29 00:00,668791594515.0000000000
2016-01-30 00:00,646688845759.0000000000
2016-01-31 00:00,679240541887.0000000000
2016-02-01 00:00,648634013329.0000000000
2016-02-02 00:00,696796696967.0000000000
2016-02-03 00:00,694226017950.0000000000
2016-02-04 00:00,698595552827.0000000000
2016-02-05 00:00,674528669042.0000000000
2016-02-06 00:00,693340554522.0000000000
2016-02-07 00:00,723386657108.0000000000
2016-02-08 00:00,699338436984.0000000000
2016-02-09 00:00,718057329716.0000000000
2016-02-10 00:00,747546711562.0000000000
2016-02-11 00:00,720869052804.0000000000
2016-02-12 00:00,765950669837.0000000000
2016-02-13 00:00,775298804747.0000000000
2016-02-14 00:00,794712612388.0000000000
2016-02-15 00:00,789639709927.0000000000
2016-02-16 00:00,770078994275.0000000000
2016-02-17 00:00,750945258002.0000000000
2016-02-18 00:00,794783219653.0000000000
2016-02-19 00:00,800295691793.0000000000
2016-02-20 00:00,808846880926.0000000000
2016-02-21 00:00,844642383440.0000000000
2016-02-22 00:00,849490910313.0000000000
2016-02-23 00:00,846587713730.0000000000
2016-02-24 00:00,855874001111.0000000000
2016-02-25 00:00,881651031093.0000000000
2016-02-26 00:00,896853524619.0000000000
2016-02-27 00:00,915812758040.0000000000
2016-02-28 00:00,885965041543.0000000000
2016-02-29 00:00,900562920443.0000000000
2016-03-01 00:00,939133918966.0000000000
2016-03-02 00:00,957272847075.0000000000
2016-03-03 00:00,982821086060.0000000000
2016-03-04 00:00,1030054717986.0000000000
2016-03-05 00:00,1036733655665.0000000000
2016-03-06 00:00,1047340044431.0000000000
2016-03-07 00:00,1060230669041.0000000000
2016-03-08 00:00,1080955371409.0000000000
2016-03-09 00:00,1124356306383.0000000000
2016-03-10 00:00,1152216595865.0000000000
2016-03-11 00:00,1215700099243.0000000000
2016-03-12 00:00,1291076502129.0000000000
2016-03-13 00:00,1246558725868.0000000000
2016-03-14 00:00,1295479530865.0000000000
2016-03-15 00:00,1322233879118.0000000000
2016-03-16 00:00,1369126446533.0000000000
2016-03-17 00:00,1354841058934.0000000000
2016-03-18 00:00,1419687675841.0000000000
2016-03-19 00:00,1451318582726.0000000000
2016-03-20 00:00,1429138053075.0000000000
2016-03-21 00:00,1466450428498.0000000000
2016-03-22 00:00,1389293532704.0000000000
2016-03-23 00:00,1505188788529.0000000000
2016-03-24 00:00,1574226191933.0000000000
2016-03-25 00:00,1620682564584.0000000000
2016-03-26 00:00,1641833074167.0000000000
2016-03-27 00:00,1608136382092.0000000000
2016-03-28 00:00,1670778019603.0000000000
2016-03-29 00:00,1712185700381.0000000000
2016-03-30 00:00,1769035745511.0000000000
2016-03-31 00:00,1789817393680.0000000000
2016-04-01 00:00,1726949885023.0000000000
2016-04-02 00:00,1825846322391.0000000000
2016-04-03 00:00,1909197642345.0000000000
2016-04-04 00:00,1918397536244.0000000000
2016-04-05 00:00,1894439759421.0000000000
2016-04-06 00:00,1812659262510.0000000000
2016-04-07 00:00,1973048220070.0000000000
2016-04-08 00:00,1960189595187.0000000000
2016-04-09 00:00,2037024862972.0000000000
2016-04-10 00:00,1971575627451.0000000000
2016-04-11 00:00,1930473092384.0000000000
2016-04-12 00:00,2027421380537.0000000000
2016-04-13 00:00,2040375130699.0000000000
2016-04-14 00:00,2122167529802.0000000000
2016-04-15 00:00,2151074943474.0000000000
2016-04-16 00:00,2099280806855.0000000000
2016-04-17 00:00,2224801291535.0000000000
2016-04-18 00:00,2223765137484.0000000000
2016-04-19 00:00,2269763007714.0000000000
2016-04-20 00:00,2289254378967.0000000000
2016-04-21 00:00,2219076317705.0000000000
2016-04-22 00:00,2314448469916.0000000000
2016-04-23 00:00,2282030666868.0000000000
2016-04-24 00:00,2397721099664.0000000000
2016-04-25 00:00,2327815891337.0000000000
2016-04-26 00:00,2343464828717.0000000000
2016-04-27 00:00,2397904794417.0000000000
2016-04-28 00:00,2445448200824.0000000000
2016-04-29 00:00,2541228932038.0000000000
2016-04-30 00:00,2519767225621.0000000000
2016-05-01 00:00,2435219840603.0000000000
2016-05-02 00:00,2570410522390.0000000000
2016-05-03 00:00,2540344787717.0000000000
2016-05-04 00:00,2548701166409.0000000000
2016-05-05 00:00,2558523712818.0000000000
2016-05-06 00:00,2546813749285.0000000000
2016-05-07 00:00,2596710290954.0000000000
2016-05-08 00:00,2619743999545.0000000000
2016-05-09 00:00,2678717440177.0000000000
2016-05-10 00:00,2576603383368.0000000000
2016-05-11 00:00,2640637107458.0000000000
2016-05-12 00:00,2813675684482.0000000000
2016-05-13 00:00,2768627001262.0000000000
2016-05-14 00:00,2788563368348.0000000000
2016-05-15 00:00,2781613597347.0000000000
2016-05-16 00:00,2777192964685.0000000000
2016-05-17 00:00,2892843814287.0000000000
2016-05-18 00:00,2959044583329.0000000000
2016-05-19 00:00,3019774847808.0000000000
2016-05-20 00:00,3043448414846.0000000000
2016-05-21 00:00,3033650218078.0000000000
2016-05-22 00:00,3047866153189.0000000000
2016-05-23 00:00,3097543437134.0000000000
2016-05-24 00:00,3126327811496.0000000000
2016-05-25 00:00,3161298629924.0000000000
2016-05-26 00:00,3175261885373.0000000000
2016-05-27 00:00,3252982017093.0000000000
2016-05-28 00:00,3275694018885.0000000000
2016-05-29 00:00,3266297530676.0000000000
2016-05-30 00:00,3226586976636.0000000000
