date,mining_difficulty
2015-08-06 00:00,1470838650662.2773000000
2015-08-07 00:00,1586123528941.2515000000
2015-08-08 00:00,1709479787484.6428000000
2015-08-09 00:00,1837695763267.6233000000
2015-08-10 00:00,2036390797503.4740000000
2015-08-11 00:00,2207079742289.7210000000
2015-08-12 00:00,2336979708057.8900000000
2015-08-13 00:00,2671253150471.5103000000
2015-08-14 00:00,3378028425874.2620000000
2015-08-15 00:00,3631632144442.7896000000
2015-08-16 00:00,3908024035252.5737000000
2015-08-17 00:00,4377694725368.5350000000
2015-08-18 00:00,4419573021824.6130000000
2015-08-19 00:00,4469109431846.0940000000
2015-08-20 00:00,4415252643654.7540000000
2015-08-21 00:00,4828340997895.1190000000
2015-08-22 00:00,5138351075672.9680000000
2015-08-23 00:00,5179118882691.4820000000
2015-08-24 00:00,5173287673222.9030000000
2015-08-25 00:00,5587304091731.8100000000
2015-08-26 00:00,5925309861485.9820000000
2015-08-27 00:00,6250868351995.9880000000
2015-08-28 00:00,6657649139909.9790000000
2015-08-29 00:00,6780904668947.9270000000
2015-08-30 00:00,7213764433229.3490000000
2015-08-31 00:00,7641499013978.4650000000
2015-09-01 00:00,8283953338039.2480000000
2015-09-02 00:00,8354596884230.8545000000
2015-09-03 00:00,6469670080246.4530000000
2015-09-04 00:00,6235386210268.6200000000
2015-09-05 00:00,6305025872317.3100000000
2015-09-06 00:00,6339141092888.2890000000
2015-09-07 00:00,6077004932538.8990000000
2015-09-08 00:00,6202066849531.5390000000
2015-09-09 00:00,6289587949042.9250000000
2015-09-10 00:00,6561787910853.3600000000
2015-09-11 00:00,6832639915711.8480000000
2015-09-12 00:00,7022050607216.2470000000
2015-09-13 00:00,6626273317244.0370000000
2015-09-14 00:00,6418523305692.0080000000
2015-09-15 00:00,6179108814558.4150000000
2015-09-16 00:00,6040422718682.2440000000
2015-09-17 00:00,5652727817263.3440000000
2015-09-18 00:00,5548291301467.7295000000
2015-09-19 00:00,6202288372044.0960000000
2015-09-20 00:00,6541475961494.7790000000
2015-09-21 00:00,6624026779678.0320000000
2015-09-22 00:00,6895375007164.6260000000
2015-09-23 00:00,7029217239891.8220000000
2015-09-24 00:00,6977082570624.8060000000
2015-09-25 00:00,7226850619903.6760000000
2015-09-26 00:00,7252906515025.0700000000
2015-09-27 00:00,6747096187570.9960000000
2015-09-28 00:00,6057282503508.3790000000
2015-09-29 00:00,5625252282980.1150000000
2015-09-30 00:00,5652882534058.7840000000
2015-10-01 00:00,5981731817266.5450000000
2015-10-02 00:00,6290812311294.6810000000
2015-10-03 00:00,6205739662280.5800000000
2015-10-04 00:00,6284591115849.0030000000
2015-10-05 00:00,6276470353925.4700000000
2015-10-06 00:00,5983537715400.7630000000
2015-10-07 00:00,5977784444865.1490000000
2015-10-08 00:00,6122631614308.7170000000
2015-10-09 00:00,6031582042943.6875000000
2015-10-10 00:00,6139498339883.5230000000
2015-10-11 00:00,6145002740253.9375000000
2015-10-12 00:00,6356692057707.8520000000
2015-10-13 00:00,6482464932997.0205000000
2015-10-14 00:00,6209364513561.0970000000
2015-10-15 00:00,5814901770906.3150000000
2015-10-16 00:00,6004201090753.6730000000
2015-10-17 00:00,5973918932015.9920000000
2015-10-18 00:00,5921606787199.0060000000
2015-10-19 00:00,5834977688133.4510000000
2015-10-20 00:00,5875656973200.6020000000
2015-10-21 00:00,5734489168580.5120000000
2015-10-22 00:00,5878810489624.5650000000
2015-10-23 00:00,6288280683192.9290000000
2015-10-24 00:00,6589253417659.2820000000
2015-10-25 00:00,6541039905212.8250000000
2015-10-26 00:00,6541750115499.6780000000
2015-10-27 00:00,6845791973687.8660000000
2015-10-28 00:00,7040083960188.3210000000
2015-10-29 00:00,7428610213548.9710000000
2015-10-30 00:00,7792887089970.7010000000
2015-10-31 00:00,7780658217194.4390000000
2015-11-01 00:00,7689750130444.2480000000
2015-11-02 00:00,7332785272893.7960000000
2015-11-03 00:00,7742586663679.7450000000
2015-11-04 00:00,7582489324902.8870000000
2015-11-05 00:00,7592232261293.3440000000
2015-11-06 00:00,7549914589721.4820000000
2015-11-07 00:00,7709287701830.7560000000
2015-11-08 00:00,7754098317251.3820000000
2015-11-09 00:00,7760001726240.6700000000
2015-11-10 00:00,7673240442433.9930000000
2015-11-11 00:00,7746194157635.7460000000
2015-11-12 00:00,7870061343232.7295000000
2015-11-13 00:00,7913167398562.7010000000
2015-11-14 00:00,8259505404947.7310000000
2015-11-15 00:00,8327053098273.2070000000
2015-11-16 00:00,8153082615466.9350000000
2015-11-17 00:00,8549643854786.6340000000
2015-11-18 00:00,8806541779358.0490000000
2015-11-19 00:00,7974988114889.7220000000
2015-11-20 00:00,7600545692811.5250000000
2015-11-21 00:00,7533348659094.0050000000
2015-11-22 00:00,7566020050684.1550000000
2015-11-23 00:00,7664566213246.1590000000
2015-11-24 00:00,7516847539836.9930000000
2015-11-25 00:00,7497611770240.3670000000
2015-11-26 00:00,7469695245892.4910000000
2015-11-27 00:00,7720770634161.2360000000
2015-11-28 00:00,7721488856045.9500000000
2015-11-29 00:00,7780837709727.5590000000
2015-11-30 00:00,7873489340191.9050000000
2015-12-01 00:00,7817999751935.5840000000
2015-12-02 00:00,7588315518791.5910000000
2015-12-03 00:00,7833023569690.7940000000
2015-12-04 00:00,8163740698469.5640000000
2015-12-05 00:00,7852114986498.6720000000
2015-12-06 00:00,7648250416398.5920000000
2015-12-07 00:00,7547985307948.8430000000
2015-12-08 00:00,7350171617029.2690000000
2015-12-09 00:00,7772755103816.2390000000
2015-12-10 00:00,8060297713149.6890000000
2015-12-11 00:00,8045093540450.7060000000
2015-12-12 00:00,8472258757792.2120000000
2015-12-13 00:00,8575886197735.5490000000
2015-12-14 00:00,8768527206039.8750000000
2015-12-15 00:00,8562437625714.8470000000
2015-12-16 00:00,8734093092267.3970000000
2015-12-17 00:00,8779610024754.2310000000
2015-12-18 00:00,8718613363965.7910000000
2015-12-19 00:00,8539950457531.3300000000
