date,ethe_otc_premium
2020-06-08 00:00,7.8312
2020-06-09 00:00,8.4659
2020-06-10 00:00,7.4444
2020-06-11 00:00,7.8864
2020-06-12 00:00,7.8864
2020-06-13 00:00,7.8864
2020-06-14 00:00,8.1463
2020-06-15 00:00,8.3736
2020-06-16 00:00,7.8818
2020-06-17 00:00,8.0106
2020-06-18 00:00,7.0353
2020-06-19 00:00,7.0353
2020-06-20 00:00,7.0353
2020-06-21 00:00,5.026
2020-06-22 00:00,3.7942
2020-06-23 00:00,3.5596
2020-06-24 00:00,3.5046
2020-06-25 00:00,3.0171
2020-06-26 00:00,3.0171
2020-06-27 00:00,3.0171
2020-06-28 00:00,2.9924
2020-06-29 00:00,3.5626
2020-06-30 00:00,4.2263
2020-07-01 00:00,3.7664
2020-07-02 00:00,3.791
2020-07-03 00:00,3.791
2020-07-04 00:00,3.791
2020-07-05 00:00,3.1382
2020-07-06 00:00,2.7115
2020-07-07 00:00,2.7045
2020-07-08 00:00,2.3683
2020-07-09 00:00,2.1338
2020-07-10 00:00,2.1338
2020-07-11 00:00,2.1338
2020-07-12 00:00,2.2857
2020-07-13 00:00,2.7416
2020-07-14 00:00,2.9192
2020-07-15 00:00,2.4154
2020-07-16 00:00,2.2639
2020-07-17 00:00,2.2639
2020-07-18 00:00,2.2639
2020-07-19 00:00,2.1498
2020-07-20 00:00,2.4714
2020-07-21 00:00,2.744
2020-07-22 00:00,2.8933
2020-07-23 00:00,3.1538
2020-07-24 00:00,3.1538
2020-07-25 00:00,3.1538
2020-07-26 00:00,3.7556
2020-07-27 00:00,3.2028
2020-07-28 00:00,2.3327
2020-07-29 00:00,2.6117
2020-07-30 00:00,2.6117
2020-07-31 00:00,2.1741
2020-08-01 00:00,2.1741
2020-08-02 00:00,2.026
2020-08-03 00:00,2.0908
2020-08-04 00:00,2.1536
2020-08-05 00:00,1.8076
2020-08-06 00:00,1.6352
2020-08-07 00:00,1.6352
2020-08-08 00:00,1.6352
2020-08-12 00:00,1.3226
2020-08-13 00:00,1.1132
2020-08-14 00:00,1.1132
2020-08-15 00:00,1.1132
2020-08-16 00:00,1.0772
2020-08-17 00:00,1.0152
2020-08-18 00:00,0.7934
2020-08-19 00:00,0.628
2020-08-20 00:00,0.7789
2020-08-21 00:00,0.7789
2020-08-22 00:00,0.7789
2020-08-23 00:00,0.7346
2020-08-24 00:00,0.7263
2020-08-25 00:00,0.8048
2020-08-26 00:00,0.6801
2020-08-27 00:00,0.6171
2020-08-28 00:00,0.6171
2020-08-29 00:00,0.6171
2020-08-30 00:00,0.3899
2020-08-31 00:00,0.4352
2020-09-01 00:00,0.3292
2020-09-02 00:00,0.3862
2020-09-03 00:00,0.5464
2020-09-04 00:00,0.5464
2020-09-05 00:00,0.5464
2020-09-06 00:00,0.5464
2020-09-07 00:00,0.5405
2020-09-08 00:00,0.5944
2020-09-09 00:00,0.463
2020-09-10 00:00,0.4483
2020-09-11 00:00,0.4483
2020-09-12 00:00,0.4483
2020-09-13 00:00,0.3984
2020-09-14 00:00,0.3809
2020-09-15 00:00,0.3886
2020-09-16 00:00,0.3485
2020-09-17 00:00,0.322
2020-09-18 00:00,0.322
2020-09-19 00:00,0.322
2020-09-20 00:00,0.3764
2020-09-21 00:00,0.4549
2020-09-22 00:00,0.3727
2020-09-23 00:00,0.3653
2020-09-24 00:00,0.3148
2020-09-25 00:00,0.3148
2020-09-26 00:00,0.3148
2020-09-27 00:00,0.2207
2020-09-28 00:00,0.2066
2020-09-29 00:00,0.1526
2020-09-30 00:00,0.1809
2020-10-01 00:00,0.218
2020-10-02 00:00,0.218
2020-10-03 00:00,0.218
2020-10-04 00:00,0.2432
2020-10-05 00:00,0.2319
2020-10-06 00:00,0.353
2020-10-07 00:00,0.5473
2020-10-08 00:00,0.6242
2020-10-09 00:00,0.6242
2020-10-10 00:00,0.6242
2020-10-11 00:00,0.6242
2020-10-12 00:00,0.4374
2020-10-13 00:00,0.3678
2020-10-14 00:00,0.3977
2020-10-15 00:00,0.4698
2020-10-16 00:00,0.4698
2020-10-17 00:00,0.4698
2020-10-18 00:00,0.4678
2020-10-19 00:00,0.4346
2020-10-20 00:00,0.6071
2020-10-21 00:00,0.7772
2020-10-22 00:00,0.6879
2020-10-23 00:00,0.6879
2020-10-24 00:00,0.6879
2020-10-25 00:00,0.5523
2020-10-26 00:00,0.6644
2020-10-27 00:00,0.536
2020-10-28 00:00,0.6307
2020-10-29 00:00,0.5742
2020-10-30 00:00,0.5742
2020-10-31 00:00,0.5742
2020-11-01 00:00,0.5172
2020-11-02 00:00,0.5006
2020-11-03 00:00,0.4399
2020-11-04 00:00,0.4834
2020-11-05 00:00,0.491
2020-11-06 00:00,0.491
2020-11-07 00:00,0.491
2020-11-08 00:00,0.4426
2020-11-09 00:00,0.4519
2020-11-10 00:00,0.4519
2020-11-11 00:00,0.4476
2020-11-12 00:00,0.4645
2020-11-13 00:00,0.4645
2020-11-14 00:00,0.4645
2020-11-15 00:00,0.5134
2020-11-16 00:00,0.5993
2020-11-17 00:00,0.4757
2020-11-18 00:00,0.5407
2020-11-19 00:00,0.6934
2020-11-20 00:00,0.6934
2020-11-21 00:00,0.6934
2020-11-22 00:00,0.8029
2020-11-23 00:00,0.9118
2020-11-24 00:00,0.7494
2020-11-25 00:00,0.7494
2020-11-26 00:00,0.7827
2020-11-27 00:00,0.7827
2020-11-28 00:00,0.7827
2020-11-29 00:00,0.87
2020-11-30 00:00,0.9531
2020-12-01 00:00,1.0456
2020-12-02 00:00,1.242
2020-12-03 00:00,1.1944
2020-12-04 00:00,1.1944
2020-12-05 00:00,1.1944
2020-12-06 00:00,1.4103
2020-12-07 00:00,1.3199
2020-12-08 00:00,1.2941631233
2020-12-09 00:00,1.3333970926
2020-12-10 00:00,1.2885866351
2020-12-11 00:00,1.2885866351
2020-12-12 00:00,1.2885866351
2020-12-13 00:00,1.469451601
2020-12-14 00:00,1.6769343601
2020-12-15 00:00,2.0965748588
2020-12-16 00:00,1.7147823208
2020-12-17 00:00,2.030075188
2020-12-18 00:00,2.030075188
2020-12-19 00:00,2.030075188
2020-12-20 00:00,2.3862928349
2020-12-21 00:00,2.6966824645
2020-12-22 00:00,2.1009463722
2020-12-23 00:00,1.6955074875
2020-12-24 00:00,1.6955074875
2020-12-25 00:00,1.6955074875
2020-12-26 00:00,1.6955074875
2020-12-27 00:00,1.2868741543
2020-12-28 00:00,1.1596752368
2020-12-29 00:00,1.2476943347
2020-12-30 00:00,1.0314547837
2020-12-31 00:00,1.0314547837
2021-01-01 00:00,1.0314547837
2021-01-02 00:00,1.0314547837
2021-01-03 00:00,0.1494252874
2021-01-04 00:00,0.2709677419
2021-01-05 00:00,0.2651839179
2021-01-06 00:00,0.1658692185
2021-01-07 00:00,0.118699187
2021-01-08 00:00,0.118699187
2021-01-09 00:00,0.118699187
2021-01-10 00:00,0.1535648995
2021-01-11 00:00,0.1886281588
2021-01-12 00:00,0.2338858195
2021-01-13 00:00,0.2301918265
2021-01-14 00:00,0.1554276316
2021-01-15 00:00,0.1554276316
2021-01-16 00:00,0.1554276316
2021-01-17 00:00,0.1563786008
2021-01-18 00:00,0.1807747489
2021-01-19 00:00,0.1117604091
2021-01-20 00:00,0.0510440835
2021-01-21 00:00,0.1974789916
2021-01-22 00:00,0.1974789916
2021-01-23 00:00,0.1974789916
2021-01-24 00:00,0.0240880936
2021-01-25 00:00,0.1246312684
2021-01-26 00:00,0.0795454545
2021-01-27 00:00,0.1409395973
2021-01-28 00:00,0.0626780627
2021-01-29 00:00,0.0626780627
2021-01-30 00:00,0.0626780627
2021-01-31 00:00,0.133234641
2021-02-01 00:00,0.1966216216
2021-02-02 00:00,0.1718362283
2021-02-03 00:00,0.125074096
2021-02-04 00:00,0.1445153802
2021-02-05 00:00,0.1445153802
2021-02-06 00:00,0.1445153802
2021-02-07 00:00,0.1966357309
2021-02-08 00:00,0.1547022816
2021-02-09 00:00,0.0513245033
2021-02-10 00:00,0.0815876516
2021-02-11 00:00,0.1116531165
2021-02-12 00:00,0.1116531165
2021-02-13 00:00,0.1116531165
2021-02-14 00:00,0.1116531165
2021-02-15 00:00,0.0546448087
2021-02-16 00:00,0.0964769648
2021-02-17 00:00,0.0841889117
2021-02-18 00:00,0.1117262204
2021-02-19 00:00,0.1117262204
2021-02-20 00:00,0.1117262204
2021-02-21 00:00,0.0584022039
2021-02-22 00:00,0.0587121212
2021-02-23 00:00,0.0012026458
2021-02-24 00:00,-0.0526953362
2021-02-25 00:00,-0.0117878193
2021-02-26 00:00,-0.0117878193
2021-02-27 00:00,-0.0117878193
2021-02-28 00:00,0.0551905388
2021-03-01 00:00,-0.0462025316
2021-03-02 00:00,-0.0384854128
2021-03-03 00:00,-0.0954460387
2021-03-04 00:00,-0.0098360656
2021-03-05 00:00,-0.0098360656
2021-03-06 00:00,-0.0098360656
2021-03-07 00:00,-0.0169587337
2021-03-08 00:00,-0.0272581507
2021-03-09 00:00,-0.0700534759
2021-03-10 00:00,-0.0294438386
2021-03-11 00:00,-0.061369863
2021-03-12 00:00,-0.061369863
2021-03-13 00:00,-0.061369863
2021-03-14 00:00,-0.0514626219
2021-03-15 00:00,-0.0352035204
2021-03-16 00:00,-0.0060142154
2021-03-17 00:00,-0.0720817644
2021-03-18 00:00,-0.0609357998
2021-03-19 00:00,-0.0609357998
2021-03-20 00:00,-0.0609357998
2021-03-21 00:00,-0.0917582418
2021-03-22 00:00,-0.0916426513
2021-03-23 00:00,-0.1354166667
2021-03-24 00:00,-0.0688383528
2021-03-25 00:00,-0.0659472422
2021-03-26 00:00,-0.0659472422
2021-03-27 00:00,-0.0659472422
2021-03-28 00:00,-0.0577777778
2021-03-29 00:00,-0.0733012306
2021-03-30 00:00,-0.0519342872
2021-03-31 00:00,-0.0475227503
2021-04-01 00:00,-0.0858806405
2021-04-02 00:00,-0.0858806405
2021-04-03 00:00,-0.0858806405
2021-04-04 00:00,-0.0508714084
2021-04-05 00:00,-0.0542671614
2021-04-06 00:00,-0.0866408519
2021-04-07 00:00,-0.0305380514
2021-04-08 00:00,-0.0339782916
2021-04-09 00:00,-0.0339782916
2021-04-10 00:00,-0.0339782916
2021-04-11 00:00,-0.0428832117
2021-04-12 00:00,0.0364194822
2021-04-13 00:00,-0.0735171261
2021-04-14 00:00,-0.0120240481
2021-04-15 00:00,-0.0485748695
2021-04-16 00:00,-0.0485748695
2021-04-17 00:00,-0.0485748695
2021-04-18 00:00,-0.0053547523
2021-04-19 00:00,0.0441839495
2021-04-20 00:00,-0.0029081845
2021-04-21 00:00,-0.0451157317
2021-04-22 00:00,-0.0106974754
2021-04-23 00:00,-0.0106974754
2021-04-24 00:00,-0.0106974754
2021-04-25 00:00,0.0374440374
2021-04-26 00:00,0.0247336377
2021-04-27 00:00,0.0047619048
2021-04-28 00:00,-0.0307362402
2021-04-29 00:00,-0.0135279459
2021-04-30 00:00,-0.0135279459
2021-05-01 00:00,-0.0135279459
2021-05-02 00:00,0.0077760498
2021-05-03 00:00,-0.0657702426
2021-05-04 00:00,0.00761347
2021-05-05 00:00,-0.0338935574
2021-05-06 00:00,-0.0157170923
2021-05-07 00:00,-0.0157170923
2021-05-08 00:00,-0.0157170923
2021-05-09 00:00,-0.103705486
2021-05-10 00:00,-0.0062111801
2021-05-11 00:00,-0.084424696
2021-05-12 00:00,-0.143441575
2021-05-13 00:00,-0.0772123339
2021-05-14 00:00,-0.0772123339
2021-05-15 00:00,-0.0772123339
2021-05-16 00:00,-0.0451500146
2021-05-17 00:00,-0.0543352601
2021-05-18 00:00,-0.0840127614
2021-05-19 00:00,0.031626506
2021-05-20 00:00,-0.1266816143
2021-05-21 00:00,-0.1266816143
2021-05-22 00:00,-0.1266816143
2021-05-23 00:00,0.1138383411
2021-05-24 00:00,-0.0432637571
2021-05-25 00:00,-0.0338680927
2021-05-26 00:00,-0.0240452617
2021-05-27 00:00,-0.0377862595
2021-05-28 00:00,-0.0377862595
2021-05-29 00:00,-0.0377862595
2021-05-30 00:00,-0.0377862595
2021-05-31 00:00,-0.0388785047
2021-06-01 00:00,0.0168313209
2021-06-02 00:00,-0.0119802678
2021-06-03 00:00,-0.0076474873
2021-06-04 00:00,-0.0076474873
2021-06-05 00:00,-0.0076474873
2021-06-06 00:00,-0.0480427046
2021-06-07 00:00,-0.0228346457
2021-06-08 00:00,-0.0299961044
2021-06-09 00:00,-0.071042471
2021-06-10 00:00,-0.0712273642
2021-06-11 00:00,-0.0712273642
2021-06-12 00:00,-0.0712273642
2021-06-13 00:00,-0.0486381323
2021-06-14 00:00,-0.0803809524
2021-06-15 00:00,-0.0779324056
2021-06-16 00:00,-0.0787304204
2021-06-17 00:00,-0.1017391304
2021-06-18 00:00,-0.1017391304
2021-06-19 00:00,-0.1017391304
2021-06-20 00:00,-0.083902439
2021-06-21 00:00,-0.0274841438
2021-06-22 00:00,-0.0620931397
2021-06-23 00:00,-0.0085427136
2021-06-24 00:00,-0.0556133056
2021-06-25 00:00,-0.0556133056
2021-06-26 00:00,-0.0556133056
2021-06-27 00:00,0.0068259386
2021-06-28 00:00,0.0009095043
2021-06-29 00:00,0.0214318285
2021-06-30 00:00,-0.0529411765
