,trade_vol_s,trade_vol_m,trade_vol_l,trade_vol_x,short,long,date
0,41728270400,84473897000.0,25903245300.0,6978725380.0,79175117910.0,79909020170.0,2020-04-29 00:00
1,26099567700,48398354500.0,13949766200.0,5173956100.0,44627913340.0,48993731160.0,2020-04-30 00:00
2,377070480,494982144.0,165014528.0,59494970.0,562191160.0,534370962.0,2020-05-01 00:00
3,210887584,252835176.0,69742762.0,17545653.0,277375421.0,273635754.0,2020-05-02 00:00
4,110492128,147422736.0,34510865.0,11284236.0,149521111.0,154188854.0,2020-05-03 00:00
5,131444912,182000352.0,56126664.0,16516223.0,201436753.0,184651398.0,2020-05-04 00:00
6,169489608,198430536.0,63341358.0,17935829.0,226263899.0,222933432.0,2020-05-05 00:00
7,179551952,203002760.0,51541840.0,13455373.0,226179612.0,221372313.0,2020-05-06 00:00
8,12556685300,14761768500.0,3681942150.0,1523522630.0,15480672920.0,17043245660.0,2020-05-07 00:00
9,10303769100,12655390200.0,3840514690.0,1733782150.0,16439443030.0,12094013110.0,2020-05-08 00:00
10,1325514750,1262784320.0,344766816.0,75712470.0,1508779516.0,1499998840.0,2020-05-09 00:00
11,41988487200,44926894100.0,11381662200.0,3158658690.0,53718842070.0,47736860120.0,2020-05-10 00:00
12,19791582200,19396066300.0,4370485510.0,1153164930.0,24371890380.0,20339408560.0,2020-05-11 00:00
13,98577136,99901544.0,33558337.0,10201338.5,119167396.5,123070959.0,2020-05-12 00:00
14,155668712,154008416.0,40702336.0,15609686.0,181810828.0,184178322.0,2020-05-13 00:00
15,125698980,127886080.0,40678992.0,13279902.5,160200072.5,147343882.0,2020-05-14 00:00
16,106183040,108912208.0,37418474.0,13038634.5,132645769.5,132906587.0,2020-05-15 00:00
17,82218028,99791564.0,27948841.0,10559420.2,103643132.2,116874721.0,2020-05-16 00:00
18,120501160,146631848.0,40001030.0,11605412.0,162412322.0,156327128.0,2020-05-17 00:00
