,margin_call_s,margin_call_m,margin_call_l,margin_call_x,short_margin_call,long_margin_call,date
0,185146.98,0.0,0.0,0.0,185146.98,0.0,2020-06-24 00:00
1,410442.83,822655.68,107496.96,0.0,1028655.51,311939.96,2020-06-25 00:00
2,342877.27,508929.51,63755.65,0.0,578336.12,337226.31,2020-06-26 00:00
3,260259.26,108977.43,34489.23,0.0,92861.24,310864.68,2020-06-27 00:00
4,237057.78,270983.56,48131.67,0.0,125187.34,430985.67,2020-06-28 00:00
5,328887.61,311232.86,39496.0,0.0,590240.4,89376.07,2020-06-29 00:00
6,360462.13,541026.53,124527.73,0.0,699670.5099999999,326345.88,2020-06-30 00:00
7,267035.39,365626.52,45771.04,0.0,82637.13,595795.8200000001,2020-07-01 00:00
8,464622.65,776941.85,205117.44,0.0,515273.74,931408.2,2020-07-02 00:00
9,157001.82,208704.68,31462.5,0.0,301589.37,95579.63,2020-07-03 00:00
10,377654.28,762469.87,306359.75,0.0,1367364.15,79119.75,2020-07-04 00:00
11,583329.47,1096515.9,281630.12,0.0,1894951.47,66524.02,2020-07-05 00:00
12,469392.55,717692.29,161824.14,578056.3,1501858.66,425106.62,2020-07-06 00:00
13,200575.48,235690.78000000003,0.0,0.0,125191.28,311074.98,2020-07-07 00:00
14,136894.09,331307.12,0.0,0.0,341944.34,126256.87,2020-07-08 00:00
15,336788.41,396648.87,233346.0,123358.1,964547.38,125594.0,2020-07-09 00:00
16,133250.34,169909.08,0.0,0.0,267745.67,35413.75,2020-07-10 00:00
17,171130.99,246071.31,41104.0,0.0,31131.33,427174.97,2020-07-11 00:00
18,68339.06,74964.0,0.0,0.0,57500.2,85802.86,2020-07-12 00:00
19,704409.14,1317322.04,155647.69,0.0,1186765.54,990613.3299999998,2020-07-13 00:00
20,477203.53,478312.08,0.0,250710.27,766488.45,439737.43000000005,2020-07-14 00:00
21,9320848.0,1538929.27,0.0,0.0,7616925.0,3242852.27,2020-07-15 00:00
22,399397.13,0.0,0.0,0.0,221154.25,178242.88,2020-07-16 00:00
23,1383208.34,0.0,0.0,0.0,812487.9,570720.44,2020-07-17 00:00
24,680556.69,0.0,0.0,0.0,532134.44,148422.25,2020-07-18 00:00
25,204939.87,0.0,0.0,0.0,117522.37,87417.5,2020-07-19 00:00
26,676389.4400000001,0.0,0.0,0.0,661408.06,14981.38,2020-07-20 00:00
27,385667.27,0.0,0.0,0.0,72626.17,313041.1,2020-07-21 00:00
28,1073027.46,0.0,0.0,0.0,540653.4,532374.06,2020-07-22 00:00
29,80324.71,0.0,0.0,0.0,63661.05,16663.66,2020-07-23 00:00
30,1335308.66,0.0,0.0,0.0,837694.0,497614.66,2020-07-24 00:00
31,3882002.86,0.0,0.0,0.0,3596095.8,285907.06,2020-07-25 00:00
32,110581.9,0.0,0.0,0.0,59609.59,50972.31,2020-07-26 00:00
33,224042.8,0.0,0.0,0.0,221357.2,2685.6,2020-07-27 00:00
34,2891122.32,0.0,0.0,0.0,2779758.8,111363.52,2020-07-28 00:00
35,659125.34,0.0,0.0,0.0,140868.28,518257.06,2020-07-29 00:00
36,231913.81,0.0,0.0,0.0,93396.5,138517.31,2020-07-30 00:00
37,251198.89,0.0,0.0,0.0,201252.48,49946.41,2020-07-31 00:00
38,282934.85,0.0,0.0,0.0,259138.61,23796.24,2020-08-01 00:00
39,467334.87,0.0,0.0,0.0,454564.66,12770.21,2020-08-02 00:00
40,29186.81,0.0,0.0,0.0,1033.62,28153.19,2020-08-03 00:00
41,866861.4700000001,0.0,0.0,0.0,76583.67,790277.8,2020-08-04 00:00
42,1141924.47,0.0,0.0,0.0,150501.47,991423.0,2020-08-05 00:00
43,3019056.34,0.0,0.0,0.0,2645038.5,374017.84,2020-08-06 00:00
44,1112887.98,0.0,0.0,0.0,1040763.1,72124.88,2020-08-07 00:00
45,238887.59,0.0,0.0,0.0,212561.28,26326.31,2020-08-08 00:00
46,239641.85,0.0,0.0,0.0,236843.3,2798.55,2020-08-09 00:00
47,4624289.9,109704.04,0.0,0.0,4417490.54,316503.4,2020-08-10 00:00
48,249841.64,0.0,0.0,0.0,146027.38,103814.26,2020-08-11 00:00
49,405994.16,0.0,0.0,0.0,167166.69,238827.47,2020-08-12 00:00
50,210802.42,0.0,0.0,0.0,17511.78,193290.64,2020-08-13 00:00
51,881092.3999999999,0.0,0.0,0.0,538512.2,342580.2,2020-08-14 00:00
52,255815.63,0.0,0.0,0.0,189031.88,66783.75,2020-08-15 00:00
53,60248.4,0.0,0.0,0.0,50692.28,9556.12,2020-08-16 00:00
54,402854.95,0.0,0.0,0.0,216616.45,186238.5,2020-08-17 00:00
55,720243.74,0.0,0.0,0.0,140761.8,579481.94,2020-08-18 00:00
56,836096.99,133777.88,0.0,0.0,390053.07,579821.8,2020-08-19 00:00
57,944261.63,0.0,0.0,0.0,104205.23,840056.4,2020-08-20 00:00
58,1196782.55,0.0,0.0,0.0,1007609.6,189172.95,2020-08-21 00:00
59,420705.77,0.0,0.0,0.0,407337.4,13368.37,2020-08-22 00:00
60,69345.62,0.0,0.0,0.0,60609.9,8735.72,2020-08-23 00:00
61,340463.2,0.0,0.0,0.0,156026.95,184436.25,2020-08-24 00:00
62,278713.49,0.0,0.0,0.0,56583.72,222129.77,2020-08-25 00:00
63,727602.14,0.0,0.0,0.0,694495.75,33106.39,2020-08-26 00:00
64,73471.05,0.0,0.0,0.0,48581.23,24889.82,2020-08-27 00:00
65,1749838.78,173091.58,0.0,0.0,1908406.38,14523.98,2020-08-28 00:00
66,44539.19,0.0,0.0,0.0,17281.0,27258.19,2020-08-29 00:00
67,53978.2,0.0,0.0,0.0,19899.55,34078.65,2020-08-30 00:00
68,70864.85,0.0,0.0,0.0,33546.31,37318.54,2020-08-31 00:00
69,182901.49,0.0,0.0,0.0,23128.57,159772.92,2020-09-01 00:00
70,1003616.62,0.0,0.0,0.0,318002.22,685614.4,2020-09-02 00:00
71,327456.99,0.0,0.0,0.0,107029.65,220427.34,2020-09-03 00:00
72,11132621.47,1952583.1,0.0,0.0,504765.47,12580439.1,2020-09-04 00:00
73,3555919.5,0.0,0.0,0.0,803142.7,2752776.8,2020-09-05 00:00
74,2817975.4,0.0,0.0,0.0,453936.6,2364038.8,2020-09-06 00:00
75,12163819.2,0.0,0.0,0.0,3132940.2,9030879.0,2020-09-07 00:00
76,6908374.3,364823.05,0.0,0.0,4311774.05,2961423.3,2020-09-08 00:00
77,6644706.0,370889.12,0.0,0.0,4533394.32,2482200.8,2020-09-09 00:00
78,1235477.0,0.0,0.0,0.0,902033.06,333443.94,2020-09-10 00:00
79,696842.28,0.0,0.0,0.0,665335.0,31507.28,2020-09-11 00:00
80,3197751.0,133299.98,0.0,0.0,665744.2,2665306.78,2020-09-12 00:00
81,2391078.7,165112.0,0.0,0.0,685058.7,1871132.0,2020-09-13 00:00
82,32313404.0,8529066.7,0.0,0.0,28466626.5,12375844.2,2020-09-14 00:00
83,3975475.6,486866.9,0.0,0.0,3437095.1,1025247.4,2020-09-15 00:00
84,4408604.8,130805.21,0.0,0.0,3937955.71,601454.3,2020-09-16 00:00
85,1015944.23,398285.22,0.0,0.0,906693.64,507535.81000000006,2020-09-17 00:00
86,1346859.1800000002,680204.39,0.0,0.0,1387627.26,639436.31,2020-09-18 00:00
87,2269732.4000000004,4358520.5,0.0,0.0,6555661.7,72591.2,2020-09-19 00:00
88,4205100.1,4602270.07,0.0,0.0,8169212.8,638157.3700000001,2020-09-20 00:00
89,1242060.84,665176.41,0.0,0.0,1204159.38,703077.8700000001,2020-09-21 00:00
90,1088534.78,580748.48,0.0,0.0,1442242.65,227040.61,2020-09-22 00:00
91,1322100.64,896124.6,0.0,0.0,2170702.0,47523.24,2020-09-23 00:00
92,2063876.87,1441699.62,0.0,0.0,3041018.0,464558.49,2020-09-24 00:00
93,1060655.37,503391.98,0.0,0.0,1085689.0,478358.35,2020-09-25 00:00
94,2927919.74,1976017.58,0.0,0.0,700959.32,4202978.0,2020-09-26 00:00
95,1546664.64,918734.65,0.0,0.0,1701223.64,764175.6499999999,2020-09-27 00:00
96,2027024.48,1188713.85,0.0,0.0,2916002.7,299735.63,2020-09-28 00:00
97,756639.0900000001,503593.56,0.0,0.0,867298.03,392934.62,2020-09-29 00:00
98,2175076.67,1258536.6,0.0,0.0,3246748.1,186865.17,2020-09-30 00:00
99,2347638.9200000004,2087016.66,0.0,0.0,4237869.2,196786.38,2020-10-01 00:00
100,1785416.28,1360771.23,0.0,0.0,2873700.5,272487.01,2020-10-02 00:00
101,795882.18,202875.12,0.0,0.0,790491.92,208265.38,2020-10-03 00:00
102,2449053.0,2658352.6300000004,0.0,0.0,4926311.0,181094.63,2020-10-04 00:00
103,405028.84,254199.73,0.0,0.0,483395.58,175832.99,2020-10-05 00:00
104,559126.96,33162.35,0.0,0.0,168543.08,423746.23,2020-10-06 00:00
105,1639829.54,603909.2000000001,0.0,0.0,2083901.2,159837.54,2020-10-07 00:00
106,2514993.0,1263310.71,0.0,0.0,3365878.0,412425.71,2020-10-08 00:00
107,573165.97,178192.02,0.0,0.0,297548.65,453809.34,2020-10-09 00:00
108,921069.22,330296.22,0.0,0.0,925499.63,325865.80999999994,2020-10-10 00:00
109,507213.88,85186.27,0.0,0.0,126166.5,466233.65,2020-10-11 00:00
110,753708.67,428051.56,0.0,0.0,88651.11,1093109.12,2020-10-12 00:00
111,1777177.1,747239.99,0.0,0.0,466189.49,2058227.6,2020-10-13 00:00
112,4296156.8,1780577.5699999998,0.0,0.0,893814.27,5182920.1,2020-10-14 00:00
113,7547151.06,10077389.23,0.0,0.0,16656201.5,968338.79,2020-10-15 00:00
114,6063967.2,5175404.78,0.0,0.0,10506577.0,732794.98,2020-10-16 00:00
115,7475649.7,7939698.5,0.0,0.0,14126469.0,1288879.2,2020-10-17 00:00
116,4118388.8,1903084.56,0.0,0.0,5039161.9,982311.46,2020-10-18 00:00
117,6286230.0,4910200.06,0.0,0.0,8973103.5,2223326.56,2020-10-19 00:00
118,1825998.8,728172.59,0.0,0.0,1712007.6,842163.79,2020-10-20 00:00
119,1227368.76,166956.90999999997,0.0,0.0,710554.9299999999,683770.74,2020-10-21 00:00
120,1272481.8,682956.06,0.0,0.0,1063634.2000000002,891803.6599999999,2020-10-22 00:00
121,1619651.4,443119.0,0.0,0.0,552319.5800000001,1510450.8199999998,2020-10-23 00:00
122,786502.12,161007.02000000002,0.0,0.0,705756.42,241752.72,2020-10-24 00:00
123,387686.34,24702.87,0.0,0.0,146692.42,265696.79000000004,2020-10-25 00:00
124,2406503.8,1041834.06,0.0,0.0,2208142.4,1240195.46,2020-10-26 00:00
125,1362485.7,576801.81,0.0,0.0,951866.07,987421.44,2020-10-27 00:00
126,995765.34,150671.17,0.0,0.0,985215.66,161220.85,2020-10-28 00:00
127,979340.7,504380.32,0.0,0.0,986909.12,496811.9,2020-10-29 00:00
128,1114487.34,361472.47,0.0,0.0,303057.94,1172901.87,2020-10-30 00:00
129,1039761.74,297694.21,0.0,0.0,491725.39,845730.56,2020-10-31 00:00
130,526178.11,56689.11,0.0,0.0,398051.95,184815.27,2020-11-01 00:00
131,577083.48,407873.4,0.0,0.0,972916.6,12040.28,2020-11-02 00:00
132,4095737.48,1606203.44,0.0,0.0,5371362.1,330578.82,2020-11-03 00:00
133,658859.72,75512.79000000001,0.0,0.0,387936.02,346436.49,2020-11-04 00:00
134,370306.82,60424.28,0.0,0.0,233767.3,196963.8,2020-11-05 00:00
135,3322163.8,1775590.66,0.0,0.0,3608809.1,1488945.36,2020-11-06 00:00
136,1120542.7,422122.5,0.0,0.0,298144.0,1244521.2,2020-11-07 00:00
137,656286.1799999999,426371.9,0.0,0.0,252224.58,830433.5,2020-11-08 00:00
138,659264.6799999999,100245.39,0.0,0.0,290973.22,468536.85,2020-11-09 00:00
139,649168.12,290533.9,0.0,0.0,80124.92,859577.1,2020-11-10 00:00
140,714778.07,212200.93,0.0,0.0,703606.29,223372.71,2020-11-11 00:00
141,245992.31,93009.01,0.0,0.0,221473.46,117527.86,2020-11-12 00:00
142,694109.76,239436.62,0.0,0.0,185134.7,748411.6799999999,2020-11-13 00:00
143,2072385.47,1085714.09,0.0,0.0,2887975.44,270124.12,2020-11-14 00:00
144,230316.48,145987.58,0.0,0.0,64740.1,311563.96,2020-11-15 00:00
145,219859.97,17029.64,0.0,0.0,129482.81,107406.8,2020-11-16 00:00
146,442113.56,107664.44,0.0,0.0,60382.09,489395.91,2020-11-17 00:00
147,729056.5800000001,27958.45,0.0,0.0,540419.83,216595.2,2020-11-18 00:00
148,709534.18,339571.03,0.0,0.0,877879.41,171225.8,2020-11-19 00:00
149,743586.81,166303.65,0.0,0.0,296499.17,613391.29,2020-11-20 00:00
150,988830.92,543032.7,0.0,0.0,70714.98,1461148.64,2020-11-21 00:00
151,1266917.53,1081348.3,0.0,0.0,254848.77,2093417.06,2020-11-22 00:00
152,333716.05,105409.23,0.0,0.0,278607.78,160517.5,2020-11-23 00:00
153,1226858.76,994871.74,0.0,0.0,1074576.0,1147154.5,2020-11-24 00:00
154,1306473.34,405972.24,0.0,0.0,1030620.0,681825.58,2020-11-25 00:00
155,551937.0800000001,64569.88,0.0,0.0,402279.58,214227.38,2020-11-26 00:00
156,577587.09,104168.42,0.0,0.0,550432.17,131323.34,2020-11-27 00:00
157,1489854.16,963232.3,0.0,0.0,2247814.4000000004,205272.06,2020-11-28 00:00
158,120866.74,82452.74,0.0,0.0,96341.61,106977.87,2020-11-29 00:00
159,339723.78,56070.93,0.0,0.0,16738.68,379056.03,2020-11-30 00:00
160,357288.12999999995,182289.84,0.0,0.0,15661.16,523916.81,2020-12-01 00:00
161,1087948.4,659258.94,0.0,0.0,1706524.5,40682.84,2020-12-02 00:00
162,366047.95,38310.8,0.0,0.0,140218.2,264140.55,2020-12-03 00:00
163,2099196.8,488528.56,0.0,0.0,985068.7,1602656.66,2020-12-04 00:00
164,593613.64,78851.62,0.0,0.0,519854.52,152610.74000000002,2020-12-05 00:00
165,1497398.4,1836136.36,0.0,0.0,2850529.5,483005.26,2020-12-06 00:00
166,875293.4099999999,1359816.0,0.0,0.0,2133542.1,101567.31,2020-12-07 00:00
167,1874600.05,4399970.7,0.0,0.0,4771123.8,1503446.95,2020-12-08 00:00
168,2093132.27,3074085.13,0.0,0.0,4861915.1,305302.3,2020-12-09 00:00
169,787556.91,2375718.25,0.0,0.0,2898234.3,265040.86,2020-12-10 00:00
