date,interest,basis,
2020-04-27 09:00,0.0001,-0.495046,
2020-04-28 09:00,0.0001,1.33121,
2020-04-29 09:00,0.0001,1.33121,
2020-04-30 09:00,0.0001,1.33121,
2020-05-01 09:00,0.0001,1.33121,
2020-05-02 09:00,0.0001,1.33121,
2020-05-03 09:00,0.0001,1.33121,
2020-05-04 09:00,0.0001,1.33121,
2020-05-05 09:00,0.000361,4.75052,
2020-05-06 09:00,0.000295,16.4119,
2020-05-07 09:00,0.000533,10.6031,
2020-05-08 09:00,0.000581,10.1382,
2020-05-09 09:00,0.00043,12.9885,
2020-05-12 09:00,0.0001,0.173586,
2020-05-13 09:00,0.0001,-6.08482,
2020-05-14 09:00,0.0001,-4.43261,
2020-05-15 09:00,0.0001,-6.23268,
2020-05-16 09:00,0.000009,-2.45953,
2020-05-17 09:00,-0.000066,-4.71823,
2020-05-18 09:00,0.0001,-2.18273,
2020-05-19 09:00,0.0001,-2.95436,
2020-05-20 09:00,0.0001,-2.54707,
2020-05-21 09:00,0.000069,-0.76165,
2020-05-22 09:00,0.000071,-3.34056,
2020-05-23 09:00,0.000067,-7.0256,
2020-05-24 09:00,-0.000043,-5.16819,
2020-05-25 09:00,-0.000041,-4.95224,
2020-05-26 09:00,-0.00014,-4.4809,
2020-05-27 09:00,-0.000026,-4.5223,
2020-05-28 09:00,-0.000006,-5.07001,
2020-05-29 09:00,0.0001,-3.94561,
2020-05-30 09:00,0.0001,-2.06518,
2020-05-31 09:00,0.000009,-3.93846,
2020-06-01 09:00,0.0001,-1.86188,
2020-06-02 09:00,0.0001,-4.39376,
2020-06-03 09:00,0.0001,-1.77068,
2020-06-04 09:00,0.0001,-4.88128,
2020-06-05 09:00,0.0001,-2.72073,
2020-06-06 09:00,0.0001,-4.55636,
2020-06-07 09:00,0.0001,3.37736,
2020-06-08 09:00,0.0001,-1.00483,
2020-06-09 09:00,0.0001,-1.88273,
2020-06-10 09:00,0.0001,1.80104,
2020-06-11 09:00,0.000096,-1.58524,
2020-06-12 09:00,0.0001,-3.13514,
2020-06-13 09:00,0.0001,-3.78842,
2020-06-14 09:00,-0.000182,-8.57035,
2020-06-15 09:00,0.0001,-3.29099,
2020-06-16 09:00,0.000079,-4.80322,
2020-06-17 09:00,0.000078,-5.19725,
2020-06-18 09:00,0.0001,-4.1178,
2020-06-19 09:00,0.0001,-2.47619,
2020-06-20 09:00,0.0001,-3.36469,
2020-06-21 09:00,0.0001,-0.00929173,
2020-06-22 09:00,0.000127,3.39309,
2020-06-23 09:00,0.0001,8.65058,
2020-06-24 09:00,0.0001,5.95007,
2020-06-25 09:00,0.0001,-3.69434,
2020-06-26 09:00,0.0001,-2.53629,
2020-06-27 09:00,0.000053,-5.07148,
2020-06-28 09:00,0.0001,0.0851779,
2020-06-29 09:00,0.0001,0.406966,
2020-06-30 09:00,0.0001,-0.155178,
2020-07-01 09:00,0.0001,1.91014,
2020-07-02 09:00,0.0001,-0.801817,
2020-07-03 09:00,0.0001,0.63074,
2020-07-04 09:00,0.0001,0.896235,
2020-07-05 09:00,0.0001,-3.7012,
2020-07-06 09:00,0.0001,0.0547159,
2020-07-07 09:00,0.0001,-0.0870922,
2020-07-08 09:00,0.0001,3.10991,
2020-07-09 09:00,0.0001,-0.00363636,
2020-07-10 09:00,0.0001,-2.40312,
2020-07-11 09:00,0.0001,-1.92146,
2020-07-12 09:00,0.0001,0.0112361,
2020-07-13 09:00,0.0001,0.823969,
2020-07-14 09:00,0.0001,1.82433,
2020-07-15 09:00,0.0001,-0.412376,
2020-07-16 09:00,0.0001,-3.54453,
2020-07-17 09:00,0.0001,0.468176,
2020-07-18 09:00,0.0001,3.67186,
2020-07-19 09:00,0.0001,-2.37492,
2020-07-20 09:00,0.0001,-2.20315,
2020-07-21 09:00,0.0001,1.86807,
2020-07-22 09:00,0.0001,2.49094,
2020-07-23 09:00,0.0001,5.09958,
2020-07-24 09:00,0.0001,3.72055,
2020-07-25 09:00,0.00066,8.76326,
2020-07-26 09:00,0.000525,0,
2020-07-27 09:00,0.000978,4.64947,
2020-07-28 09:00,0.000623,4.09541,
2020-07-29 09:00,0.000697,0,
2020-07-30 09:00,0.000383,-0.04,
2020-07-31 09:00,0.000492,0.374515,
2020-08-01 09:00,0.000249,3.43,
2020-08-02 09:00,0.000443,-0.64,
2020-08-03 09:00,0.000391,0,
2020-08-04 09:00,0.000224,1.17279,
2020-08-05 09:00,0.000359,0.648354,
2020-08-06 09:00,0.000246,0.48,
2020-08-07 09:00,0.0001,-0.01,
2020-08-08 09:00,0.0001,1.5898,
2020-08-09 09:00,0.0003,0.93,
2020-08-10 09:00,0.000604,0.531252,
2020-08-11 09:00,0.0001,3.97065,
2020-08-12 09:00,0.0001,2.08775,
2020-08-13 09:00,0.000273,0.394538,
2020-08-14 09:00,0.000221,3.06506,
2020-08-15 09:00,0.000321,1.85118,
2020-08-16 09:00,0.000839,5.02526,
2020-08-17 09:00,0.001006,4.04644,
2020-08-18 09:00,0.000243,0.17,
2020-08-19 09:00,0.000183,0,
2020-08-20 09:00,0.0001,0,
2020-08-21 09:00,0.0001,0.633009,
2020-08-22 09:00,0.0001,-0.01,
2020-08-23 09:00,0.0001,0,
2020-08-24 09:00,0.00042,0.17,
2020-08-25 09:00,0.000129,2.49391,
2020-08-26 09:00,0.0001,2.40943,
2020-08-27 09:00,0.0001,-1.29637,
2020-08-28 09:00,0.0001,-0.464496,
2020-08-29 09:00,0.0001,4.74689,
2020-08-30 09:00,0.00015,1.628,
2020-08-31 09:00,0.00047,2.76426,
2020-09-01 09:00,0.000455,-0.91,
2020-09-02 09:00,0.000249,-1.72,
2020-09-03 09:00,0.0001,3.45561,
2020-09-04 09:00,0.0001,-0.136638,
2020-09-05 09:00,0.0001,0,
2020-09-06 09:00,0.0001,0.410818,
2020-09-07 09:00,0.0001,0,
2020-09-08 09:00,0.0001,-0.473278,
2020-09-09 09:00,0.0001,0,
2020-09-10 09:00,0.0001,0.771448,
2020-09-11 09:00,0.0001,0,
2020-09-12 09:00,0.0001,-1.13302,
2020-09-13 09:00,0.00002,-0.70323,
2020-09-14 09:00,-0.000052,-1.73695,
2020-09-15 09:00,-0.000036,0,
2020-09-16 09:00,0.000002,0.43,
2020-09-17 09:00,0.000048,-1.01,
2020-09-18 09:00,-0.00005,-4.33462,
2020-09-19 09:00,-0.000061,-2.54829,
2020-09-20 09:00,0.0001,-7.53337,
2020-09-21 09:00,0.0001,0.01,
2020-09-22 09:00,0.0001,-0.366553,
2020-09-23 09:00,0.000022,-1.60534,
2020-09-24 09:00,0.0001,-1.71426,
2020-09-25 09:00,0.0001,-1.0509,
2020-09-26 09:00,0.0001,7.004,
2020-09-27 09:00,0.0001,-0.01,
2020-09-28 09:00,0.0001,-1.43744,
2020-09-29 09:00,0.0001,-1.96807,
2020-09-30 09:00,0.0001,-0.01,
2020-10-01 09:00,0.0001,-0.43627,
2020-10-02 09:00,0.000097,-0.1,
2020-10-03 09:00,-0.000007,0.01,
2020-10-04 09:00,-0.00007,-0.52,
2020-10-05 09:00,0.000072,0,
2020-10-06 09:00,0.000014,0,
2020-10-07 09:00,0.000015,0.426468,
2020-10-08 09:00,0.0001,3.06,
2020-10-09 09:00,0.0001,0.25,
2020-10-10 09:00,0.0001,0.336677,
2020-10-11 09:00,0.0001,4.4545,
2020-10-12 09:00,0.0001,-0.0985208,
2020-10-13 09:00,0.0001,-9.87514,
2020-10-14 09:00,0.0001,-1.8648,
2020-10-15 09:00,0.0001,-4.33738,
2020-10-16 09:00,0.0001,-0.396738,
2020-10-17 09:00,0.0001,-2.01055,
2020-10-18 09:00,0.0001,1.23,
2020-10-19 09:00,0.000036,-11.4861,
2020-10-20 09:00,0.0001,-2.28928,
2020-10-21 09:00,0.0001,0,
2020-10-22 09:00,0.0001,0.965994,
